,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q1 2014,Q3 2013,Q2 2013,Q1 2013,Q1 2012
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Mar '12 Mar 31, 2012"
0,Market Capitalization,1443174,1384667,1553688,-,-,-,-,-,-,-,-,-
1,Enterprise Value,1385166,1221773,1390794,-,-,-,-,-,-,-,-,-
2,Last Close Price,22200.00,21300.00,22264.10,-,-,-,-,-,-,-,-,-
3,PE Ratio,7.91,7.96,14.38,-,-,-,-,-,-,-,-,-
4,PS Ratio,8.60,6.58,7.56,-,-,-,-,-,-,-,-,-
5,PB Ratio,0.81,0.76,0.89,-,-,-,-,-,-,-,-,-
6,P/TBV Ratio,0.78,0.78,0.91,-,-,-,-,-,-,-,-,-
7,EV/Sales Ratio,8.25,5.81,6.77,-,-,-,-,-,-,-,-,-
8,EV/EBITDA Ratio,17.49,55.45,-,-,-,-,-,-,-,-,-,-
9,EV/EBIT Ratio,19.01,17.47,28.38,-,-,-,-,-,-,-,-,-
10,Debt / Equity Ratio,-,-,-,0.03,0.04,0.04,0.11,0.19,0.05,0.35,0.07,0.12
11,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.26,-,0.22,-
12,Asset Turnover,-,-,-,0.44,0.31,-,-,0.38,0.19,-,-,
13,Inventory Turnover,0.49,-,-,-,0.80,0.75,-,-,0.72,0.47,-,-
14,Quick Ratio,1.52,1.52,22.28,1.41,0.84,0.59,0.56,0.26,0.40,0.36,0.39,-
15,Current Ratio,4.69,4.69,27.80,2.76,2.28,2.10,2.37,1.56,2.14,2.03,2.04,-
16,Return on Equity (ROE),-,-,-,13.99%,4.14%,-,-,9.73%,-4.02%,-,-,
17,Return on Assets (ROA),-,-,-,6.63%,-0.22%,-,-,6.22%,-1.02%,-,-,
18,Return on Capital (ROIC),-,-,-,10.28%,-0.31%,-,-,8.37%,-1.40%,-,-,
19,Return on Capital Employed (ROCE),3.37%,3.52%,2.55%,12.62%,14.77%,-,14.89%,16.82%,12.63%,-,9.63%,-
20,Earnings Yield,12.65%,12.56%,6.95%,-,-,-,-,-,-,-,-,-
21,Buyback Yield / Dilution,-275.47%,-274.89%,-49.94%,0.05%,-281.43%,-0.01%,0.01%,-,-,-,-,
22,Total Shareholder Return,6.61%,-275.47%,-274.89%,-49.94%,0.05%,-281.43%,-0.01%,0.01%,-,-,-,-
