,Fiscal Quarter,Q4 2024,Q4 2023,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q1 2014,Q3 2013,Q2 2013,Q1 2013,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,87131,58408,85619,86347,53276,44124,26495,33990,30751,24633,-
1,Short-Term Investments,9302,76402,88653,24063,7000,-,-,700,-,6000,-
2,Cash & Short-Term Investments,96433,134810,174272,110411,60276,44124,26495,34690,30751,30633,3491
3,Cash Growth,59.99%,205.53%,557.75%,218.27%,96.01%,44.04%,658.88%,-,-,-,-
4,Accounts Receivable,81304,17082,3289,7407,6531,13888,10351,7096,13290,19204,-
5,Other Receivables,36002,1070011,8043,8396,20226,3530,2799,2946,3209,3423,-
6,Receivables,402870,1213716,11332,15804,26757,17418,13150,10042,16499,22627,-
7,Inventory,136876,151849,174914,214517,222529,194450,191826,185680,205675,206094,-
8,Prepaid Expenses,542.04,538.01,676.54,518.3,533.87,694.47,5179,7115,10359,9943,-
9,Other Current Assets,23114,23936,1485,2276,2423,3037,1649,1548,2629,13047,-
10,Total Current Assets,659835,1524849,362679,343526,312519,259724,238299,239075,265913,282344,-
11,"Property, Plant & Equipment",23510,37176,57873,60378,58283,47204,53099,67071,67836,63656,-
12,Long-Term Investments,350867,334495,75942,136022,135782,135302,134822,134822,134822,134822,-
13,Other Long-Term Assets,1094944,83174,61760,59510,68426,94606,138502,146689,145852,152712,-
14,Total Assets,2129157,1979694,558253,599436,575010,536835,564722,587657,614423,633535,-
15,Accounts Payable,3404,4671,1884,4163,3619,3412,8417,8825,12537,19780,-
16,Accrued Expenses,10523,8040,2865,1230,1994,1930,3090,4119,2431,3173,-
17,Short-Term Debt,-,-,9438,8318,9278,18433,48169,17763,27734,25986,-
18,Current Income Taxes Payable,22198,14636,3912,4874,4796,6602,7306,8792,3396,7612,-
19,Current Unearned Revenue,5719,5687,-,-,-,-,-,-,-,-,-
20,Other Current Liabilities,98711,21822,113301,132154,128911,79153,85600,72153,84976,81760,-
21,Total Current Liabilities,140556,54855,131399,150740,148597,109530,152582,111653,131074,138310,-
22,Long-Term Debt,-,-,1940,4980,4980,21760,23715,-,101000,-,-
23,Long-Term Unearned Revenue,149531,155163,555,570,1163,1163,9480,-,16286,-,-
24,Long-Term Deferred Tax Liabilities,-,110.49,-,-,-,-,-,-,-,-,-
25,Other Long-Term Liabilities,26749,26724,30322,71275,61853,26674,-,95056,-,109216,-
26,Total Liabilities,316836,236853,164216,227565,216593,159127,185777,206708,248361,247526,-
27,Common Stock,650079,650079,260031,173354,173354,173354,173354,173354,173354,173354,-
28,Additional Paid-In Capital,641438,641438,66266,152944,152944,152944,152944,152944,152944,152944,-
29,Retained Earnings,481670,412861,67030,44864,33556,30232,35407,39481,27357,48160,-
30,Treasury Stock,-,-,-,-,-,-,-9462,-9312,-9174,-9150,-
31,Comprehensive Income & Other,708.65,708.65,708.65,708.65,708.65,708.65,708.65,531.73,531.73,495.46,-
32,Total Common Equity,1773896,1705087,394037,371871,360562,357239,352951,356998,345012,365804,345069
33,Minority Interest,38425,37755,-,-,-2145,20470,25993,23951,21050,20205,-
34,Shareholders' Equity,1812320,1742841,394037,371871,358417,377708,378944,380949,366062,386009,345069
35,Total Liabilities & Equity,2129157,1979694,558253,599436,575010,536835,564722,587657,614423,633535,-
36,Total Debt,-,-,11378,13298,14258,40193,71884,17763,128734,25986,41375
37,Net Cash (Debt),96433,134810,162894,97113,46018,3932,-45389,16927,-97984,4647,-37884
38,Net Cash Growth,109.55%,3328.96%,-,473.71%,-,-15.40%,-,-,-,-,-
39,Net Cash Per Share,1483.32,2073.48,6265.84,5599.12,2657.76,226.69,-2617.89,975.43,-21584.84,267.97,-2184.91
40,Filing Date Shares Outstanding,65.01,65.02,26,17.34,17.31,17.34,17.34,17.35,4.54,17.34,17.34
41,Total Common Shares Outstanding,65.01,65.02,26,17.34,17.31,17.34,17.34,17.35,4.54,17.34,17.34
42,Working Capital,519279,1469994,231279,192786,163923,150194,85717,127423,134838,144034,-
43,Book Value Per Share,27287.41,26225.60,15156.91,21440.45,20824.02,20598.57,20357.33,20571.87,76002.94,21093.84,-
44,Tangible Book Value,1773896,1705087,394037,371871,360562,357239,352951,356998,345012,365804,345069
45,Tangible Book Value Per Share,27287.41,26225.60,15156.91,21440.45,20824.02,20598.57,20357.33,20571.87,76002.94,21093.84,-
46,Buildings,52524,51733,-,-,-,-,-,-,-,-,-
47,Machinery,54534,55772,-,-,-,-,-,-,-,-,-
48,Construction In Progress,1301,11012,14359,15229,15191,2569,1536,44740,44593,39219,-
