,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Market Capitalization,3346,2585,1981,2297,2696,2889,3004,3299,3190,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-10.52%,-10.52%,-34.05%,-30.38%,-15.46%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3112,2197,1320,1781,2181,2530,2640,3509,3399,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,27.21,20.63,15.81,17.75,20.84,22.33,23.21,25.13,24.30,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,42.42,32.71,25.60,29.77,35.12,33.64,26.94,26.82,24.79,-,-,-,-,-,-,-,-,-,-,-,-
5,Forward PE,25.91,19.75,15.13,22.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.32,1.02,0.87,1.09,1.32,1.52,1.48,1.75,1.69,-,-,-,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.78,1.38,1.04,1.19,1.39,1.51,1.59,1.72,1.67,-,-,-,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.42,1.42,1.07,1.22,1.44,1.54,1.62,1.76,1.71,-,-,-,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,229.37,-,-,-,-67.31,-12.63,-6.62,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,38.50,-,-,5.74,166.07,-16.29,-7.20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.22,0.86,0.58,0.84,1.07,1.33,1.30,1.86,1.80,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,25.42,17.81,11.72,14.66,17.01,19.49,17.08,22.62,20.46,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,34.72,22.92,15.40,18.81,21.37,24.26,20.38,26.81,23.87,-,-,-,-,-,-,-,-,-,-,-,-
