,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Cash & Equivalents,271.33,234.81,361.05,508.86,574.67,636.87,560.94,621.86,97.28,143.5,-,180.77,182.34,182.34,23.17,23.17,25.42,25.42,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.7,37.7,45,45,-,-
2,Trading Asset Securities,566.92,608.59,605.12,500.02,417.02,373.78,374.62,377.5,-,0.02,-,1.03,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,838.25,843.4,966.17,1009,991.69,1011,935.56,999.35,97.28,143.52,181.8,181.8,182.34,182.34,60.87,60.87,70.42,70.42,-,-
4,Cash Growth,-15.47%,-16.55%,3.27%,0.95%,919.39%,604.20%,414.61%,449.70%,-46.65%,-21.29%,198.68%,198.68%,158.95%,158.95%,-,-,-,-,-,-
5,Accounts Receivable,484.88,423.42,315.17,249.09,339.42,334.79,263.19,235.54,318.53,257.88,-,291.32,75.83,75.83,68.09,68.09,49.45,49.45,-,-
6,Other Receivables,20.01,15.31,13.74,11.77,16.78,14.98,32.02,9.59,14.74,11.06,-,11.21,11.33,11.33,16.32,16.32,17.02,17.02,-,-
7,Receivables,504.89,438.73,328.91,260.86,356.2,349.77,295.21,245.14,333.27,268.94,-,302.53,87.16,87.16,84.42,84.42,66.48,66.48,-,-
8,Inventory,693.91,663.7,585.83,675.81,695.28,767.85,688.17,379,285.91,269.39,-,196.69,51.32,51.32,42,42,41.02,41.02,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,1.65,4.2,4.2,-,-,2.19,2.19,-,-
10,Other Current Assets,89.94,118.37,138.54,81.25,91.53,120.35,276.51,245.82,251.18,146.82,-,81.58,10.49,10.49,16.75,16.75,8.25,8.25,-,-
11,Total Current Assets,2127,2064,2019,2027,2135,2249,2195,1869,967.64,828.66,-,764.25,335.51,335.51,204.03,204.03,188.35,188.35,-,-
12,"Property, Plant & Equipment",577.28,492.15,434.74,423.85,408.15,386.11,367.69,312.51,338.54,345.26,-,355.2,83.75,83.75,86.25,86.25,88.16,88.16,-,-
13,Long-Term Investments,34.76,34.46,34.51,34.51,10,10,5,5,-,-,-,-,0.76,0.76,0.54,0.54,0.55,0.55,-,-
14,Other Intangible Assets,59.7,59.39,59.88,60.2,42.29,42.43,42.21,41.98,41.51,41.87,-,42.11,10.24,10.24,10.38,10.38,10.53,10.53,-,-
15,Long-Term Deferred Tax Assets,12.16,11.05,8.02,8.12,10.05,9.78,6.44,7.43,10.14,9.02,-,7.1,3.28,3.28,3.61,3.61,3.47,3.47,-,-
16,Long-Term Deferred Charges,15.32,16.9,9.6,10.12,14.5,15.1,18,18.35,19.89,12.43,-,13.22,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,4.81,3.16,5.09,6.3,18.25,18.5,17.65,83.85,62.13,63.34,-,62.88,0.11,0.11,-,-,-,-,-,-
18,Total Assets,2831,2681,2571,2570,2638,2731,2652,2338,1440,1301,-,1245,433.66,433.66,304.81,304.81,291.06,291.06,-,-
19,Accounts Payable,222.37,164.7,236.16,154.03,172.45,117.57,115.71,118.15,188.77,141.26,-,166.31,76.3,76.3,45.25,45.25,56.52,56.52,-,-
20,Accrued Expenses,29.37,38.67,16.19,41,25.47,34.76,13.01,40.21,22.57,32.91,-,33.18,10.53,10.53,5.98,5.98,9.53,9.53,-,-
21,Short-Term Debt,321.52,238.42,93.54,206.89,269.92,447.02,380.79,128.31,221.6,191.68,-,130.73,-,-,-,-,-,-,-,-
22,Current Portion of Leases,31.16,17.45,8.41,6.03,0.14,0.94,1.62,1.94,1.28,2.85,-,2.65,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,10.83,2.67,7.92,5.22,12.29,5.66,5.09,7.67,18.08,9.69,-,16.77,12.64,12.64,6.24,6.24,3.62,3.62,-,-
24,Current Unearned Revenue,53.57,100.02,54.06,6.8,16.86,12.18,12.56,14.06,23.93,11.86,-,11.32,9.08,9.08,13.54,13.54,-,-,-,-
25,Other Current Liabilities,23.12,8.64,11.02,19.69,20.93,16.93,14.54,17.95,15.34,8.11,-,8.42,8.32,8.32,11.68,11.68,19.36,19.36,-,-
26,Total Current Liabilities,691.96,570.56,427.31,439.67,518.05,635.05,543.33,328.28,491.56,398.36,-,369.37,116.87,116.87,82.7,82.7,89.03,89.03,-,-
27,Long-Term Debt,161.91,147.12,191.3,180.18,202.34,202.19,188.21,103.14,83.1,83.1,-,103.15,-,-,-,-,-,-,-,-
28,Long-Term Leases,94.18,53.22,13.57,9.4,3.8,1.4,0.69,0.47,1.57,1.94,-,3.21,-,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,3.78,3.79,3.81,3.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Deferred Tax Liabilities,-,-,-,-,0.18,0.58,0.59,0.72,-,0,-,0.26,-,-,-,-,-,-,-,-
31,Total Liabilities,951.82,774.7,636,633.09,724.37,839.22,732.81,432.61,576.24,483.4,-,475.99,116.87,116.87,82.7,82.7,89.03,89.03,-,-
32,Common Stock,126,126,126,126,126,126,90,90,67.5,67.5,-,67.5,64.8,64.8,60,60,60,60,-,-
33,Additional Paid-In Capital,1194,1190,1186,1185,1185,1185,1203,1203,217.9,217.9,-,217.9,177.01,177.01,112.06,112.06,112.06,112.06,-,-
34,Retained Earnings,636.99,613.69,640.11,626.14,601.59,579.94,625.96,612.38,578.69,531.43,-,483.73,74.77,74.77,49.77,49.77,29.73,29.73,-,-
35,Treasury Stock,-74.54,-22.94,-16.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,1.09,1.4,1.16,0.79,1.52,0.87,1.07,0.81,0.27,1.06,-,0.18,0.01,0.01,0.03,0.03,0.01,0.01,-,-
37,Total Common Equity,1883,1908,1937,1938,1914,1891,1920,1906,864.36,817.89,769.31,769.31,316.59,316.59,221.86,221.86,201.81,201.81,-,-
38,Minority Interest,-3.93,-1.51,-1.88,-1.23,-0.1,-0.07,0.03,0.06,-0.75,-0.71,-,-0.55,0.2,0.2,0.25,0.25,0.22,0.22,-,-
39,Shareholders' Equity,1879,1907,1935,1937,1914,1891,1920,1906,863.61,817.18,768.76,768.76,316.79,316.79,222.11,222.11,202.03,202.03,-,-
40,Total Liabilities & Equity,2831,2681,2571,2570,2638,2731,2652,2338,1440,1301,-,1245,433.66,433.66,304.81,304.81,291.06,291.06,-,-
41,Total Debt,608.76,456.21,306.83,402.5,476.2,651.55,571.31,233.86,307.55,279.57,239.73,239.73,-,-,-,-,-,-,-,-
42,Net Cash (Debt),229.48,387.19,659.34,606.38,515.49,359.1,364.26,765.5,-210.27,-136.05,-57.93,-57.93,182.34,182.34,60.87,60.87,70.42,70.42,-,-
43,Net Cash Growth,-55.48%,7.82%,81.01%,-20.79%,-,-,-,-,-,-,-,-,158.95%,158.95%,-,-,-,-,-,-
44,Net Cash Per Share,1.88,3.16,5.19,5.00,4.05,2.74,2.95,7.29,-2.23,-1.44,-0.60,-0.61,2.14,2.14,0.72,0.72,0.84,0.84,-,-
45,Filing Date Shares Outstanding,122.96,124.65,125.02,124.67,126,126,126,126,94.5,94.5,96.05,94.5,90.72,90.72,84,84,84,84,91.14,91.14
46,Total Common Shares Outstanding,122.96,124.65,125.02,126,126,126,126,126,94.5,94.5,96.05,94.5,90.72,90.72,84,84,84,84,91.14,91.14
47,Working Capital,1435,1494,1592,1587,1617,1614,1652,1541,476.08,430.3,-,394.88,218.64,218.64,121.33,121.33,99.32,99.32,-,-
48,Book Value Per Share,15.32,15.31,15.49,15.38,15.19,15.01,15.23,15.13,9.15,8.65,8.14,8.14,3.49,3.49,2.64,2.64,2.40,2.40,-,-
49,Tangible Book Value,1823,1849,1877,1878,1871,1849,1877,1864,822.85,776.02,727.2,727.2,306.35,306.35,211.49,211.49,191.28,191.28,-,-
50,Tangible Book Value Per Share,14.83,14.83,15.02,14.90,14.85,14.67,14.90,14.79,8.71,8.21,7.70,7.70,3.38,3.38,2.52,2.52,2.28,2.28,-,-
51,Buildings,-,453.85,-,452.86,-,431.2,-,368.31,-,392.03,-,390.95,101.83,101.83,101.83,101.83,-,-,-,-
52,Machinery,-,58.83,-,42.25,-,39.2,-,37.5,-,36.57,-,35.24,9.3,9.3,10.38,10.38,-,-,-,-
53,Construction In Progress,-,47.59,-,38.37,-,22.53,-,0.65,-,-,-,-,0.17,0.17,-,-,-,-,-,-
