,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Dec '16 Dec 31, 2016","Sep '16 Sep 30, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015"
0,Operating Revenue,794.1,737.09,503.6,494.64,532.02,569.62,427.14,351.15,659.1,426.06,424.09,493.51,167.72,167.72,116.62,116.62,143.19,143.19,113.54,113.54
1,Other Revenue,-11.87,11.87,-,13.4,-7.56,7.56,-,26.3,-13.67,13.67,-,26.96,4.66,4.66,2.77,2.77,2.2,2.2,2.95,2.95
2,Revenue,782.22,748.96,503.6,508.04,524.46,577.18,427.14,377.44,645.43,439.73,424.09,520.47,172.38,172.38,119.39,119.39,145.39,145.39,116.49,116.49
3,Revenue Growth (YoY),49.15%,29.76%,17.90%,34.60%,-18.74%,31.26%,0.72%,-27.48%,274.42%,155.09%,255.22%,335.94%,18.56%,18.56%,2.49%,2.49%,-,-,-,-
4,Cost of Revenue,643.34,630.82,419.3,423.55,421.91,482.27,355.36,281.88,524.68,366.92,344.09,485.31,126.87,126.87,81.55,81.55,107.86,107.86,85.24,85.24
5,Gross Profit,138.88,118.15,84.3,84.49,102.56,94.92,71.78,95.57,120.76,72.81,80.01,35.16,45.51,45.51,37.84,37.84,37.53,37.53,31.25,31.25
6,"Selling, General & Admin",90.85,85.56,61.09,53.1,67.31,58.76,43.64,53.43,58.28,43.65,45.1,0.45,29.57,29.57,22.16,22.16,30.56,30.56,18.85,18.85
7,Research & Development,7.09,8.03,6.28,6.3,5.03,6.7,5.92,5.08,4.55,5.25,4.05,4.07,-,-,-,-,-,-,-,-
8,Other Operating Expenses,-1.86,1.4,2.67,1.23,1.11,-1.77,2.29,9.24,1.61,-4.01,1.37,4.35,0.97,0.97,0.72,0.72,0.98,0.98,0.71,0.71
9,Operating Expenses,98.72,100.62,72.99,57.65,72.54,68.35,53.17,66.45,65.53,44.87,49.92,5.91,30.48,30.48,23.66,23.66,27.64,27.64,20.65,20.65
10,Operating Income,40.16,17.53,11.31,26.84,30.02,26.56,18.6,29.12,55.23,27.94,30.09,29.25,15.03,15.03,14.18,14.18,9.89,9.89,10.6,10.6
11,Interest Expense,-2.48,-6.91,-,-13.69,-11.14,-5.45,-5.58,-32.45,-,-1.87,-4.76,-,-,-,-,-,-0.02,-0.02,-0.5,-0.5
12,Interest & Investment Income,8.26,5.79,1.9,12.56,3.84,13.27,0.45,-,28.87,-,1.53,3.67,0.08,0.08,0.05,0.05,1.2,1.2,0.09,0.09
13,Currency Exchange Gain (Loss),-4.59,4.59,-,-1.27,0.48,-0.48,-,29.75,-13.72,13.72,-,-8.88,2.55,2.55,0.52,0.52,1.62,1.62,1.39,1.39
14,Other Non Operating Income (Expenses),2.72,-2.72,-,-4.8,2.44,-2.48,-,-3.42,1.29,-1.32,0.16,-1.92,-0.84,-0.84,-0.26,-0.26,-1.28,-1.28,-0.19,-0.19
15,EBT Excluding Unusual Items,44.07,18.27,13.21,19.64,25.63,31.41,13.48,22.99,71.66,38.48,27.02,22.12,16.83,16.83,14.48,14.48,11.41,11.41,11.38,11.38
16,Gain (Loss) on Sale of Investments,-8.67,2.95,2.64,8.32,3.46,-8.28,0.77,3.99,-10.35,-6.36,-0.47,-0.78,-1.48,-1.48,-0.52,-0.52,-1.21,-1.21,-0.4,-0.4
17,Gain (Loss) on Sale of Assets,-0.02,0.01,0.02,0.07,-0.01,-,0.01,0.04,-0.01,0.01,-,-,-,-,-,-,0,0,-,-
18,Asset Writedown,-4.67,-0.48,0.48,0.15,-0.17,-1.53,1.53,5.55,-5.58,2.75,-2.75,3.81,0,0,-,-,0,0,-,-
19,Other Unusual Items,-1.55,0.42,1.07,2.88,-0,0,-,10.08,0,-0,-,6.33,0.38,0.38,0.19,0.19,0.37,0.37,0.26,0.26
20,Pretax Income,29.16,21.17,17.41,31.06,28.92,21.61,15.79,42.64,55.72,34.88,23.8,31.48,15.73,15.73,14.16,14.16,10.58,10.58,11.24,11.24
21,Income Tax Expense,8.21,3.57,4.11,6.52,7.32,4.73,2.24,8.19,8.43,6.54,4.64,5.16,3.62,3.62,3.78,3.78,2.73,2.73,3,3
22,Earnings From Continuing Operations,20.96,17.6,13.3,24.54,21.6,16.88,13.54,34.45,47.29,28.34,19.16,26.33,12.11,12.11,10.38,10.38,7.85,7.85,8.24,8.24
23,Minority Interest in Earnings,2.34,-0.39,0.67,0.01,0.05,0.1,0.04,-0.77,-0.03,0.15,0.05,0.09,0.04,0.04,-0.01,-0.01,-0.18,-0.18,0.03,0.03
24,Net Income,23.29,17.21,13.97,24.56,21.64,16.98,13.59,33.69,47.26,28.49,19.21,26.42,12.15,12.15,10.37,10.37,7.67,7.67,8.27,8.27
25,Net Income to Common,23.29,17.21,13.97,24.56,21.64,16.98,13.59,33.69,47.26,28.49,19.21,26.42,12.15,12.15,10.37,10.37,7.67,7.67,8.27,8.27
26,Net Income Growth,7.62%,1.38%,2.80%,-27.10%,-54.20%,-40.40%,-29.27%,27.50%,288.93%,134.41%,85.26%,154.80%,58.42%,58.42%,25.37%,25.37%,-,-,-,-
27,Shares Outstanding (Basic),122,122,127,121,127,131,124,105,94,95,96,95,85,85,84,84,84,84,91,91
28,Shares Outstanding (Diluted),122,122,127,121,127,131,124,105,94,95,96,95,85,85,84,84,84,84,91,91
29,Shares Change (YoY),-4.19%,-6.66%,2.80%,15.63%,35.31%,38.49%,28.61%,10.68%,10.54%,11.29%,14.34%,12.89%,1.46%,1.46%,-7.83%,-7.83%,-,-,-,-
30,EPS (Basic),0.19,0.14,0.11,0.20,0.17,0.13,0.11,0.32,0.50,0.30,0.20,0.28,0.14,0.14,0.12,0.12,0.09,0.09,0.09,0.09
31,EPS (Diluted),0.19,0.14,0.11,0.20,0.17,0.13,0.11,0.32,0.50,0.30,0.20,0.28,0.14,0.14,0.12,0.12,0.09,0.09,0.09,0.09
32,EPS Growth,12.33%,8.61%,0%,-36.96%,-66.15%,-56.96%,-45.00%,15.19%,251.92%,110.67%,62.02%,125.70%,56.11%,56.11%,38.24%,38.24%,-,-,-,-
33,Free Cash Flow,-35.72,-94.98,-4.54,149.83,151.49,53.01,-394.38,-38.94,-73.4,-70.69,-7.24,96.32,22.66,22.66,-4.84,-4.84,2,2,2.99,2.99
34,Free Cash Flow Per Share,-0.29,-0.78,-0.04,1.23,1.19,0.40,-3.19,-0.37,-0.78,-0.75,-0.08,1.02,0.27,0.27,-0.06,-0.06,0.02,0.02,0.03,0.03
35,Dividend Per Share,-,0.100,-,0.350,-,-,-,0.357,-,-,-,-,-,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-1.99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,17.76%,15.77%,16.74%,16.63%,19.55%,16.44%,16.80%,25.32%,18.71%,16.56%,18.87%,6.76%,26.40%,26.40%,31.70%,31.70%,25.81%,25.81%,26.82%,26.82%
38,Operating Margin,5.13%,2.34%,2.24%,5.28%,5.72%,4.60%,4.36%,7.72%,8.56%,6.35%,7.09%,5.62%,8.72%,8.72%,11.88%,11.88%,6.80%,6.80%,9.10%,9.10%
39,Profit Margin,2.98%,2.30%,2.77%,4.83%,4.13%,2.94%,3.18%,8.92%,7.32%,6.48%,4.53%,5.08%,7.05%,7.05%,8.69%,8.69%,5.28%,5.28%,7.10%,7.10%
40,Free Cash Flow Margin,-4.57%,-12.68%,-0.90%,29.49%,28.88%,9.18%,-92.33%,-10.32%,-11.37%,-16.08%,-1.71%,18.51%,13.14%,13.14%,-4.06%,-4.06%,1.38%,1.38%,2.56%,2.56%
41,EBITDA,46.98,24.59,18.12,33.66,36.2,33.52,24.79,35.31,60.93,34.1,35.79,34.96,16.59,16.59,15.7,15.7,11.5,11.5,11.89,11.89
42,EBITDA Margin,6.01%,3.28%,3.60%,6.63%,6.90%,5.81%,5.80%,9.35%,9.44%,7.75%,8.44%,6.72%,9.62%,9.62%,13.15%,13.15%,7.91%,7.91%,10.20%,10.20%
43,D&A For EBITDA,6.82,7.07,6.82,6.82,6.18,6.96,6.18,6.18,5.7,6.16,5.7,5.7,1.56,1.56,1.52,1.52,1.61,1.61,1.29,1.29
