,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3274,3072,2598,3118,4056,4022,4132,4384,4432,3946,4316,5290,7410,-,-,-,-,-,-,-
1,Market Cap Growth,-23.62%,-23.62%,-37.12%,-28.88%,-8.48%,1.93%,-4.26%,-17.13%,-40.19%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2473,2290,1793,2188,3126,3100,3206,3384,3432,2807,2868,4985,7105,-,-,-,-,-,-,-
3,Last Close Price,16.37,15.36,12.99,15.50,20.16,19.99,20.54,21.69,21.92,19.52,21.35,25.06,35.10,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,57.18,45.75,46.12,46.45,47.19,46.02,54.26,63.06,-,-,-,-,-,-,-
5,PS Ratio,3.14,3.27,2.94,3.81,5.39,5.37,5.28,5.30,5.31,4.99,5.66,7.05,9.83,-,-,-,-,-,-,-
6,PB Ratio,1.59,1.49,1.24,1.48,1.92,1.88,1.93,2.05,2.09,1.89,2.09,2.31,3.26,-,-,-,-,-,-,-
7,P/TBV Ratio,1.53,1.53,1.27,1.52,1.96,1.92,1.98,2.11,2.15,1.93,2.14,2.41,3.41,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-23.97,-,-,-,-427.54,-181.02,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-278.61,-,-,-,35.53,16.97,25.74,33.52,119.47,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.63,2.44,2.03,2.67,4.15,4.14,4.10,4.09,4.11,3.55,3.76,6.64,9.43,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,-,-,-97.76,-,-,-,39.40,39.34,42.46,37.91,31.11,45.94,51.87,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,48.02,47.28,51.66,47.03,36.66,52.46,57.36,-,-,-,-,-,-,-
13,EV/FCF Ratio,-19.30,-17.87,-,-,-,-329.58,-140.46,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.02,0.04,0.06,0.05,0.04,0.07,0.04,0.04,0.06,0.05,0.07,-,0.13,0.13,0.13,0.16,0.16,0.16
15,Debt / EBITDA Ratio,-,-,8.15,-,-,-,1.03,1.70,1.03,1.11,1.38,1.66,2.92,-,0.75,0.65,0.90,0.66,0.63,0.63
16,Debt / FCF Ratio,-,-0.16,-,-,-,-12.14,-3.57,-,-,-,-,-,-,-,-,0.78,0.89,1.17,2.10,4.20
17,Asset Turnover,0.40,0.39,0.39,0.35,0.28,0.28,0.28,0.36,0.35,0.34,0.27,-,-,-,-,-,-,0.77,-,
18,Inventory Turnover,4.02,4.14,3.50,3.74,3.63,2.91,3.05,3.70,4.92,5.17,5.65,5.72,-,-,-,-,-,-,5.02,-
19,Quick Ratio,4.60,4.60,4.14,3.46,3.18,3.40,4.00,4.75,5.89,6.56,4.25,5.58,5.49,-,2.96,-,3.82,-,3.46,3.46
20,Current Ratio,5.61,5.61,5.09,4.28,4.50,4.12,4.64,5.41,6.55,7.30,4.71,6.08,5.80,-,3.37,-,4.33,-,4.04,4.04
21,Return on Equity (ROE),-3.98%,-1.53%,-2.42%,-4.98%,0.23%,4.38%,3.18%,5.37%,4.08%,5.40%,2.80%,-,-,13.94%,16.44%,13.63%,19.10%,20.59%,-,
22,Return on Assets (ROA),-2.59%,-1.78%,-1.38%,-1.99%,-0.37%,1.55%,1.85%,1.74%,1.63%,1.95%,1.22%,-,-,-,-,-,-,11.85%,-,
23,Return on Capital (ROIC),-2.91%,-2.02%,-1.56%,-2.24%,-0.42%,1.73%,2.05%,1.91%,1.83%,2.21%,1.37%,-,-,9.12%,10.57%,7.84%,12.50%,13.13%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,3.10%,3.23%,3.02%,2.76%,3.65%,4.02%,5.28%,-,16.31%,-,18.72%,-,12.01%,6.00%
25,Earnings Yield,-2.08%,-2.21%,-1.77%,-0.47%,0.37%,1.75%,2.19%,2.17%,2.15%,2.12%,2.17%,1.84%,1.59%,-,-,-,-,-,-,-
26,FCF Yield,-3.91%,-4.17%,-6.82%,-4.04%,-1.83%,-0.23%,-0.55%,-3.83%,-5.76%,-10.31%,-10.14%,-6.63%,-2.66%,-,-,-,-,-,-,-
27,Dividend Yield,0.45%,-,-,-,0.37%,-,-,-,0.46%,-,-,-,2.85%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,83.98%,83.28%,6.56%,36.11%,7.33%,679.73%,8.55%,-,4.91%,13.66%,55.73%,85.31%,-,27.88%,27.88%
29,Buyback Yield / Dilution,11.25%,19.56%,-5.78%,-0.72%,32.14%,-4.38%,5.53%,-10.13%,-24.20%,-41.06%,-34.08%,-28.56%,-1.79%,-,-0.47%,1.20%,-,-,-,-
30,Total Shareholder Return,11.70%,19.56%,-5.78%,-0.72%,32.51%,-4.38%,5.53%,-10.13%,-23.75%,-41.06%,-34.08%,-28.56%,1.06%,-,-0.47%,1.20%,-,-,-,-
