,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,534.18,622.89,579.15,706.13,1044,1003,1075,1027,1087,1271,1606,1736,-,472.26,-,490,-,362.07,362.07
1,Trading Asset Securities,290,210,300,60,-,-,-,-,-,0.09,0.09,0.09,-,0.1,-,-,-,-,-
2,Cash & Short-Term Investments,824.18,832.89,879.15,766.13,1044,1003,1075,1027,1087,1271,1606,1736,-,472.36,490,490,362.07,362.07,362.07
3,Cash Growth,-21.04%,-16.96%,-18.23%,-25.39%,-4.00%,-21.11%,-33.04%,-40.85%,-,169.16%,227.68%,254.30%,-,30.46%,35.33%,-,-,-,-
4,Accounts Receivable,334.79,366.66,436.03,342.15,326.46,387.66,370.44,387.68,347.03,335.29,291.23,315.5,-,370.04,-,323.58,-,345.42,345.42
5,Other Receivables,20.43,34.39,17.93,27.87,15.57,22.58,14.96,54.67,15.35,17.25,16.33,25.23,-,2.13,-,10.2,-,1.15,1.15
6,Receivables,355.23,401.05,453.96,370.02,342.03,410.24,385.4,442.35,362.38,352.54,307.56,340.73,-,372.17,-,333.78,-,346.56,346.56
7,Inventory,209.64,240.28,262.67,213.03,225.08,195.45,145.56,142.01,118.93,134.39,108.09,95.58,-,91.68,-,91.93,-,95.49,95.49
8,Prepaid Expenses,-,-,-,-,-,-,-,0.19,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,49.03,44.18,51.09,260.18,71.38,28.65,58.27,21.96,44.99,42.86,62.4,25.15,-,26.04,-,17.64,-,21.82,21.82
10,Total Current Assets,1438,1518,1647,1609,1682,1637,1664,1633,1614,1801,2084,2198,-,962.25,-,933.36,-,825.94,825.94
11,"Property, Plant & Equipment",826.17,827.06,799.93,820.99,801.79,789.23,782.55,735.43,665.63,617.41,469.06,359.85,-,148.52,-,94.02,-,79.75,79.75
12,Other Intangible Assets,50.54,50.73,51.04,51.35,51.64,51.95,52.18,52.44,50.18,50.28,50.55,50.84,-,51.41,-,51.98,-,52.51,52.51
13,Long-Term Deferred Tax Assets,17.51,17.47,16.58,16.58,22.54,20.1,18.25,16.07,13.74,11.4,7.83,7.83,-,4.04,-,3.58,-,4.34,4.34
14,Long-Term Deferred Charges,1.02,1.68,1.09,1.05,0.62,1.44,1.5,0.94,3.59,3.01,1.3,0.25,-,0.05,-,0.11,-,0.18,0.18
15,Other Long-Term Assets,3.91,6.08,-,-,5.91,7.06,5.14,9.19,38.8,40.98,95.34,109.85,-,55.08,-,18.61,-,11.87,11.87
16,Total Assets,2337,2421,2516,2499,2565,2507,2524,2447,2386,2524,2708,2726,-,1221,-,1102,-,974.59,974.59
17,Accounts Payable,213.21,236.85,302.21,223.04,248.15,257.68,209.59,216.39,182.93,295.1,281.66,270.22,-,151,-,73.09,-,63.59,63.59
18,Accrued Expenses,6.86,9.21,6.83,8.52,6.1,8.05,5.17,6.73,7.54,13.85,7.04,9.18,-,11.23,-,7.15,-,8.48,8.48
19,Short-Term Debt,10,40.62,62.74,112.16,112.92,80.16,80.03,20.02,20.02,65.93,45.06,92.12,-,117.15,-,117.16,-,118.42,118.42
20,Current Portion of Leases,10.75,0.45,0.57,0.73,0.29,0.28,0.91,0.98,-,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,3.5,1.06,4.51,3.11,5.99,1.4,8.06,2.39,4.6,3.05,3.71,1.81,-,2.69,-,12.44,-,8.91,8.91
22,Current Unearned Revenue,9.94,4.61,6.9,6.65,29.54,3.63,1.01,0.92,0.21,1.89,0.95,3.35,-,0.79,-,4.57,-,2.48,2.48
23,Other Current Liabilities,2.15,5.3,1.4,3.24,5.2,1.94,2.74,1.93,5.86,2.5,4.51,1.91,-,2.38,-,1.14,-,2.79,2.79
24,Total Current Liabilities,256.41,298.1,385.16,357.45,408.2,353.15,307.51,249.35,221.16,382.32,342.93,378.59,-,285.24,-,215.55,-,204.67,204.67
