,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,49.46,53.93,59.74,114.52,69.52,106.82,74.89,90.69,50.94,150.9,Upgrade
1,Revenue Growth (YoY),-17.22%,-52.91%,-14.07%,7.21%,-7.16%,17.79%,47.01%,-39.90%,-53.69%,56.97%,Upgrade
2,Cost of Revenue,41.19,37.02,45.86,99.93,64.62,88.79,68.87,81.68,46.47,134.24,Upgrade
3,Gross Profit,8.26,16.91,13.88,14.59,4.9,18.02,6.02,9.01,4.47,16.65,Upgrade
4,"Selling, General & Admin",10.23,15.08,9.5,10.47,31.26,13.56,15.96,7.24,12.45,26.01,Upgrade
5,Other Operating Expenses,-2.04,-2.69,-1.81,-1.58,-0.16,-0.86,-0.22,-0.9,-2.42,-2.4,Upgrade
6,Operating Expenses,8.19,-14.05,7.69,38.79,31.09,13.18,15.75,12.44,10.03,30.97,Upgrade
7,Operating Income,0.07,30.96,6.19,-24.2,-26.2,4.85,-9.73,-3.43,-5.56,-14.31,Upgrade
8,Interest Expense,-1.13,-0.44,-1.14,-1.27,-0.8,-0.91,-0.95,-1.4,-1.07,-1.06,Upgrade
9,Interest & Investment Income,0.02,0.05,0.02,0.04,0.01,0.02,0.02,0.02,0.02,0.02,Upgrade
10,Earnings From Equity Investments,-0.16,0.94,-3.77,-0.03,0.32,0.59,-0.26,6.27,-3.65,5.97,Upgrade
11,Other Non Operating Income (Expenses),-,1.09,-,2.67,-,-,-,-,-,-,Upgrade
12,EBT Excluding Unusual Items,-1.2,32.6,1.3,-22.79,-26.66,4.54,-10.92,1.46,-10.27,-9.38,Upgrade
13,Merger & Restructuring Charges,-,-,-,-8.1,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Investments,-15.69,10.81,-3.89,-9.31,-11.61,3.59,2.62,6.86,-4.34,-4.31,Upgrade
15,Gain (Loss) on Sale of Assets,0.89,-7.96,1.49,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,-16,35.45,-1.1,-40.2,-38.27,8.13,-8.3,8.33,-14.61,-13.69,Upgrade
17,Income Tax Expense,0.02,4.29,0.02,0.08,0.01,0.2,0.04,-2.45,0.06,-1.89,Upgrade
18,Net Income,-16.02,31.16,-1.13,-40.28,-38.28,7.93,-8.34,10.78,-14.67,-11.8,Upgrade
19,Net Income to Common,-16.02,31.16,-1.13,-40.28,-38.28,7.93,-8.34,10.78,-14.67,-11.8,Upgrade
20,Net Income Growth,-,-,-,-,-,-26.42%,-,-,-,-,Upgrade
21,Shares Outstanding (Basic),175,175,175,175,170,168,119,89,80,80,Upgrade
22,Shares Outstanding (Diluted),175,175,175,175,170,168,119,89,80,80,Upgrade
23,Shares Change (YoY),-,-0.08%,3.24%,4.31%,43.12%,89.29%,48.84%,11.47%,-,-,Upgrade
24,EPS (Basic),-0.09,0.18,-0.01,-0.23,-0.23,0.05,-0.07,0.12,-0.18,-0.15,Upgrade
25,EPS (Diluted),-0.09,0.18,-0.01,-0.23,-0.23,0.05,-0.07,0.12,-0.18,-0.15,Upgrade
26,EPS Growth,-,-,-,-,-,-61.13%,-,-,-,-,Upgrade
27,Free Cash Flow,-3.44,14.61,-9.39,-21.99,27.24,-1.32,0.28,2.18,-0.54,-14.36,Upgrade
28,Free Cash Flow Per Share,-0.02,0.08,-0.05,-0.13,0.16,-0.01,0.00,0.02,-0.01,-0.18,Upgrade
29,Operating Margin,0.14%,57.41%,10.37%,-21.13%,-37.68%,4.54%,-12.99%,-3.78%,-10.92%,-9.49%,Upgrade
30,Profit Margin,-32.40%,57.77%,-1.88%,-35.17%,-55.06%,7.42%,-11.14%,11.88%,-28.80%,-7.82%,Upgrade
31,Free Cash Flow Margin,-6.96%,27.09%,-15.72%,-19.20%,39.19%,-1.24%,0.37%,2.40%,-1.06%,-9.52%,Upgrade
32,EBITDA,0.72,31.3,7.68,-23.68,-23.16,8.23,-6.68,-0.43,-2.51,-11.15,Upgrade
33,D&A For EBITDA,0.65,0.34,1.49,0.52,3.04,3.39,3.05,3.01,3.05,3.16,Upgrade
34,EBIT,0.07,30.96,6.19,-24.2,-26.2,4.85,-9.73,-3.43,-5.56,-14.31,Upgrade
