,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,-,654.51,791.54,911.77,849.03,759.85,1004,1069,1015,1003,1002,1030,83.19,47.1,59.72,-,130,-
1,Short-Term Investments,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,230.43,100,30,130,247,30,-,-,-,-,21.35,20.6,56.7,71.4,-,30,-
3,Cash & Short-Term Investments,884.94,884.94,921.54,941.77,979.03,1007,1034,1069,1015,1003,1002,1052,103.79,103.8,131.12,160,160,-
4,Cash Growth,-9.61%,-12.11%,-10.86%,-11.93%,-3.53%,0.43%,3.16%,1.69%,877.78%,865.77%,664.32%,557.22%,-35.13%,-,-,-,-,-
5,Accounts Receivable,-,175.27,162.14,154.78,255.28,235.65,224.62,238.1,245.17,258.44,278.35,207.59,177.11,158.96,183.89,-,112.38,-
6,Other Receivables,-,2.16,3.71,2.36,2.24,2.13,2.33,2.72,2.95,1.56,1.29,1.13,1.01,1.01,0.96,-,1.09,-
7,Receivables,-,177.44,165.85,157.15,257.52,237.78,226.94,240.82,248.12,260,279.64,208.72,178.12,159.97,184.85,-,113.47,-
8,Inventory,-,50.72,50.61,53.55,52.32,58.86,61.5,59.32,48.62,46.8,40.94,45.04,33.64,39.03,35.54,-,22.26,-
9,Prepaid Expenses,-,-,-,-,0.29,-,-,-,0.05,-,-,-,3.91,-,-,-,-,-
10,Other Current Assets,-,5.83,4.13,6.86,5.02,8.81,8.18,3.2,4.52,2.68,3.21,5.92,2.72,7.64,3.94,-,0.78,-
11,Total Current Assets,-,1119,1142,1159,1294,1312,1330,1373,1316,1312,1326,1311,322.17,310.44,355.46,-,296.52,-
12,"Property, Plant & Equipment",-,154.56,137.44,107.45,95.82,89.49,71.74,67.16,31.53,17.53,17.29,14.54,14.62,14.14,14.72,-,4.54,-
13,Long-Term Investments,-,3.14,3.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,29.04,29.5,30.08,30.2,30.35,30.97,31.56,32.18,29.51,25.45,0.99,1.02,1.02,1.1,-,1.05,-
15,Long-Term Accounts Receivable,-,-,-,-,-,-,0.18,-,0.08,-,0.08,-,0.08,-,-,-,-,-
16,Long-Term Deferred Tax Assets,-,15.26,13.42,13.03,12.39,14.64,11.92,7.32,6.84,5.32,5.33,5.29,5.4,5.88,6.49,-,2.97,-
17,Long-Term Deferred Charges,-,2.56,3.19,3.82,4.56,5.77,6.01,7.35,4.44,4.86,3.15,3.42,3.68,3.89,4.3,-,3.64,-
18,Other Long-Term Assets,-,2.34,2.55,1.23,4.92,1.12,0.69,4.12,3.19,3.86,7.96,25.29,24.37,5.58,0.98,-,1.16,-
19,Total Assets,-,1326,1332,1315,1442,1454,1452,1490,1394,1373,1385,1361,371.34,340.95,383.05,-,309.88,-
20,Accounts Payable,-,29.75,5.73,11.11,4.27,15.72,4.27,9.8,7.39,7.02,9.47,8.23,8.73,3.45,3.55,-,4.52,-
21,Accrued Expenses,-,6.29,8.06,6.01,7.32,6.46,7.49,6.9,17.64,7.55,17.49,10.38,20.46,8.94,4.91,-,21.33,-
22,Short-Term Debt,-,10,10,10,125,125,125,125,10,-,2.3,-,-,-,35.56,-,12.18,-
23,Current Portion of Leases,-,5.78,5.76,5.75,5.47,5.57,5.84,5.68,6.14,3.54,3.41,2.33,2.26,2.2,2.15,-,-,-
24,Current Income Taxes Payable,-,0.47,-,0.25,-,0.46,-,2.02,2.99,9.5,8.04,6.33,1.57,4.12,15.17,-,7.18,-
25,Current Unearned Revenue,-,3.84,6.49,4.16,6.23,5.4,4.58,6.37,5.22,3.76,3.2,2.94,2.04,6.81,5.27,-,5.91,-
26,Other Current Liabilities,-,1.77,23.31,1.71,0.65,1.45,1.51,1.42,0.62,1.14,5.07,2.61,0.37,0.88,9.61,-,65.4,-
27,Total Current Liabilities,-,57.91,59.35,38.98,148.93,160.06,148.69,157.18,50,32.51,48.97,32.81,35.43,26.41,76.22,-,116.51,-
28,Long-Term Leases,-,0.17,1.58,2.98,4.36,6.09,7.36,8.81,11.32,7.26,7.61,6.79,7.38,7.83,8.4,-,-,-
29,Long-Term Unearned Revenue,-,0.42,0.47,0.52,0.56,0.09,0.1,0.11,0.13,0.16,0.19,0.24,0.28,0.42,0.62,-,1.43,-
30,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.53,-,0.01,-
31,Total Liabilities,-,58.5,61.4,42.47,153.85,166.24,156.14,166.11,61.45,39.93,56.76,39.83,43.09,34.66,85.77,-,117.95,-
32,Common Stock,-,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50,50,50,-,50,-
33,Additional Paid-In Capital,-,1097,1097,1095,1094,1093,1091,1090,1089,1087,1086,1085,124.45,123.13,121.8,-,119.15,-
34,Retained Earnings,-,153.49,156.58,159.82,157.02,135.86,138.1,167.81,178.03,179.34,176.09,169.85,154,133.35,125.67,-,87.96,-
35,Treasury Stock,-,-50,-49.01,-49.01,-29.11,-7.46,-,-,-,-,-,-,-,-,-,-,-65,-
36,Comprehensive Income & Other,-,-0.26,-0.25,-0.25,-0.25,-0.21,-0.18,-0.33,-0.3,-0.12,-0.19,-0.21,-0.2,-0.18,-0.19,-,-0.18,-
37,Shareholders' Equity,1267,1267,1271,1272,1288,1287,1296,1324,1333,1333,1328,1321,328.25,306.3,297.29,191.93,191.93,-
38,Total Liabilities & Equity,-,1326,1332,1315,1442,1454,1452,1490,1394,1373,1385,1361,371.34,340.95,383.05,-,309.88,-
39,Total Debt,15.95,15.95,17.34,18.73,134.83,136.65,138.19,139.49,27.46,10.81,13.31,9.12,9.64,10.03,46.12,12.18,12.18,-
40,Net Cash (Debt),868.99,868.99,904.2,923.04,844.21,870.19,895.63,929.81,987.4,991.7,988.88,1042,94.16,93.78,85.01,147.82,147.82,-
41,Net Cash Growth,2.94%,-0.14%,0.96%,-0.73%,-14.50%,-12.25%,-9.43%,-10.80%,948.67%,957.51%,1063.31%,605.20%,-36.30%,-,-,-,-,-
42,Net Cash Per Share,10.76,16.97,14.21,13.16,11.30,12.40,14.12,13.64,14.34,14.97,11.73,21.05,1.85,1.91,1.64,3.03,3.15,-
43,Filing Date Shares Outstanding,80.75,51.2,65.07,66.67,65.07,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50,50,48.78,46.89,-
44,Total Common Shares Outstanding,80.75,51.2,65.07,66.67,65.78,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50,50,50,48.78,46.89,-
45,Working Capital,-,1061,1083,1120,1145,1152,1182,1215,1266,1279,1277,1278,286.74,284.03,279.24,-,180.01,-
46,Book Value Per Share,24.75,24.75,19.53,19.09,19.58,19.31,19.44,19.86,19.99,20.00,19.93,19.81,6.57,6.13,5.95,4.09,4.09,-
47,Tangible Book Value,1238,1238,1241,1242,1258,1257,1265,1292,1301,1304,1303,1320,327.24,305.28,296.18,190.88,190.88,-
48,Tangible Book Value Per Share,24.18,24.18,19.07,18.63,19.12,18.86,18.97,19.39,19.51,19.55,19.54,19.80,6.54,6.11,5.92,4.07,4.07,-
49,Machinery,-,-,24.62,-,24.54,-,23.49,-,18.05,-,14.27,-,12.58,-,10.49,-,9.65,-
50,Construction In Progress,-,-,119.59,-,74.26,-,45.97,-,5.95,-,0.85,-,-,-,-,-,-,-
