,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020"
0,Operating Revenue,69.86,39.48,49.73,26.24,57.32,42.13,36.91,31.23,38.33,34.74,114.29,54.92,68.2,37.07,85.09,31.88,37.12,68.09
1,Other Revenue,-,-0.4,0.4,-,0.66,-0.24,0.24,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,69.86,39.07,50.14,26.24,57.98,41.89,37.15,31.23,38.33,34.74,114.29,54.92,68.2,37.07,85.09,31.88,37.12,68.09
3,Revenue Growth (YoY),20.49%,-6.72%,34.94%,-15.96%,51.29%,20.58%,-67.49%,-43.14%,-43.81%,-6.29%,34.32%,72.27%,83.72%,-45.56%,-,-,-,-
4,Cost of Revenue,-48.6,16.86,21.02,10.73,23.3,16.6,16.06,12.45,22.06,9.72,35.77,15.78,25.51,9.89,16.45,9.04,11.6,13.79
5,Gross Profit,118.47,22.22,29.12,15.51,34.68,25.29,21.09,18.77,16.26,25.02,78.52,39.14,42.69,27.18,68.64,22.84,25.52,54.29
6,"Selling, General & Admin",-43.67,12.54,15.56,15.58,13.6,15.75,14.87,16.7,12.89,16.53,21.66,11.11,9.23,9.54,12.55,11.07,9.53,11.19
7,Research & Development,-33.97,11.1,11.02,11.85,8.6,15.39,14.01,14.08,16.39,13.93,19.78,11.51,11.5,13.9,10.68,11.69,8.89,16.03
8,Other Operating Expenses,173.3,-0.64,0.87,-0.88,0.53,-0.37,-0.69,-0.27,9.27,-2.53,-7.13,0.33,0.75,-1.99,0.22,-0.84,-1.78,-1.17
