,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,198.88,259.61,269.77,445.43,475.04,548.02,929.49,897.09,655.36,411.15
1,Short-Term Investments,553.37,668.43,583.29,466.03,234.23,-,32.3,9.79,235.03,547.26
2,Trading Asset Securities,72.37,44.03,64.3,66.76,444.23,634.34,222.71,252.56,308.86,224.15
3,Cash & Short-Term Investments,824.62,972.08,917.36,978.22,1153,1182,1184,1159,1199,1183
4,Cash Growth,-10.11%,-0.63%,-20.47%,-17.27%,-2.62%,1.98%,-1.23%,-1.96%,4.01%,-0.06%
5,Accounts Receivable,408.33,344.27,292.21,253.96,256.1,292.32,269.92,174.01,71.9,60.73
6,Other Receivables,11.69,6.96,21.82,8.14,10.38,152.11,19.91,25.29,18.59,22.53
7,Receivables,426.93,357.92,320.91,319.02,326.75,455.32,300.16,210.99,109.05,101.93
8,Inventory,4.62,4.51,2.62,2.64,3.73,3,3.53,3.33,18.33,12.96
9,Restricted Cash,91.99,21.78,6.7,23.47,10.66,21.73,-,-,-,-
10,Other Current Assets,60.65,56.25,47.07,44.42,49.87,36.87,27.07,20.66,29.53,38.71
11,Total Current Assets,1409,1413,1295,1368,1545,1699,1515,1394,1356,1336
12,"Property, Plant & Equipment",56.76,55.24,59.28,51.2,55.39,63.98,378.49,366.15,374.28,362.54
13,Long-Term Investments,289.81,394.62,472.08,375.97,294.89,333.46,412.11,361.19,316.06,308.27
14,Goodwill,2.36,2.36,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
15,Other Intangible Assets,1.85,2.35,3.03,2.86,3.07,4.42,5.59,7.32,7.33,8.83
16,Long-Term Deferred Tax Assets,3.13,3.17,2.86,6.77,7.05,10.79,11.08,12.73,18.54,18.54
17,Other Long-Term Assets,-,-,-,-,5,5,-,-,1.12,1.5
18,Total Assets,1763,1870,1840,1812,1918,2125,2330,2150,2081,2044
19,Accounts Payable,256.34,212.43,198.66,178.62,194.68,233.08,214.13,164.06,96.36,81.29
20,Accrued Expenses,114.23,124.32,134.6,125.11,96.34,105.08,104.5,110.26,85.27,77.42
21,Short-Term Debt,68.99,212.79,73.04,38.1,19.53,16.28,47.5,7,12,12
22,Current Portion of Leases,16.23,11.61,14.03,21.6,23.73,19.51,16.25,14.79,15.84,18.21
23,Current Income Taxes Payable,47.31,47.13,47.47,47.35,47.16,47.16,39.18,39.91,39.3,39.37
24,Current Unearned Revenue,93.11,140.68,103.55,89.6,122.22,126.86,132.22,111.48,122.06,104.04
25,Other Current Liabilities,181,81.58,96.07,126.02,166.76,269.35,413.71,394.32,381.97,343.49
26,Total Current Liabilities,777.21,830.53,667.42,626.39,670.43,817.31,967.48,841.83,752.81,675.83
27,Long-Term Leases,24.22,21.31,23.02,15.44,14.98,21.5,19.84,12.96,20.46,12.35
