,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters
0,Market Capitalization,278400,260400,271200,315600,303600,297600,330000,340800,350400,406800,390000,478800,327600,315600,258000,260400,252000,196800,173000,187000,158000,Upgrade
1,Market Cap Growth,-25.68%,-12.50%,-17.82%,-7.39%,-13.36%,-26.84%,-15.38%,-28.82%,6.96%,28.90%,51.16%,83.87%,30.00%,60.37%,49.13%,39.25%,59.49%,45.78%,20.14%,-6.50%,-7.06%,Upgrade
2,Enterprise Value,93198,103395,169820,182978,166596,180825,219989,220897,230497,315050,321985,389380,291012,326477,268877,280387,271987,227475,225096,213243,224069,Upgrade
3,Last Close Price,23200.00,21700.00,22600.00,24524.47,23591.98,22218.85,24637.83,23506.36,24168.51,26986.35,25871.87,29556.95,20223.18,18832.99,15395.79,14525.59,14057.02,10469.63,8568.76,9262.19,7825.81,Upgrade
4,PE Ratio,7.20,5.93,8.58,8.41,6.44,6.54,6.64,6.01,6.25,6.53,6.43,8.41,6.01,6.05,5.19,5.56,5.50,4.35,4.22,4.91,4.13,Upgrade
5,PS Ratio,0.42,0.37,0.44,0.51,0.46,0.43,0.45,0.43,0.43,0.50,0.50,0.63,0.45,0.44,0.36,0.37,0.35,0.28,0.25,0.27,0.23,Upgrade
6,PB Ratio,1.39,1.30,1.51,1.60,1.54,1.55,1.81,1.60,1.72,-,2.06,2.25,1.61,1.63,-,1.33,1.33,1.09,1.00,1.04,0.90,Upgrade
7,P/TBV Ratio,1.30,1.30,1.51,1.60,1.54,1.55,1.81,1.60,1.72,-,2.06,2.25,1.61,1.63,-,1.33,1.33,1.09,1.00,1.04,0.90,Upgrade
8,P/FCF Ratio,4.20,119.56,-,-,8.87,11.23,10.11,-,-,3.30,4.03,-,3.79,-,3.26,-,4.80,4.45,3.14,-,2.28,Upgrade
