,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters
0,Revenue,225884,155439,116975,199436,144629,157837,157286,225336,195363,216079,175031,227344,167309,187335,151797,215554,166785,178853,151722,199431,Upgrade
1,Revenue Growth (YoY),56.18%,-1.52%,-25.63%,-11.49%,-25.97%,-26.95%,-10.14%,-0.88%,16.77%,15.34%,15.31%,5.47%,0.31%,4.74%,0.05%,8.08%,-0.69%,3.96%,0.97%,-4.67%,Upgrade
2,Cost of Revenue,182559,137676,109422,166805,121573,132597,135805,192868,163190,178659,153750,184800,142343,158202,134891,174736,145021,154109,134310,158227,Upgrade
3,Gross Profit,43325,17763,7553,32632,23057,25240,21481,32468,32173,37419,21280,42544,24966,29134,16906,40817,21764,24744,17411,41204,Upgrade
4,"Selling, General & Admin",19197,11746,7383,12847,12815,12277,9454,13108,16358,15508,9853,14961,10464,10860,7831,15559,9976,9452,8267,15959,Upgrade
5,Operating Expenses,19197,11746,7383,12847,12815,12277,9454,13108,16358,15508,9853,14961,10464,10860,7831,15559,9976,9452,8267,15959,Upgrade
6,Operating Income,24128,6017,170.75,19785,10242,12963,12027,19360,15815,21911,11427,27583,14502,18274,9075,25258,11788,15292,9145,25245,Upgrade
7,Interest Expense,-13.53,-16.38,-26.28,-32.77,-32.77,-32.41,-33.66,-49.15,-49.15,-48.62,-48.08,-77.98,-168.69,-400.16,-543.23,-680.35,-659.32,-905.53,-1373,-1390,Upgrade
8,Interest & Investment Income,2691,260.48,343.53,2195,989.3,2103,430.28,1510,683.15,628.72,255.11,230.89,8.41,6.03,4.28,14.35,1.97,1.44,2.6,12.27,Upgrade
9,Other Non Operating Income (Expenses),-171.8,52.49,-17.43,-195.65,-20.72,-204.82,51.69,-905.55,-14.24,-16.01,-15.37,-105.66,-26.39,7.29,13.96,26.15,14.08,-76.89,-429.27,-44.24,Upgrade
10,Pretax Income,26634,6314,470.58,21751,11178,14828,12475,19916,16435,22475,11619,27630,14316,17887,8550,24619,11145,14311,7345,23823,Upgrade
11,Income Tax Expense,5410,1275,109.32,4455,2248,3905,2508,4264,3298,4509,2338,5687,2895,3591,1722,4977,2241,2874,1481,4817,Upgrade
