,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+9 Quarters
0,Cash & Equivalents,115702,109505,63880,97622,102004,81775,75011,102356,-,89250,65515,86920,31045,-,19149,33864,17759,7401,5140,17674,Upgrade
1,Short-Term Investments,69500,50000,40000,40000,40000,40000,40000,40000,-,10000,10000,10000,17000,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,185202,159505,103880,137622,142004,121775,115011,142356,-,99250,75515,96920,48045,-,19149,33864,17759,7401,5140,17674,Upgrade
3,Cash Growth,30.42%,30.98%,-9.68%,-3.33%,-,22.70%,52.30%,46.88%,-,-,294.35%,186.20%,170.53%,-,272.57%,91.60%,-15.06%,-48.50%,-67.45%,979.25%,Upgrade
4,Accounts Receivable,6195,4289,13630,10733,23619,27916,31518,7668,-,44081,36943,6828,28726,-,35317,15423,36012,41413,41226,16065,Upgrade
5,Other Receivables,3219,1514,1968,2698,2055,2087,2275,2749,-,1134,1630,1639,954.28,-,806.02,639.46,937.13,752.57,701.39,841.81,Upgrade
6,Receivables,9413,5803,15599,13431,25673,30003,33794,10417,-,45216,38573,8468,29681,-,36123,16063,36949,42166,41927,16907,Upgrade
7,Inventory,15135,37396,39724,44169,30022,35296,31666,26786,-,29008,29816,13550,23720,-,24206,22374,30254,29294,26715,12534,Upgrade
8,Prepaid Expenses,77.8,717.87,70.26,89.99,893.74,1758,88.86,104.5,-,1416,83.69,107.75,671.97,-,-,-,1344,-,-,-,Upgrade
