,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2423,2254,3183,2124,1794,1423,1473,1401,1754,1364,Upgrade
1,Short-Term Investments,612.59,523.85,54.41,10.78,44.73,17.39,99.95,13.98,31.6,13.53,Upgrade
2,Cash & Short-Term Investments,3036,2778,3238,2135,1839,1441,1573,1415,1786,1378,Upgrade
3,Cash Growth,-6.24%,30.10%,76.08%,48.22%,16.89%,1.79%,-11.92%,2.73%,29.97%,0.37%,Upgrade
4,Accounts Receivable,1899,1743,2144,1764,2038,2289,2393,2319,2427,1937,Upgrade
5,Other Receivables,1033,1100,939.34,1143,1073,922.37,701.69,623.22,420.56,404.58,Upgrade
6,Receivables,2931,2843,3083,2907,3111,3212,3095,2943,2848,2342,Upgrade
7,Inventory,2230,2256,3026,3472,3977,2994,2496,2414,2343,2104,Upgrade
8,Prepaid Expenses,80.76,87.55,80.42,79.77,85.42,85.17,76.67,77.74,-,74.13,Upgrade
9,Restricted Cash,7.67,7.1,14.1,13.37,7.57,6.57,9.45,4.01,14.73,12.15,Upgrade
10,Other Current Assets,320.18,457.82,708.61,243.23,218.56,48.9,298.84,324.72,429.57,306.75,Upgrade
11,Total Current Assets,8605,8430,10151,8850,9238,7786,7549,7178,7421,6217,Upgrade
12,"Property, Plant & Equipment",18761,18989,19110,19290,18690,18304,18159,18022,17982,18331,Upgrade
13,Long-Term Investments,504.63,500.89,532.36,532.24,340.93,337.58,301.1,343.45,402.39,425.04,Upgrade
14,Goodwill,55.13,55.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.13,Upgrade
15,Other Intangible Assets,1983,1618,1534,1571,1454,1379,1101,995.99,947.52,930.61,Upgrade
