,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2264,2612,2438,4876,7097,8882,8534,9056,7968,8795,13280,Upgrade
1,Market Cap Growth,-12.50%,-46.43%,-65.64%,-45.10%,-16.84%,-1.92%,7.10%,2.97%,-40.00%,-38.23%,44.55%,Upgrade
2,Enterprise Value,5199,6353,5916,7940,9883,11636,10637,12407,13157,15352,21463,Upgrade
3,Last Close Price,0.52,0.60,0.56,1.12,1.63,2.04,1.96,2.08,1.83,2.02,3.05,Upgrade
4,PE Ratio,-,-,-,-,8.31,3.69,2.50,2.43,2.11,2.61,3.99,Upgrade
5,Forward PE,-,23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18,23.18,Upgrade
6,PS Ratio,0.16,0.15,0.12,0.22,0.29,0.31,0.28,0.33,0.32,0.39,0.55,Upgrade
7,PB Ratio,0.13,0.14,0.12,0.24,0.32,0.39,0.37,0.44,0.42,0.58,0.94,Upgrade
8,P/TBV Ratio,0.12,0.15,0.13,0.26,0.36,0.44,0.41,0.48,0.46,0.63,1.03,Upgrade
9,P/FCF Ratio,3.73,-,-,-,14.76,-,3.76,3.57,2.97,2.54,3.94,Upgrade
10,P/OCF Ratio,3.73,19.00,-,2.66,2.36,2.71,1.96,1.92,1.91,1.94,2.85,Upgrade
11,PEG Ratio,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,Upgrade
12,EV/Sales Ratio,0.34,0.37,0.30,0.36,0.41,0.41,0.35,0.46,0.53,0.67,0.89,Upgrade
13,EV/EBITDA Ratio,2.23,5.89,3.46,2.65,2.38,1.77,1.36,1.57,1.63,2.03,2.83,Upgrade
14,EV/EBIT Ratio,5.71,-20.55,-,5.27,3.76,2.30,1.72,2.00,2.06,2.59,3.62,Upgrade
15,EV/FCF Ratio,8.46,-,-,-,20.56,-,4.68,4.90,4.90,4.44,6.37,Upgrade
16,Debt / Equity Ratio,0.30,0.31,0.33,0.33,0.24,0.21,0.18,0.18,0.31,0.46,0.57,Upgrade
17,Debt / FCF Ratio,10.10,-,-,-,10.76,-,1.85,1.48,2.16,2.03,2.37,Upgrade
18,Return on Capital Employed (ROCE),4.23%,-1.42%,-,6.78%,11.05%,20.76%,25.69%,28.58%,30.14%,32.37%,33.85%,Upgrade
19,Earnings Yield,-6.61%,-48.44%,-39.94%,0.85%,12.03%,27.09%,39.95%,41.09%,47.50%,38.34%,25.05%,Upgrade
20,FCF Yield,26.84%,-38.33%,-35.11%,7.71%,6.77%,10.25%,26.61%,27.98%,33.69%,39.30%,25.39%,Upgrade
21,Buyback Yield / Dilution,-7.65%,-,-,-,-,-,2.09%,2.09%,-2.14%,-2.14%,-15.30%,Upgrade
22,Total Shareholder Return,-7.65%,-,-,-,-,-,2.09%,2.09%,-2.14%,-2.14%,-15.30%,Upgrade
