,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,279,94,118,132,157,205,193,256,234,212,234,Upgrade
1,Market Cap Growth,-28.36%,-28.36%,-25.00%,-35.58%,-18.37%,-20.00%,-17.65%,20.37%,0%,-45.73%,-48.03%,Upgrade
2,Enterprise Value,330,160,192,182,130,260,232,287,261,231,237,Upgrade
3,Last Close Price,0.14,0.05,0.06,0.07,0.08,0.10,0.10,0.13,0.12,0.11,0.12,Upgrade
4,PS Ratio,1.86,0.63,0.67,0.76,1.24,4.07,7.00,8.21,9.55,10.68,5.37,Upgrade
5,PB Ratio,0.75,0.26,0.31,0.34,0.39,0.51,0.46,0.57,0.50,0.44,0.46,Upgrade
6,P/TBV Ratio,0.25,0.25,0.31,0.34,0.39,0.50,0.45,0.56,0.50,0.43,0.46,Upgrade
7,P/FCF Ratio,11.60,3.92,7.91,-77.18,-,-,-,-,-,-,-,Upgrade
8,P/OCF Ratio,3.62,3.62,6.97,-118.48,-,-,-,-,-,-,-,Upgrade
9,EV/Sales Ratio,2.19,1.06,1.09,1.05,1.03,5.17,8.45,9.21,10.67,11.62,5.45,Upgrade
10,EV/EBITDA Ratio,22.24,-14.01,-,-12.67,-,-8.41,-,-,-,-,-,Upgrade
11,EV/FCF Ratio,13.70,6.63,12.90,-106.38,-,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.25,0.25,0.32,0.35,0.30,0.03,0.19,0.13,0.13,0.10,0.06,Upgrade
13,Debt / FCF Ratio,3.89,3.89,8.14,-79.58,-,-,-,-,-,-,-,Upgrade
14,Earnings Yield,-7.34%,-21.71%,-17.09%,-10.28%,-15.11%,-23.37%,-23.04%,-13.91%,-18.49%,-34.11%,-30.20%,Upgrade
15,FCF Yield,8.62%,25.50%,12.64%,-1.30%,-16.91%,-16.27%,-13.20%,-4.77%,-5.20%,-11.73%,-9.40%,Upgrade
16,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-0.26%,Upgrade,
17,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-0.26%,Upgrade,
