,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,148.72,625.61,820.61,1097,1342,1627,26.23,24.26,-
1,Short-Term Investments,783.95,651.61,629.28,201.57,-,-,-,-,-
2,Cash & Short-Term Investments,932.67,1277,1450,1299,1342,1627,26.23,24.26,-
3,Cash Growth,-35.67%,-1.64%,8.05%,-20.17%,5015.75%,6606.79%,-,-,-
4,Accounts Receivable,130.29,47.93,-,-,-,-,-,-,-
5,Other Receivables,36.91,47.61,47.63,31.63,24.21,3.51,0.62,1.98,-
6,Receivables,167.2,95.54,47.63,31.63,24.21,3.51,0.62,1.98,-
7,Inventory,20.57,20.22,27.54,35.96,99.06,61.5,39.67,36.86,-
8,Restricted Cash,1.55,1.71,-,-,-,-,-,-,-
9,Other Current Assets,38.06,29.46,24.37,24.09,25.34,22.38,26.86,8.22,-
10,Total Current Assets,1160,1424,1549,1390,1490,1714,93.38,71.31,-
11,"Property, Plant & Equipment",516.97,606.2,783.72,1150,2395,2220,1214,743.35,-
12,Other Intangible Assets,0.05,0.06,0.07,0.08,0.08,0.09,0.08,0.11,-
13,Long-Term Deferred Tax Assets,76.15,76.56,76.57,46.47,61.09,29.89,20.05,18.32,-
14,Other Long-Term Assets,50.75,58.01,78.85,89.69,93.88,323.05,128.41,26.85,-
15,Total Assets,1804,2165,2489,2677,4041,4287,1456,859.94,-
16,Accounts Payable,37.13,30.72,48.26,62.74,62.27,75.14,52.03,36.46,-
17,Accrued Expenses,12.54,14.37,15.23,22.81,53.12,54.93,42.89,39.14,-
18,Short-Term Debt,-,-,-,-,-,-,55,48.14,-
19,Current Portion of Leases,66.28,81.07,99.95,175.8,170.81,185.52,116.74,78.86,-
20,Current Income Taxes Payable,16.65,16.65,19.82,12.35,22.44,25.57,18.33,25.16,-
21,Current Unearned Revenue,3.9,3.55,-,-,-,-,-,-,-
22,Other Current Liabilities,12.22,5.99,8.82,15,6.76,8.27,239.05,11.58,-
23,Total Current Liabilities,148.73,152.35,192.09,288.7,315.41,349.43,524.03,239.33,-
24,Long-Term Leases,131.43,174.6,298.13,565.2,986.79,1061,704.19,460.38,-
25,Long-Term Unearned Revenue,5.68,5.62,-,-,-,-,-,-,-
26,Other Long-Term Liabilities,19.27,11.01,-,-,-,-,-,-,-
27,Total Liabilities,305.11,343.58,490.22,853.9,1302,1410,1228,699.7,-
28,Common Stock,0,0,0,0,0,0,0,0,-
29,Additional Paid-In Capital,2309,2707,2860,2860,2860,2860,-,-,-
30,Retained Earnings,-1422,-1492,-1515,-1672,-375.2,-71.06,134.11,158.94,-
31,Comprehensive Income & Other,611.67,606.42,652.94,634.86,253.1,87.56,93.47,1.3,-
32,Total Common Equity,1499,1821,1998,1823,2738,2877,227.58,160.24,-
33,Minority Interest,-,-,-,-,0.35,-,-,-,-
34,Shareholders' Equity,1499,1821,1998,1823,2738,2877,227.58,160.24,-
35,Total Liabilities & Equity,1804,2165,2489,2677,4041,4287,1456,859.94,-
36,Total Debt,197.71,255.67,398.08,741,1158,1246,875.93,587.38,-
37,Net Cash (Debt),734.97,1022,1052,557.56,184.21,380.59,-849.7,-563.12,-
38,Net Cash Growth,-30.12%,83.22%,470.98%,46.50%,-,-,-,-,-
39,Net Cash Per Share,0.58,0.81,0.83,0.57,0.15,0.33,-0.84,-0.53,-
40,Filing Date Shares Outstanding,1265,1208,1219,1272,1226,1219,1247,1000,1000
41,Total Common Shares Outstanding,1265,1208,1219,1272,1226,1219,1012,1000,1000
42,Working Capital,1011,1272,1357,1102,1175,1365,-430.65,-168.02,-
43,Book Value Per Share,1.18,1.51,1.64,1.43,2.23,2.36,0.22,0.16,-
44,Tangible Book Value,1499,1821,1998,1823,2738,2877,227.49,160.13,-
45,Tangible Book Value Per Share,1.18,1.51,1.64,1.43,2.23,2.36,0.22,0.16,-
46,Land,-,-,-,-,211.46,-,-,-,-
47,Buildings,211.08,211.08,211.08,211.08,-,-,-,-,-
48,Machinery,162.05,170.4,290.8,263.16,211.04,180.9,101.66,60.23,-
49,Leasehold Improvements,139.77,204.46,847.12,554.05,989.89,825.43,343.18,181.06,-
