,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,2057,2706,4602,9733,18169,22068,23919,-,-,-
1,Market Cap Growth,-72.20%,-72.20%,-74.67%,-55.90%,-24.04%,-,-,-,-,-
2,Enterprise Value,1268,1580,3465,9102,17953,21601,24941,-,-,-
3,Last Close Price,1.71,2.01,3.10,6.12,11.86,14.49,15.11,-,-,-
4,PE Ratio,21.81,27.17,23.14,-7.90,-,-,-,-,-,-
5,Forward PE,10.27,9.60,12.40,20.17,51.27,52.66,39.29,-,-,-
6,PS Ratio,2.14,2.68,3.46,6.45,10.31,10.23,10.62,-,-,-
7,PB Ratio,1.34,1.68,2.29,4.51,8.82,6.88,6.77,-,-,-
8,P/TBV Ratio,1.68,1.68,2.29,4.51,8.82,6.88,6.77,-,-,-
9,P/FCF Ratio,30.85,40.57,18.20,66.38,-,-,-,-,-,-
10,P/OCF Ratio,25.58,25.58,15.19,29.83,112.48,59.41,53.16,-,-,-
11,EV/Sales Ratio,1.26,1.56,2.60,6.04,10.18,10.02,11.07,-,-,-
12,EV/EBITDA Ratio,4.89,9.16,12.62,-25.73,-,-,102.41,-,-,-
13,EV/EBIT Ratio,12.11,15.09,19.68,-16.69,-,-,175.46,-,-,-
14,EV/FCF Ratio,19.01,23.69,13.71,62.08,-,-,-,-,-,-
15,Debt / Equity Ratio,0.13,0.13,0.14,0.20,0.41,0.42,0.43,3.85,3.67,-
16,Debt / FCF Ratio,3.19,3.19,1.11,2.93,-,-,-,-,4.21,-
17,Return on Capital Employed (ROCE),5.89%,5.89%,7.94%,-21.98%,-,-,2.94%,17.07%,15.28%,-
18,Earnings Yield,4.84%,3.68%,4.32%,-12.65%,-9.96%,-2.70%,-1.18%,-,-,-
19,FCF Yield,3.24%,2.47%,5.49%,1.51%,-1.42%,-3.68%,-3.22%,-,-,-
20,Dividend Yield,19.76%,19.06%,11.19%,2.05%,-,-,-,-,-,-
21,Buyback Yield / Dilution,-13.09%,0.11%,-30.30%,-3.65%,15.37%,-21.09%,-9.02%,-0.94%,-,-
22,Total Shareholder Return,6.67%,19.17%,-19.11%,-1.60%,15.37%,-21.09%,-9.02%,-0.94%,-,-
