,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,441.29,498.62,709.99,685.7,873.61,967.53,868.08,602.89,215.06
1,Revenue Growth (YoY),-37.85%,-27.28%,-18.73%,-29.13%,0.64%,60.48%,303.65%,-,-
2,Cost of Revenue,273.69,336.67,382.03,950.62,722.75,638.1,625.55,342.91,150.36
3,Gross Profit,167.61,161.95,327.96,-264.93,150.86,329.43,242.53,259.98,64.69
4,"Selling, General & Admin",23.34,13.55,43.03,52.08,44.22,18.27,41.19,25.78,12.23
5,Other Operating Expenses,30.04,20.61,53.04,22.72,72.49,42.12,51.71,39.25,15.25
6,Operating Expenses,117.71,114.4,215.66,352.16,355.29,255.02,201.14,142.28,87.55
7,Operating Income,49.9,47.55,112.3,-617.08,-204.42,74.41,41.39,117.7,-22.85
8,Interest Expense,-6.11,-10.37,-17.43,-4.9,-37.1,-31.48,-26.21,-16,-12.66
9,Interest & Investment Income,29.8,26.64,41.95,4.07,0.89,0.54,0.03,0.02,0.01
10,Currency Exchange Gain (Loss),16.24,21.06,20.99,61.06,-,-,-,-,-
11,Other Non Operating Income (Expenses),-16.64,-49.42,1.4,11.74,-6.78,-208.55,14.42,18.83,1.32
12,EBT Excluding Unusual Items,73.18,35.47,159.22,-545.12,-247.42,-165.09,29.64,120.55,-34.18
13,Gain (Loss) on Sale of Assets,-10.5,-80.17,-134.89,-98.61,-43.43,-,-,-,-
14,Asset Writedown,-,-11.34,-,-665.74,-47.17,-10.99,-,-,-
15,Other Unusual Items,6.77,75.45,108.22,17.64,13.37,-5.76,-24.65,1.79,8.8
16,Pretax Income,69.46,19.42,132.55,-1292,-324.65,-181.84,4.99,122.35,-25.38
17,Income Tax Expense,-0.22,-3.6,-24.94,5.18,-20.51,23.33,29.82,33.75,-6.85
18,Net Income,69.68,23.01,157.49,-1297,-304.14,-205.16,-24.84,88.6,-18.53
19,Net Income to Common,69.68,23.01,157.49,-1297,-304.14,-205.16,-24.84,88.6,-18.53
20,Net Income Growth,-55.76%,-,-,-,-,-,-,-,-
21,Shares Outstanding (Basic),1265,1267,1267,972,1222,1149,1009,1000,1000
22,Shares Outstanding (Diluted),1265,1267,1267,972,1222,1149,1009,1054,1000
23,Shares Change (YoY),-0.11%,30.30%,3.65%,-15.37%,21.09%,9.02%,0.94%,-,-
24,EPS (Basic),0.06,0.02,0.12,-1.33,-0.25,-0.18,-0.02,0.09,-0.02
25,EPS (Diluted),0.06,0.02,0.12,-1.33,-0.25,-0.18,-0.03,0.08,-0.02
26,EPS Growth,-55.65%,-,-,-,-,-,-,-,-
27,Free Cash Flow,33.49,28.58,200.89,-65.2,-163.08,-530.8,-96.13,110.22,29.46
28,Free Cash Flow Per Share,0.03,0.02,0.16,-0.07,-0.13,-0.46,-0.10,0.10,0.03
29,Dividend Per Share,0.157,0.199,0.116,-,-,-,-,-,-
30,Dividend Growth,35.37%,-,-,-,-,-,-,-,-
31,Operating Margin,11.31%,9.54%,15.82%,-89.99%,-23.40%,7.69%,4.77%,19.52%,-10.63%
32,Profit Margin,15.79%,4.62%,22.18%,-189.15%,-34.81%,-21.20%,-2.86%,14.70%,-8.61%
33,Free Cash Flow Margin,7.59%,5.73%,28.29%,-9.51%,-18.67%,-54.86%,-11.07%,18.28%,13.70%
34,EBITDA,82.13,78.34,170.89,-498.3,-123.21,130.57,67.83,131.57,-4.71
35,D&A For EBITDA,32.23,30.79,58.58,118.78,81.22,56.16,26.44,13.87,18.15
36,EBIT,49.9,47.55,112.3,-617.08,-204.42,74.41,41.39,117.7,-22.85
