,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1984,732.55,732.55,352.61,-,-,-,478.96
1,Trading Asset Securities,-,911.08,748.18,748.18,1111,-,-,-,30.01
2,Cash & Short-Term Investments,2895,2895,1481,1481,1464,-,-,1084,508.98
3,Cash Growth,97.79%,-,-,36.61%,187.61%,-,-,-,-
4,Accounts Receivable,-,114.95,115.91,115.91,93.03,-,-,-,56.29
5,Other Receivables,-,6.93,6.71,6.71,8.64,-,-,-,8.51
6,Receivables,-,121.87,122.62,122.62,101.67,-,-,-,64.79
7,Inventory,-,3.43,3.34,3.34,2.47,-,-,-,1.21
8,Other Current Assets,-,40.74,55.23,55.23,40.09,-,-,-,27.5
9,Total Current Assets,-,3061,1662,1662,1608,-,-,-,602.48
10,"Property, Plant & Equipment",-,208.16,227.88,227.88,120.01,-,-,-,31.25
11,Long-Term Investments,-,19.43,19.43,19.43,19.98,-,-,-,45.66
12,Other Intangible Assets,-,35.71,24.13,24.13,2.7,-,-,-,4.71
13,Long-Term Deferred Tax Assets,-,31.7,29.34,29.34,23.79,-,-,-,0.85
14,Long-Term Deferred Charges,-,4.12,4.45,4.45,0.2,-,-,-,7.67
15,Other Long-Term Assets,-,0.71,0.05,0.05,22.37,-,-,-,0.12
16,Total Assets,-,3361,1967,1967,1797,-,-,-,692.74
17,Accounts Payable,-,85.8,51.11,51.11,55.76,-,-,-,23.07
18,Accrued Expenses,-,104.01,79.43,79.43,139.11,-,-,-,72.75
19,Current Portion of Long-Term Debt,-,-,16.6,16.6,-,-,-,-,-
20,Current Portion of Leases,-,16.69,-,-,16.63,-,-,-,-
21,Current Income Taxes Payable,-,23.24,22.78,22.78,2.16,-,-,-,-
22,Current Unearned Revenue,-,511.09,533.22,533.22,529,-,-,-,258.49
23,Other Current Liabilities,-,5.6,1.74,1.74,4.37,-,-,-,11.78
24,Total Current Liabilities,-,746.43,704.88,704.88,747.04,-,-,-,366.09
25,Long-Term Leases,-,35.11,39.24,39.24,47.51,-,-,-,9.21
26,Long-Term Unearned Revenue,-,0.91,0.18,0.18,0.76,-,-,-,2
27,Long-Term Deferred Tax Liabilities,-,4.52,4.52,4.52,3.54,-,-,-,0.92
28,Total Liabilities,-,786.97,748.82,748.82,798.84,-,-,-,378.22
29,Common Stock,-,100,75,75,75,-,-,-,75
30,Additional Paid-In Capital,-,1453,207.91,207.91,207.91,-,-,-,232.59
31,Retained Earnings,-,1021,935.44,935.44,714.69,-,-,-,6.31
32,Comprehensive Income & Other,-,0.39,0.04,0.04,0.72,-,-,-,0.61
33,Total Common Equity,2574,2574,1218,1218,998.32,-,-,676.11,314.52
34,Minority Interest,-,-0.01,-0.01,-0.01,-0.01,-,-,-,-0
35,Shareholders' Equity,2574,2574,1218,1218,998.31,-,-,676.11,314.52
36,Total Liabilities & Equity,-,3361,1967,1967,1797,-,-,-,692.74
37,Total Debt,51.8,51.8,55.84,55.84,64.15,-,-,6.41,9.21
38,Net Cash (Debt),2844,2844,1425,1425,1400,-,-,1078,499.77
39,Net Cash Growth,103.16%,-,-,32.24%,180.07%,-,-,-,-
40,Net Cash Per Share,28.40,38.09,18.98,18.98,18.68,-,-,14.36,6.62
41,Filing Date Shares Outstanding,100,100,75,75,75,74.94,75.03,75.03,75
42,Total Common Shares Outstanding,100,100,75,75,75,74.94,75.03,75.03,75
43,Working Capital,-,2315,957.04,957.04,861.06,-,-,-,236.39
44,Book Value Per Share,25.74,25.74,16.25,16.25,13.31,-,-,9.01,4.19
45,Tangible Book Value,2539,2539,1194,1194,995.62,-,-,672.71,309.81
46,Tangible Book Value Per Share,25.39,25.39,15.92,15.92,13.27,-,-,8.96,4.13
47,Machinery,-,-,-,-,94.82,-,-,-,25.9
