,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '21 Mar 31, 2021"
0,Market Capitalization,24888,20244,24501,-,-,-,-,-,-,-
1,Enterprise Value,22044,17400,23076,-,-,-,-,-,-,-
2,Last Close Price,248.88,202.44,245.01,-,-,-,-,-,-,-
3,PE Ratio,50.38,50.44,69.28,-,-,-,-,-,-,-
4,Forward PE,51.72,42.88,-,-,-,-,-,-,-,-
5,PS Ratio,14.04,14.06,17.90,-,-,-,-,-,-,-
6,PB Ratio,9.67,7.86,9.52,-,-,-,-,-,-,-
7,P/TBV Ratio,7.97,7.97,9.65,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,114.42,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,59.03,-,-,-,-,-,-,-
10,EV/Sales Ratio,15.31,12.09,16.86,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,49.99,38.10,62.26,-,-,-,-,-,-,-
12,EV/EBIT Ratio,52.03,40.77,67.71,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,107.77,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.05,0.05,0.06,-,-,0.01,0.03
15,Debt / EBITDA Ratio,0.12,0.11,0.13,0.12,0.12,0.31,-,-,0.02,0.05
16,Debt / FCF Ratio,-,-,0.24,0.24,0.18,0.17,-,-,0.05,0.14
17,Asset Turnover,-,0.54,0.70,-,-,-,-,-,-,
18,Inventory Turnover,-,-,70.99,62.34,-,-,-,-,-,-
19,Quick Ratio,-,-,4.04,2.27,2.27,2.10,-,-,-,1.57
20,Current Ratio,-,-,4.10,2.36,2.36,2.15,-,-,-,1.65
21,Return on Equity (ROE),14.73%,18.09%,36.24%,-,-,-,-,-,-,
22,Return on Assets (ROA),-,8.30%,13.96%,-,-,-,-,-,-,
23,Return on Capital (ROIC),11.29%,11.34%,21.56%,-,-,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,13.03%,26.91%,25.04%,27.58%,-,-,-,12.37%
25,Earnings Yield,1.61%,1.98%,1.44%,-,-,-,-,-,-,-
26,FCF Yield,-,0.87%,-,-,-,-,-,-,-,
27,Buyback Yield / Dilution,-8.34%,-33.63%,0.39%,-0.07%,-0.07%,0.68%,-,-,-,-
28,Total Shareholder Return,-8.34%,-33.63%,0.39%,-0.07%,-0.07%,0.68%,-,-,-,-
