,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '21 Mar 31, 2021"
0,Operating Revenue,390.34,362.37,344.09,344.09,318.76,302.49,282.54,282.25,170.9
1,Other Revenue,-,-1.29,-,-,0.77,-0.29,-0.15,0.15,0.12
2,Revenue,390.34,361.09,344.09,344.09,319.53,302.2,282.39,282.39,171.01
3,Revenue Growth (YoY),22.16%,19.48%,21.85%,21.85%,86.85%,-,-,-,-
4,Cost of Revenue,-164.08,60.03,52.02,52.02,52.33,46.46,44.02,44.02,27.76
5,Gross Profit,554.42,301.06,292.07,292.07,267.2,255.75,238.37,238.37,143.25
6,"Selling, General & Admin",-358.58,140.84,108.87,108.87,137.34,99.53,87.1,87.1,65.03
7,Research & Development,-265.9,97.24,84.33,84.33,91.69,82.29,74.7,74.7,50.51
8,Other Operating Expenses,1061,-25.98,-11,-11,5.15,-14.54,-8.92,-7.58,-12.95
9,Operating Expenses,435.87,212.57,182.2,182.2,234.64,168.3,152.17,154.93,102.83
10,Operating Income,118.55,88.49,109.86,109.86,32.56,87.45,86.2,83.44,40.42
11,Interest Expense,-9.75,-0.65,-,-,-0.79,-0.78,-2.31,-0.72,-0.24
12,Interest & Investment Income,2.07,3.71,0.64,0.64,2.88,2.28,0.72,3.09,0.77
13,Currency Exchange Gain (Loss),-,-3,-,-,6.14,-7.23,-3.62,3.62,2.1
14,Other Non Operating Income (Expenses),2.77,-2.43,1.63,1.63,-9.17,6.06,7.83,-1.33,-0.55
15,EBT Excluding Unusual Items,113.65,86.12,112.13,112.13,31.62,87.76,88.83,88.11,42.51
16,Gain (Loss) on Sale of Investments,-17.46,5.57,5.94,5.94,6.67,5.58,3.89,3.89,-0.71
17,Gain (Loss) on Sale of Assets,-,-0.03,-,-,0.07,-0.01,-0,0,-
18,Asset Writedown,0.24,-0.23,-0.06,-0.06,-0.08,-0,0,-0,-0.03
19,Other Unusual Items,-,-2.59,-,-,6.5,-0.72,-0.36,0.36,1.01
20,Pretax Income,96.42,88.84,118.02,118.02,44.78,92.61,92.36,92.36,42.78
21,Income Tax Expense,1.61,3.09,7.65,7.65,-2.39,3.44,-1.06,-1.06,-0.23
22,Earnings From Continuing Operations,94.81,85.75,110.37,110.37,47.18,89.18,93.41,93.41,43
23,Minority Interest in Earnings,-0,0,-0,-0,-0,0,-0,-0,-
24,Net Income,94.81,85.76,110.37,110.37,47.18,89.18,93.41,93.41,43
25,Net Income to Common,94.81,85.76,110.37,110.37,47.18,89.18,93.41,93.41,43
26,Net Income Growth,100.98%,-3.84%,18.15%,18.15%,9.70%,-,-,-,-
27,Shares Outstanding (Basic),100,75,75,75,75,75,75,75,75
28,Shares Outstanding (Diluted),100,75,75,75,75,75,75,75,75
29,Shares Change (YoY),33.63%,-0.39%,0.07%,0.07%,-0.68%,-,-,-,-
30,EPS (Basic),0.95,1.15,1.47,1.47,0.63,1.19,1.24,1.25,0.57
31,EPS (Diluted),0.95,1.15,1.47,1.47,0.63,1.19,1.24,1.25,0.57
32,EPS Growth,50.40%,-3.46%,18.07%,18.07%,10.45%,-,-,-,-
33,Free Cash Flow,-,119.52,5.36,5.36,83.88,136.75,76.66,76.66,64.31
34,Free Cash Flow Per Share,-,1.60,0.07,0.07,1.12,1.82,1.02,1.02,0.85
35,Gross Margin,142.03%,83.38%,84.88%,84.88%,83.62%,84.63%,84.41%,84.41%,83.77%
36,Operating Margin,30.37%,24.51%,31.93%,31.93%,10.19%,28.94%,30.53%,29.55%,23.64%
37,Profit Margin,24.29%,23.75%,32.08%,32.08%,14.76%,29.51%,33.08%,33.08%,25.15%
38,Free Cash Flow Margin,-,33.10%,1.56%,1.56%,26.25%,45.25%,27.15%,27.15%,37.60%
39,EBITDA,122.87,96.96,118.41,118.41,36.88,91.36,90.12,87.36,42.76
40,EBITDA Margin,31.48%,26.85%,34.41%,34.41%,11.54%,30.23%,31.91%,30.93%,25.01%
41,D&A For EBITDA,4.32,8.47,8.55,8.55,4.32,3.92,3.92,3.92,2.34
42,EBIT,118.55,88.49,109.86,109.86,32.56,87.45,86.2,83.44,40.42
43,EBIT Margin,30.37%,24.51%,31.93%,31.93%,10.19%,28.94%,30.53%,29.55%,23.64%
44,Effective Tax Rate,1.67%,3.48%,6.48%,6.48%,-,3.71%,-,-,-
45,Revenue as Reported,-,1049,-,-,-,866.99,-,-,-
46,Advertising Expenses,-,-,-,-,-,-,-,-,32.62
