,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,43.01,68.44,35.67,139.51,70.28,97.81,31.1,129.16,124.27,157.27,18.01,155.57
1,Other Revenue,-1.14,1.14,-,2.54,-1.14,1.14,-,9.93,-3.75,3.75,-,4.98
2,Revenue,41.86,69.59,35.67,142.05,69.14,98.95,31.1,139.09,120.53,161.02,18.01,160.55
3,Revenue Growth (YoY),-39.45%,-29.68%,14.69%,2.14%,-42.64%,-38.55%,72.73%,-13.37%,-,-,-,-
4,Cost of Revenue,20.05,43.57,22.31,91.04,41.57,58.96,18.51,99.3,74.92,91.6,10.08,91.31
5,Gross Profit,21.81,26.02,13.36,51.02,27.57,39.99,12.6,39.79,45.61,69.42,7.93,69.23
6,"Selling, General & Admin",23.99,26.57,24.5,21.45,17.83,16.43,19.18,22.02,17.54,14.62,14.67,16.24
7,Research & Development,8.56,7.88,5.95,11.69,10.68,8.31,7.5,12.57,8.97,5.55,5.99,11.67
8,Other Operating Expenses,0.44,0.72,0.42,11.18,-3.92,-1.24,-6.27,6.32,0.28,-3.58,0.27,7.17
9,Operating Expenses,36.21,36.5,34.95,49.28,27.02,24.61,17.71,45.4,27.74,20.99,17.57,38.82
10,Operating Income,-14.4,-10.48,-21.59,1.74,0.55,15.38,-5.11,-5.62,17.87,48.43,-9.64,30.41
11,Interest Expense,-0.26,-0.13,-0.15,-0.12,-0.21,-0.43,-0.51,-0.72,-0.97,-1,-0.92,-0.76
12,Interest & Investment Income,0.49,0.98,1.33,1.65,1.99,2.12,2.34,0.98,0.16,0.19,0.18,0.19
13,Earnings From Equity Investments,-,-,-,-,-,-,-,-,0.54,-0.47,-0.07,-
14,Other Non Operating Income (Expenses),-0.02,0.02,-0.05,-0.39,-0.03,0.08,-0.16,0.18,-0.06,0.02,-0.01,-2.28
15,EBT Excluding Unusual Items,-14.19,-9.61,-20.46,2.87,2.29,17.14,-3.45,-5.18,17.53,47.17,-10.46,27.56
16,Gain (Loss) on Sale of Investments,0.48,0.05,-0.11,-0.05,-0.63,-0.54,0.88,0.33,-0.86,-,-,-
17,Gain (Loss) on Sale of Assets,0.04,-0.16,0,-0.01,0.58,-0.1,-,0.04,-,-0.07,-,-
18,Asset Writedown,-3.75,0.02,-0.02,-0.08,0.08,0.19,-0.19,-0.98,0.98,-1.29,0.09,1.09
19,Other Unusual Items,1.61,-1.21,0.03,12.31,-0.02,0.02,-,10.31,-0.18,0.18,-,9.26
20,Pretax Income,-15.79,-10.9,-20.56,15.04,2.3,16.71,-2.75,4.51,17.47,45.99,-10.38,37.91
21,Income Tax Expense,-0.38,-1.15,-0.18,1.85,-0.12,0.73,0.5,-0.32,2.67,4.41,0.49,2.97
22,Earnings From Continuing Operations,-15.41,-9.76,-20.39,13.19,2.42,15.98,-3.25,4.84,14.8,41.58,-10.86,34.95
23,Minority Interest in Earnings,0.86,1.95,0.76,1.43,0.75,-,-,-,-,-,-,-
24,Net Income,-14.56,-7.8,-19.63,14.62,3.17,15.98,-3.25,4.84,14.8,41.58,-10.86,34.95
25,Net Income to Common,-14.56,-7.8,-19.63,14.62,3.17,15.98,-3.25,4.84,14.8,41.58,-10.86,34.95
26,Net Income Growth,-,-,-,202.19%,-78.56%,-61.56%,-,-86.16%,-,-,-,-
27,Shares Outstanding (Basic),69,72,73,67,75,76,65,66,53,53,54,54
28,Shares Outstanding (Diluted),69,72,73,67,75,76,65,66,53,53,54,54
29,Shares Change (YoY),-8.33%,-6.12%,11.77%,2.11%,42.64%,42.87%,19.78%,21.99%,-,-,-,-
30,EPS (Basic),-0.21,-0.11,-0.27,0.22,0.04,0.21,-0.05,0.07,0.28,0.78,-0.20,0.65
31,EPS (Diluted),-0.21,-0.11,-0.27,0.22,0.04,0.21,-0.05,0.07,0.28,0.78,-0.20,0.65
32,EPS Growth,-,-,-,195.93%,-84.97%,-73.10%,-,-88.66%,-,-,-,-
33,Free Cash Flow,-34.58,-52.52,-25,-29.91,-28.34,-45.75,-39.69,-19.22,-8.35,34.43,-22.79,-3.74
34,Free Cash Flow Per Share,-0.50,-0.73,-0.34,-0.45,-0.38,-0.60,-0.61,-0.29,-0.16,0.64,-0.42,-0.07
35,Dividend Per Share,-,-,-,0.200,-,-,-,0.150,-,-,-,-
36,Dividend Growth,-,-,-,33.33%,-,-,-,-,-,-,-,-
37,Gross Margin,52.10%,37.39%,37.45%,35.91%,39.87%,40.41%,40.50%,28.61%,37.84%,43.11%,44.04%,43.12%
38,Operating Margin,-34.39%,-15.06%,-60.52%,1.22%,0.79%,15.54%,-16.44%,-4.04%,14.82%,30.08%,-53.53%,18.94%
39,Profit Margin,-34.77%,-11.22%,-55.04%,10.29%,4.59%,16.15%,-10.46%,3.48%,12.28%,25.82%,-60.33%,21.77%
40,Free Cash Flow Margin,-82.60%,-75.47%,-70.09%,-21.05%,-40.99%,-46.24%,-127.59%,-13.82%,-6.93%,21.38%,-126.54%,-2.33%
41,EBITDA,-9.42,-4.97,-16.61,6.72,5.08,20.11,-0.58,-1.08,21.91,52.34,-5.59,34.46
42,EBITDA Margin,-22.49%,-7.14%,-46.56%,4.73%,7.35%,20.32%,-1.85%,-0.78%,18.18%,32.50%,-31.04%,21.47%
43,D&A For EBITDA,4.98,5.51,4.98,4.98,4.54,4.73,4.54,4.54,4.05,3.91,4.05,4.05
44,EBIT,-14.4,-10.48,-21.59,1.74,0.55,15.38,-5.11,-5.62,17.87,48.43,-9.64,30.41
45,EBIT Margin,-34.39%,-15.06%,-60.52%,1.22%,0.79%,15.54%,-16.44%,-4.04%,14.82%,30.08%,-53.53%,18.94%
46,Effective Tax Rate,-,-,-,12.32%,-,4.35%,-,-,15.31%,9.59%,-,7.83%
47,Revenue as Reported,41.86,69.59,35.67,142.05,69.14,98.95,31.1,139.09,120.53,161.02,18.01,160.55
