,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,1717,1259,1115,1401,1977,2111,2247,2977,2942,-,-,-,-
1,Market Cap Growth,-40.33%,-40.33%,-50.35%,-52.95%,-32.82%,-,-,-,-,-,-,-,-
2,Enterprise Value,1500,1006,807,1038,1614,1700,1785,3048,3014,-,-,-,-
3,Last Close Price,23.97,17.58,15.57,19.30,27.24,29.08,30.81,40.83,40.35,-,-,-,-
4,PE Ratio,-,-,-,-,64.77,101.78,69.42,-,58.44,-,-,-,-
5,PS Ratio,5.81,4.36,3.52,4.05,5.79,6.24,5.77,6.59,6.71,-,-,-,-
6,PB Ratio,1.80,1.31,1.14,1.40,1.94,2.10,2.27,3.02,2.97,-,-,-,-
7,P/TBV Ratio,1.42,1.42,1.24,1.52,2.10,2.28,2.42,3.23,3.18,-,-,-,-
8,P/OCF Ratio,-,-,-,-,-,-,-,-,309.81,-,-,-,-
9,EV/Sales Ratio,5.19,3.48,2.55,3.00,4.73,5.03,4.58,6.75,6.87,-,-,-,-
10,EV/EBITDA Ratio,-,-,-,-,51.52,72.22,44.23,-,-,-,-,-,-
11,EV/EBIT Ratio,-,-,-,-,128.72,327.58,79.32,-,-,-,-,-,-
12,Debt / Equity Ratio,0.03,0.03,0.02,0.02,0.01,0.01,0.04,0.05,0.06,0.26,-,0.27,0.27
13,Debt / EBITDA Ratio,-,-,-,-,0.23,0.36,0.42,-,4.45,1.12,-,-,0.59
14,Asset Turnover,0.14,0.22,0.11,0.45,0.22,0.31,0.10,0.55,-,-,-,-,
15,Inventory Turnover,1.15,0.57,1.36,0.77,2.88,1.18,1.66,0.56,2.98,-,-,-,-
16,Quick Ratio,3.04,3.04,3.53,3.38,4.32,3.87,3.67,3.42,3.94,1.15,-,-,1.02
17,Current Ratio,4.00,4.00,4.26,4.11,4.93,4.82,4.34,4.17,4.47,1.73,-,-,1.56
18,Return on Equity (ROE),-6.35%,-3.95%,-8.09%,5.22%,0.97%,6.46%,-1.32%,2.83%,-,-,-13.05%,-,
19,Return on Assets (ROA),-2.95%,-2.10%,-4.27%,0.34%,0.11%,3.01%,-1.00%,-1.40%,-,-,-,-,
20,Return on Capital (ROIC),-3.63%,-2.61%,-5.28%,0.42%,0.13%,3.73%,-1.23%,-1.84%,-,-,-5.71%,-,
21,Return on Capital Employed (ROCE),-,-,-,-,1.16%,0.48%,2.14%,-,-,20.26%,-,-,8.13%
22,Earnings Yield,-1.59%,-2.17%,-0.87%,1.01%,1.54%,0.98%,1.44%,1.95%,1.71%,-,-,-,-
23,FCF Yield,-8.27%,-11.28%,-12.17%,-9.21%,-7.27%,-6.30%,-5.03%,-1.10%,-0.54%,-,-,-,-
24,Dividend Yield,0.84%,-,-,-,0.73%,-,-,-,0.37%,-,-,-,-
25,Payout Ratio,0.00%,-,-,-,1.06%,343.83%,1.87%,-,13.42%,4.00%,2.27%,-,2.11%
26,Buyback Yield / Dilution,0.68%,8.33%,6.12%,-11.77%,-2.11%,-42.64%,-42.87%,-19.78%,-21.99%,-,-,-,-
27,Total Shareholder Return,1.52%,8.33%,6.12%,-11.77%,-1.38%,-42.64%,-42.87%,-19.78%,-21.62%,-,-,-,-
