,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,227.93,240.83,331.8,350.24,378.74,447.59,506.59,473.93,27.16,-,-,41.57
1,Trading Asset Securities,24.26,39.28,-,-,-,-,-,100,-,-,-,-
2,Cash & Short-Term Investments,252.19,280.11,331.8,350.24,378.74,447.59,506.59,573.93,27.16,-,41.57,41.57
3,Cash Growth,-33.41%,-37.42%,-34.50%,-38.98%,1294.74%,-,1118.55%,1280.55%,-,-,-,-
4,Accounts Receivable,338.18,361.34,377.64,397.74,353.14,340.48,305.16,322.25,317.97,-,-,270.73
5,Other Receivables,15.71,30.24,12.25,23.91,11.81,14.8,6.07,9.92,7.67,-,-,5.9
6,Receivables,353.9,391.58,389.89,421.65,364.95,355.28,311.23,332.17,325.64,-,-,276.64
7,Inventory,156.66,126.29,129.54,101.73,150.79,130.14,154.39,108.58,157.76,-,-,151.18
8,Other Current Assets,35.12,13.31,24.94,7.03,31.89,16.54,25.03,13.97,20.58,-,-,16.07
9,Total Current Assets,797.87,811.3,876.17,880.65,926.37,949.55,997.24,1029,531.13,-,-,485.46
10,"Property, Plant & Equipment",312.11,297.32,287.87,269.58,228.66,182.94,138.78,119.81,103.69,-,-,103.64
11,Long-Term Investments,-,-,-,-,-,28.6,24.84,12.54,13.33,-,-,4.99
12,Goodwill,3.71,3.71,3.71,3.71,3.71,-,-,-,-,-,-,-
13,Other Intangible Assets,61.9,62.53,63.21,63.95,64.8,62.83,63.44,64.05,63.78,-,-,64.33
14,Long-Term Accounts Receivable,3.08,4.98,5.93,5.91,7.32,10.15,10.04,11.09,11.84,-,-,14.24
