,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,132703.0,104390,112896,98550,46496,44865,39279,104155,43451,26165,41946,60885,18082,38035,18696,35998,2802,3419,18606,51131,Upgrade
1,Short-Term Investments,39254.0,29254,29205,29205,12120,17120,7165,2165,2122,2122,2081,2081,2042,2042,2000,2000,2000,2000,2000,2000,Upgrade
2,Accounts Receivable,69441.0,33379,47679,62993,65867,34744,55070,55698,68089,61703,36404,32705,55365,50946,35011,37612,41505,24534,34380,37497,Upgrade
3,Other Receivables,121.39,2653,36.05,510.94,162.26,311.78,24.82,40.25,24.81,26.63,20.49,20.49,21.13,23.19,23.23,23.23,137.12,103.96,36.14,41.93,Upgrade
4,Inventory,318.54,525.4,2919,3159,2883,2971,3336,1295,459.68,721.93,575.41,444.76,480.78,480.78,1164,529.64,558.27,484.23,3327,2661,Upgrade
5,Prepaid Expenses,781.78,249.23,271.16,271.16,301.5,301.5,323.59,285.29,264.7,264.7,330.2,330.2,240.16,240.16,2696,331.51,3120,327.85,1316,336.24,Upgrade
6,Other Current Assets,4135.0,4443,915.73,645.09,743.8,893.93,5001,4684,4427,4717,4098,2838,4374,2664,4990,4028,3012,3083,5353,3844,Upgrade
7,Total Current Assets,246755.0,174894,193922,195334,128574,101208,110200,168323,118838,95721,85455,99304,80605,94430,64581,80522,53134,33951,65018,97510,Upgrade
8,"Property, Plant & Equipment",750295.0,762133,774348,786563,796334,808474,819933,832373,838642,857231,869704,882178,886707,905585,915430,928026,940499,953122,965741,978359,Upgrade
9,Other Intangible Assets,3400.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,Upgrade
10,Other Long-Term Assets,19611.0,16027,18171,15164,12688,12504,10737,6854,6173,5902,7144,7144,6591,6591,4026,6173,4026,6800,4080,6858,Upgrade
11,Total Assets,1020061.0,956453,989841,1000462,940996,925586,944270,1010949,967053,962254,965703,992026,977303,1010006,987436,1018121,1001059,997274,1038238,1086127,Upgrade
12,Accounts Payable,72.9,164.37,4.36,7174,1428,1406,1377,728.29,655.84,-,-,202.7,77.97,2328,-,65.72,10.38,337.48,93.84,112,Upgrade
13,Accrued Expenses,16852.0,15097,9111,20484,17604,12846,12987,23553,31351,17478,7465,18543,13351,10033,11520,13681,10769,9980,5238,7681,Upgrade
14,Short-Term Debt,24113.0,14515,21017,32428,28379,30349,54528,33531,26921,28975,32488,23180,5246,-,-,-,-,12000,-,-,Upgrade
15,Current Portion of Long-Term Debt,62170.0,63210,44970,44410,33978,33357,92164,92318,93228,91198,90330,90179,25797,91920,77950,77975,78175,78268,79150,78075,Upgrade
16,Current Income Taxes Payable,7698.0,2142,1434,7511,4517,2395,855.54,13411,2762,1649,1180,6321,2921,1293,845.04,3111,863.16,627.89,101.94,519.09,Upgrade
17,Other Current Liabilities,3684.0,3670,4384,79547,214140,3064,4817,66065,2206,2315,2320,44421,2198,2220,2211,2107,2072,2231,2222,1976,Upgrade
18,Total Current Liabilities,114590.0,98797,80920,191555,300046,83417,166728,229607,157124,141615,133783,182847,49591,107794,92526,96939,91890,103445,86805,88363,Upgrade
19,Long-Term Debt,326253.0,328449,354369,215756,188741,185519,140607,140781,200030,196426,228861,228538,380210,380210,395099,395228,441159,441689,480408,473816,Upgrade
20,Other Long-Term Liabilities,1803.0,1803,1803,2705,2705,2705,1380,1841,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
21,Total Liabilities,442646.0,429050,437092,410016,491492,271641,308715,372229,357154,338042,362644,411386,429800,488003,487626,492167,533049,545134,567213,562179,Upgrade
22,Common Stock,422000.0,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,422000,Upgrade
23,Retained Earnings,155415.0,105403,130749,168445,27503,231945,213555,216720,187899,202212,181059,158640,125503,100003,77810,103954,46010,30140,49025,101948,Upgrade
24,Shareholders' Equity,577415.0,527403,552749,590445,449503,653945,635555,638720,609899,624212,603059,580640,547503,522003,499810,525954,468010,452140,471025,523948,Upgrade
25,Total Liabilities & Equity,1020061.0,956453,989841,1000462,940996,925586,944270,1010949,967053,962254,965703,992026,977303,1010006,987436,1018121,1001059,997274,1038238,1086127,Upgrade
26,Total Debt,412536.0,406173,420355,292594,251098,249225,287299,266630,320179,316600,351679,341898,411252,472130,473049,473203,519334,531957,559558,551891,Upgrade
27,Net Cash (Debt),-240579.0,-272530,-278254,-164839,-192482,-187240,-240855,-160310,-274606,-288312,-307652,-278932,-391128,-432053,-452354,-435205,-514532,-526538,-538952,-498760,Upgrade
28,Net Cash Per Share,-5700.92,-6458.06,-6593.70,-3906.15,-4561.18,-4436.47,-5707.46,-3798.81,-6507.25,-6832.04,-7290.33,-6609.76,-9268.44,-10238.22,-10719.29,-10312.91,-12192.70,-12470.64,-12771.37,-11818.95,Upgrade
29,Filing Date Shares Outstanding,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,Upgrade
30,Total Common Shares Outstanding,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,42.2,Upgrade
