,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,3257,3005,2611,3177,3027
1,Revenue Growth (YoY),24.74%,-5.42%,-13.74%,-,-
2,Cost of Revenue,3083,2831,2472,2998,2865
3,Gross Profit,174.21,173.76,139.51,179.18,162.59
4,"Selling, General & Admin",88.98,101.9,118.45,122.88,115.33
5,Research & Development,39.03,40.74,39.17,38.85,37.38
6,Other Operating Expenses,18.36,41.16,19.77,26.89,17.35
7,Operating Expenses,146.59,182.4,178.63,187.06,172.64
8,Operating Income,27.62,-8.64,-39.12,-7.88,-10.06
9,Interest Expense,-3.78,-2.44,-0.84,-0.98,-2.93
10,Interest & Investment Income,4.25,-,8.96,3.12,3.12
11,Earnings From Equity Investments,-0.23,-0.83,-0.55,-0.5,-0.96
12,Other Non Operating Income (Expenses),-2.62,4.79,6.36,-1.59,18.67
13,EBT Excluding Unusual Items,25.24,-7.12,-25.19,-7.83,7.84
14,Asset Writedown,-,-,-,0,-0
15,Pretax Income,25.24,-7.12,-25.19,-7.83,7.84
16,Income Tax Expense,3.44,-3.66,0.98,-6.08,4.7
17,Earnings From Continuing Operations,21.8,-3.46,-26.17,-1.75,3.14
18,Minority Interest in Earnings,2.23,0.06,-,-,-
19,Net Income,24.04,-3.4,-26.17,-1.75,3.14
20,Net Income to Common,24.04,-3.4,-26.17,-1.75,3.14
21,Shares Outstanding (Basic),1394,1464,1379,-,-
22,Shares Outstanding (Diluted),1394,1464,1379,-,-
23,Shares Change (YoY),1.04%,-,-,-,-
24,EPS (Basic),0.02,-0.00,-0.02,-,-
25,EPS (Diluted),0.02,-0.00,-0.02,-,-
26,Free Cash Flow,-79.21,-118.7,-130.27,36.96,-101.82
27,Free Cash Flow Per Share,-0.06,-0.08,-0.09,-,-
28,Operating Margin,0.85%,-0.29%,-1.50%,-0.25%,-0.33%
29,Profit Margin,0.74%,-0.11%,-1.00%,-0.05%,0.10%
30,Free Cash Flow Margin,-2.43%,-3.95%,-4.99%,1.16%,-3.36%
31,EBITDA,31.45,-4.75,-33.95,-2.71,-3.63
32,D&A For EBITDA,3.83,3.89,5.17,5.17,6.43
33,EBIT,27.62,-8.64,-39.12,-7.88,-10.06
