,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,566.75,568.83,579.59,584.29,577.68,607.92,305.61,598.85,382.7,648.09,313.03,145.3,-,139.24,-,134.64,104.82
1,Trading Asset Securities,-,-,-,-,-,-,-,290,-,250,-,350,-,-,-,-,-,-
2,Cash & Short-Term Investments,566.75,566.75,568.83,579.59,584.29,577.68,607.92,595.61,598.85,632.7,648.09,663.03,145.3,-,139.24,134.64,134.64,104.82
3,Cash Growth,-3.00%,-1.89%,-6.43%,-2.69%,-2.43%,-8.70%,-6.20%,-10.17%,312.16%,-,365.44%,392.44%,7.91%,-,-,-,-,-
4,Accounts Receivable,-,109.74,116.72,124.22,121.42,136.45,129.06,135.08,145.24,139.28,130.68,145,160.81,-,109.22,-,115.3,72.91
5,Other Receivables,-,2.41,3.11,2.72,1.05,2.62,2.25,1.56,1.09,7.97,6.36,1.42,1.22,-,1.37,-,1.05,1.09
6,Receivables,-,112.14,119.83,126.94,122.48,139.07,131.31,136.64,146.34,147.25,137.04,146.41,162.03,-,110.59,-,116.35,74
7,Inventory,-,21.24,19.51,17.17,19.16,20.78,15.98,23.34,16.68,20.9,16.27,13.78,18.44,-,14.1,-,10.98,12.95
8,Other Current Assets,-,11.9,6.88,9.27,11.7,7.82,6.57,10.8,14.76,8.42,2.16,13.08,6.74,-,4.43,-,2.79,0.71
9,Total Current Assets,-,712.03,715.06,732.97,737.63,745.35,761.78,766.39,776.64,809.27,803.56,836.3,332.51,-,268.36,-,264.76,192.48
10,"Property, Plant & Equipment",-,99.56,89.85,80.09,73.88,61.18,51.88,14.7,1.33,1.9,0.8,1.21,1.65,-,2.65,-,1.26,1.35
11,Long-Term Investments,-,20,20.48,21.26,22.03,1,21.82,20.82,21.18,21.55,20,-,-,-,-,-,-,-
12,Other Intangible Assets,-,11.64,11.71,11.78,11.84,11.91,11.98,12.04,12.12,0.07,0.08,0.09,0.11,-,0.13,-,0.16,0.2
13,Long-Term Deferred Tax Assets,-,2.94,2.89,2.55,2.73,2.15,1.99,1.8,1.95,1.68,1.46,1.49,1.52,-,0.67,-,0.63,0.52
14,Long-Term Deferred Charges,-,0.93,0.98,-,-,-,-,-,-,0.18,0.21,0.26,0.03,-,0.05,-,0.08,-
