,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Revenue,33.99,25.41,16.85,21.08,37.01,32.04,30.51,20.52,60.01,34.23,27.28,17.93,94.94,31.1,32.66,18.86,59.16,16.05
1,Revenue Growth (YoY),-8.16%,-20.69%,-44.77%,2.72%,-38.33%,-6.41%,11.84%,14.45%,-36.79%,10.06%,-16.46%,-4.90%,60.49%,93.77%,-,-,-,-
2,Cost of Revenue,-38.19,15.94,9.6,12.65,23.85,19.34,20.13,15.24,34.64,21.45,15.96,10.9,53.09,9.18,12.27,7.04,25.84,4.72
3,Gross Profit,72.19,9.47,7.25,8.43,13.16,12.69,10.39,5.29,25.37,12.79,11.32,7.03,41.85,21.92,20.39,11.82,33.32,11.33
4,"Selling, General & Admin",-14.81,4.92,5.82,4.08,7.04,4.09,5.32,3.62,4.9,4.41,4.73,4.89,7.67,3.82,4.51,4.13,5.79,2.81
5,Research & Development,-8.23,3.54,2.25,2.44,1.63,3.28,2.33,2.33,7.2,3.34,2.29,2.77,11.49,3.5,3.01,2.89,6.54,2.16
6,Other Operating Expenses,84.72,-0.21,0.12,-0.63,1.01,-0.74,-0.5,-0.93,2.44,-1.33,-0.75,-1.31,1.62,-1.67,-1.77,-1.39,-2.35,-0.3
7,Operating Expenses,58.86,8.72,10.46,5.96,12.53,7.6,8.3,3.82,16.44,7.86,6.35,5.89,24.2,5.84,7.16,4.74,11.59,4.98
8,Operating Income,13.32,0.75,-3.21,2.47,0.63,5.1,2.09,1.47,8.94,4.93,4.97,1.14,17.65,16.07,13.22,7.08,21.73,6.35
9,Interest Expense,-4.73,-0.01,-0.02,-0.02,-0.02,-0.04,-0.01,-0.01,-0.01,-0.01,-0,-0.01,-0.01,-0.02,-0.02,-0.09,-0.05,-0
10,Interest & Investment Income,0.06,1.41,1.33,1.99,2.49,2.36,3.44,2.41,4.53,2.01,4.1,1.96,0.52,0.53,0.62,0.59,0.55,0.48
11,Other Non Operating Income (Expenses),-0.44,0.52,-0.11,0,-0.05,0.04,-0.09,-0,-9.42,0.08,0.89,8.3,-0.25,-0.02,0.15,0.02,-1.98,-0.01
12,EBT Excluding Unusual Items,8.22,2.67,-2.01,4.44,3.05,7.46,5.44,3.87,4.04,7.01,9.96,11.4,17.91,16.56,13.97,7.6,20.24,6.82
