,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1637,1402,1369,1263,1387,1885,1939,2047,1984,1591,1563,1964,2231,-,-,-,-,-,-
1,Market Cap Growth,-25.64%,-25.64%,-29.39%,-38.30%,-30.07%,18.48%,24.01%,4.22%,-11.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1071,836,802,686,813,1310,1331,1452,1352,959,915,1302,2093,-,-,-,-,-,-
3,Last Close Price,19.79,16.73,16.34,15.08,16.47,22.38,23.02,24.31,23.41,18.78,18.45,23.19,26.10,-,-,-,-,-,-
4,PE Ratio,141.36,116.99,164.54,-,74.81,104.70,66.79,71.97,61.57,41.24,35.91,37.73,38.41,-,-,-,-,-,-
5,PS Ratio,17.40,14.40,13.64,11.81,11.50,15.70,13.55,14.09,13.96,11.41,8.96,11.47,12.63,-,-,-,-,-,-
6,PB Ratio,1.99,1.68,1.64,1.52,1.65,2.25,2.33,2.48,2.38,1.92,1.92,2.43,2.73,-,-,-,-,-,-
7,P/TBV Ratio,1.70,1.70,1.66,1.54,1.67,2.29,2.36,2.51,2.42,1.94,1.92,2.43,2.73,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-347.08,-,-67.49,-,-,-,75.46,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,39.62,66.60,-,55.01,-,84.99,-,57.95,-,62.30,392.41,-,-,-,-,-,-
10,EV/Sales Ratio,11.00,8.59,7.99,6.41,6.74,10.91,9.30,10.00,9.52,6.88,5.25,7.60,11.85,-,-,-,-,-,-
11,EV/EBITDA Ratio,78.13,60.76,749.76,-,75.30,133.04,73.06,80.46,64.59,46.53,31.18,32.16,42.94,-,-,-,-,-,-
12,EV/EBIT Ratio,80.37,62.74,1260.33,-,78.96,141.09,75.65,83.37,66.61,48.02,31.89,32.67,43.52,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-241.27,-,-47.88,-,-,-,50.00,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,-,0.01,0.03,0.03,0.04
15,Debt / EBITDA Ratio,0.10,0.03,0.42,-,0.23,0.29,0.14,0.01,0.08,0.02,0.06,-,0.07,0.01,-,0.03,0.24,0.08,0.27
16,Debt / FCF Ratio,-,-,-,-,-,-0.52,-,0.00,-,-,-,-,-,0.08,-,-,0.34,0.41,-
17,Asset Turnover,-,0.12,0.08,0.10,0.17,0.15,0.14,0.09,0.28,0.16,0.13,0.12,-,-,-,-,-,-,
