,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3576,2315,1670,1830,2283,2273,2597,2356,2008,2150,2385,2450,2899,2758,-,-,-,-,-,-
1,Market Cap Growth,1.84%,1.84%,-35.71%,-22.34%,13.74%,5.70%,8.91%,-3.81%,-30.75%,-22.03%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3049,1788,1091,1236,1689,1667,1924,1653,1304,1452,1691,1765,2214,2570,-,-,-,-,-,-
3,Last Close Price,65.00,41.63,29.67,31.79,39.67,39.48,44.14,39.30,33.48,35.86,39.52,40.25,47.63,45.31,-,-,-,-,-,-
4,PE Ratio,44.01,28.49,26.33,39.43,47.96,42.53,42.95,31.93,25.16,25.37,29.18,33.96,44.24,43.98,-,-,-,-,-,-
5,PS Ratio,14.40,9.32,7.95,10.36,13.08,13.14,14.75,12.98,10.96,10.89,11.71,11.86,14.04,13.85,-,-,-,-,-,-
6,PB Ratio,4.36,2.82,2.05,2.22,2.82,2.84,3.23,2.72,2.36,2.57,2.86,2.96,3.59,3.50,-,-,-,-,-,-
7,P/TBV Ratio,2.89,2.89,2.10,2.28,2.89,2.91,3.32,2.80,2.41,2.63,2.93,3.03,3.68,3.60,-,-,-,-,-,-
8,P/FCF Ratio,222.51,144.01,144.69,-,586.31,442.61,269.10,-,55.33,46.15,50.10,67.58,77.25,62.89,-,-,-,-,-,-
9,P/OCF Ratio,69.95,69.95,54.03,61.89,108.55,83.54,85.90,-,33.13,27.84,28.64,32.22,40.18,38.02,-,-,-,-,-,-
10,EV/Sales Ratio,12.28,7.20,5.19,7.00,9.68,9.64,10.93,9.10,7.12,7.35,8.30,8.54,10.73,12.91,-,-,-,-,-,-
11,EV/EBITDA Ratio,38.01,22.42,16.65,23.56,32.16,32.83,36.04,29.17,21.88,21.07,24.31,24.35,30.37,34.24,-,-,-,-,-,-
12,EV/EBIT Ratio,42.24,24.56,18.51,26.52,35.90,36.48,39.82,32.06,23.91,22.73,26.16,26.07,32.43,36.42,-,-,-,-,-,-
13,EV/FCF Ratio,189.69,111.26,94.52,-,433.71,324.69,199.36,-,35.95,31.16,35.52,48.68,58.99,58.61,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.03,0.04,0.04,0.02,0.03,0.03,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,0.04,0.04,0.14,-,0.46,0.45,0.14,-,0.04,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.36,0.36,0.18,0.21,0.20,0.21,0.17,0.19,0.20,0.23,0.18,0.26,0.34,0.63,0.48,-,-,-,-,
18,Inventory Turnover,4.75,5.31,5.30,3.00,3.83,4.54,5.12,4.42,5.34,5.32,5.51,3.91,5.45,4.90,5.81,4.85,-,-,-,-
19,Quick Ratio,7.56,7.56,9.54,11.56,9.57,10.11,11.00,10.71,9.86,10.13,11.31,11.09,8.27,8.65,3.88,4.42,4.06,-,-,-
20,Current Ratio,7.98,7.98,10.07,12.15,10.00,10.49,11.36,11.06,10.13,10.36,11.61,11.41,8.52,8.99,4.26,4.80,4.39,-,-,-
21,Return on Equity (ROE),14.07%,14.46%,6.26%,4.31%,5.44%,6.07%,6.61%,6.98%,8.60%,12.60%,9.94%,10.04%,11.21%,23.38%,20.34%,-,-,-,-,
22,Return on Assets (ROA),7.27%,7.27%,2.98%,3.01%,3.50%,3.69%,2.94%,2.49%,4.06%,4.59%,3.87%,5.20%,6.27%,14.00%,10.96%,-,-,-,-,
23,Return on Capital (ROIC),7.96%,7.82%,3.22%,3.27%,3.79%,3.99%,3.20%,2.72%,4.43%,4.98%,4.27%,5.81%,7.20%,17.22%,13.47%,-,-,-,-,
24,Return on Capital Employed (ROCE),8.78%,8.86%,7.23%,5.66%,5.80%,5.69%,6.01%,5.95%,6.40%,7.63%,7.73%,8.17%,8.44%,8.95%,27.04%,29.86%,30.01%,-,-,-
25,Earnings Yield,2.27%,3.51%,3.80%,2.54%,2.09%,2.35%,2.33%,3.13%,3.97%,3.94%,3.43%,2.94%,2.26%,2.27%,-,-,-,-,-,-
26,FCF Yield,0.45%,0.69%,0.69%,0.49%,0.17%,0.23%,0.37%,0.94%,1.81%,2.17%,2.00%,1.48%,1.29%,1.59%,-,-,-,-,-,-
27,Dividend Yield,1.27%,2.88%,3.71%,-,2.34%,-,2.13%,-,3.02%,-,1.60%,-,0.98%,-,-,-,-,-,-,-
28,Payout Ratio,75.17%,75.92%,128.77%,0.07%,5.89%,108.68%,303.85%,-,-,92.32%,71.16%,-,2.72%,45.70%,-,-,-,-,48.01%,63.59%
29,Buyback Yield / Dilution,1.38%,0.25%,1.52%,0.67%,3.05%,1.15%,-0.55%,2.21%,-1.36%,-144.08%,20.94%,-34.48%,-32.27%,45.56%,-68.37%,0.36%,-,-,-,-
30,Total Shareholder Return,2.66%,3.13%,5.22%,0.67%,5.39%,1.15%,1.58%,2.21%,1.67%,-144.08%,22.54%,-34.48%,-31.29%,45.56%,-68.37%,0.36%,-,-,-,-
