,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,82.56,79.06,40.65,45.15,43.27,46.6,38.62,44.15,46.37,52.08,40.2,58.51,52.53,54.96,40.08,51.36,53.72,51.52,27.71
1,Other Revenue,-1.21,1.21,-,0.93,-0.13,0.13,-,0.39,-0.15,0.15,-,0.34,-0.06,0.06,-,0.14,-0.04,0.04,-
2,Revenue,81.35,80.26,40.65,46.09,43.14,46.73,38.62,44.54,46.22,52.23,40.2,58.86,52.47,55.02,40.08,51.5,53.69,51.56,27.71
3,Revenue Growth (YoY),88.58%,71.77%,5.25%,3.48%,-6.66%,-10.54%,-3.93%,-24.33%,-11.91%,-5.07%,0.30%,14.28%,-2.27%,6.71%,44.63%,-,-,-,-
4,Cost of Revenue,45.45,43.92,23.27,25.74,24.81,26.54,22.24,24.36,25.21,29.17,21.69,32.86,29.2,28.97,21.26,25.02,23.17,22.59,13.4
5,Gross Profit,35.9,36.35,17.38,20.34,18.33,20.19,16.38,20.18,21.01,23.06,18.51,26,23.27,26.05,18.81,26.48,30.52,28.97,14.31
6,"Selling, General & Admin",5.16,5.75,4.04,6.15,3.92,4.39,3.24,5.75,3.81,3.76,2.42,4.31,5,2.67,2.25,2.98,3.05,2.35,2.07
7,Research & Development,3.06,2.9,2.36,3.47,2.1,1.99,1.71,3.56,2.15,2.39,1.76,1.81,3.19,2.83,2.01,1.93,2.48,2.43,1.42
8,Other Operating Expenses,0.62,0.37,0.63,-0.09,0,0.38,0.34,1.83,0.23,-0.21,0.57,1.26,-0.4,0.12,0.07,1.06,0.44,0.33,0.33
9,Operating Expenses,9.85,10.69,6.84,9.79,6.15,6.87,5.38,10.98,6.2,6.5,4.54,7.47,7.7,6.43,4.28,5.64,5.97,6.03,3.36
10,Operating Income,26.06,25.65,10.54,10.55,12.18,13.32,11,9.2,14.8,16.57,13.97,18.53,15.57,19.62,14.53,20.84,24.55,22.94,10.94
11,Interest Expense,-0.01,-0.01,-0.02,-0,-0.03,-0.01,-0.01,-1,-,-,-,-,-,-,-,-,-,-,-
12,Interest & Investment Income,7.31,8.09,3.76,2.82,1.25,1.51,3.8,-,4.8,1.81,3.99,3.42,0.75,0.57,0.94,0.33,0.38,0.55,0.47
13,Currency Exchange Gain (Loss),-1.13,1.13,-,-0.15,-1.48,1.48,-,21.33,-11.67,11.67,-,-3.58,1.22,-1.22,-,-7.51,-0.92,-0.07,0.99
14,Other Non Operating Income (Expenses),0.2,-0.14,0.1,-0.87,0.8,1.04,-1.01,-29.74,22.95,0.73,5.97,0.65,-0.72,-0.59,0.56,2.58,-2.63,-0.02,-0.01
15,EBT Excluding Unusual Items,32.43,34.72,14.38,12.35,12.72,17.33,13.78,-0.21,30.88,30.79,23.92,19.03,16.82,18.39,16.03,16.24,21.38,23.41,12.39
16,Gain (Loss) on Sale of Investments,0.47,-0.83,0.24,-3.42,0.16,-2.57,2.66,7.94,-8.29,-0.38,-0.29,2.08,0.63,0.5,-0.18,3.7,1.96,-0.35,-0.46
17,Gain (Loss) on Sale of Assets,0,-,0,0.01,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-0.04,-0.02,0.02,0.24,-0.25,0.08,-0.08,0.04,-0.04,0.01,-0.01,0.1,-0.11,0.09,-0.09,0.28,-0.28,0.23,-0.23
19,Other Unusual Items,-0.17,-0.12,0.26,0.83,-,-,-,7.67,0.01,-0.01,-,2.18,-0.17,0.17,-,0.61,0.11,-0.11,-
20,Pretax Income,32.68,33.75,14.9,10,12.63,14.83,16.36,15.45,22.55,30.41,23.62,23.39,17.18,19.15,15.76,20.83,23.17,23.18,11.69
21,Income Tax Expense,3.94,4.16,2.12,1.31,1.72,2.17,2.19,0.71,4.58,4.21,3.29,3.38,2.03,2.5,2.04,3.64,2.43,3.33,1.58
22,Earnings From Continuing Operations,28.75,29.59,12.79,8.69,10.91,12.66,14.17,14.73,17.97,26.2,20.33,20.01,15.15,16.65,13.72,17.19,20.74,19.85,10.11
23,Minority Interest in Earnings,0.24,0.32,0.38,0.5,0.25,0.24,0.18,0.29,0.23,0.03,-,-,-,-,-,-,-,-,-
24,Net Income,28.99,29.92,13.16,9.19,11.16,12.9,14.36,15.02,18.2,26.23,20.33,20.01,15.15,16.65,13.72,17.19,20.74,19.85,10.11
25,Net Income to Common,28.99,29.92,13.16,9.19,11.16,12.9,14.36,15.02,18.2,26.23,20.33,20.01,15.15,16.65,13.72,17.19,20.74,19.85,10.11
26,Net Income Growth,159.76%,131.88%,-8.31%,-38.83%,-38.68%,-50.82%,-29.37%,-24.93%,20.13%,57.55%,48.19%,16.39%,-26.95%,-16.11%,35.63%,-,-,-,-
27,Shares Outstanding (Basic),55,55,55,55,55,56,55,57,56,56,56,56,23,70,42,42,42,42,42
28,Shares Outstanding (Diluted),55,55,55,55,55,56,55,57,56,56,56,56,23,70,42,42,42,42,42
29,Shares Change (YoY),-0.25%,-1.52%,-0.67%,-3.05%,-1.15%,0.55%,-2.21%,1.36%,144.08%,-20.94%,34.48%,32.27%,-45.56%,68.37%,-0.36%,-,-,-,-
30,EPS (Basic),0.53,0.54,0.24,0.17,0.20,0.23,0.26,0.26,0.33,0.47,0.36,0.36,0.66,0.24,0.33,0.41,0.49,0.47,0.24
31,EPS (Diluted),0.53,0.54,0.24,0.17,0.20,0.23,0.26,0.26,0.33,0.47,0.36,0.36,0.66,0.24,0.33,0.41,0.49,0.47,0.24
32,EPS Growth,160.40%,134.16%,-7.69%,-36.91%,-37.96%,-51.09%,-27.78%,-25.94%,-50.78%,99.27%,10.19%,-12.01%,34.20%,-50.17%,36.13%,-,-,-,-
33,Free Cash Flow,12.08,5.09,-6.57,5.48,7.55,2.6,-11.73,6.72,12.06,15.05,2.45,17.04,13.07,3.7,3.73,23.36,28.04,7.44,10.9
34,Free Cash Flow Per Share,0.22,0.09,-0.12,0.10,0.14,0.05,-0.21,0.12,0.22,0.27,0.04,0.30,0.57,0.05,0.09,0.55,0.67,0.18,0.26
35,Dividend Per Share,0.100,0.400,-,0.700,-,0.230,-,0.712,-,0.300,-,0.333,-,0.133,-,-,-,-,-
36,Dividend Growth,-,73.91%,-,-1.66%,-,-23.33%,-,113.50%,-,125.06%,-,-,-,-,-,-,-,-,-
37,Gross Margin,44.13%,45.28%,42.76%,44.14%,42.49%,43.21%,42.42%,45.31%,45.45%,44.15%,46.06%,44.18%,44.35%,47.35%,46.95%,51.42%,56.85%,56.19%,51.63%
38,Operating Margin,32.03%,31.96%,25.94%,22.90%,28.23%,28.51%,28.49%,20.66%,32.03%,31.72%,34.75%,31.49%,29.68%,35.67%,36.26%,40.46%,45.73%,44.49%,39.49%
39,Profit Margin,35.64%,37.27%,32.39%,19.94%,25.87%,27.61%,37.18%,33.73%,39.37%,50.23%,50.57%,34.00%,28.87%,30.26%,34.23%,33.38%,38.63%,38.49%,36.50%
40,Free Cash Flow Margin,14.85%,6.34%,-16.17%,11.89%,17.49%,5.57%,-30.38%,15.09%,26.10%,28.81%,6.09%,28.95%,24.91%,6.72%,9.30%,45.35%,52.24%,14.43%,39.33%
41,EBITDA,27.71,27.63,12.2,12.21,13.46,14.58,12.28,10.48,16.05,17.86,15.22,19.78,16.68,20.8,15.64,21.94,25.4,24.03,11.79
42,EBITDA Margin,34.07%,34.43%,30.01%,26.50%,31.19%,31.19%,31.80%,23.53%,34.73%,34.20%,37.86%,33.61%,31.78%,37.81%,39.01%,42.61%,47.31%,46.61%,42.56%
43,D&A For EBITDA,1.66,1.98,1.66,1.66,1.28,1.26,1.28,1.28,1.25,1.3,1.25,1.25,1.1,1.18,1.1,1.1,0.85,1.1,0.85
44,EBIT,26.06,25.65,10.54,10.55,12.18,13.32,11,9.2,14.8,16.57,13.97,18.53,15.57,19.62,14.53,20.84,24.55,22.94,10.94
45,EBIT Margin,32.03%,31.96%,25.94%,22.90%,28.23%,28.51%,28.49%,20.66%,32.03%,31.72%,34.75%,31.49%,29.68%,35.67%,36.26%,40.46%,45.73%,44.49%,39.49%
46,Effective Tax Rate,12.05%,12.31%,14.21%,13.13%,13.64%,14.64%,13.37%,4.61%,20.30%,13.84%,13.94%,14.46%,11.82%,13.04%,12.97%,17.47%,10.50%,14.37%,13.51%
47,Revenue as Reported,81.35,80.26,40.65,46.09,43.14,46.73,38.62,44.54,46.22,52.23,40.2,58.86,52.47,55.02,40.08,51.5,53.69,79.27,-
