,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,348.96,335.82,387.93,366.71,360.71,265.3,464.11,452.59,258.97,379.2,502.51,567.66,440.09,135.14,76.88,37.76,-,-,-
1,Trading Asset Securities,179.47,192.9,193.66,239.08,237.69,343.61,212.67,242.18,444.07,319.35,191.73,127.02,244.93,52.8,106.73,141.17,-,-,-
2,Cash & Short-Term Investments,528.43,528.73,581.59,605.79,598.4,608.91,676.78,694.78,703.04,698.55,694.23,694.68,685.02,187.94,183.61,178.93,-,-,128.3
3,Cash Growth,-11.69%,-13.17%,-14.07%,-12.81%,-14.88%,-12.83%,-2.51%,0.01%,2.63%,271.69%,278.10%,288.24%,-,-,43.11%,-,-,-,-
4,Accounts Receivable,141.06,120.78,97.12,95.63,94.01,96,98.16,93.66,94.59,90.22,86.9,97.81,87.33,87.18,75.33,74.82,-,-,-
5,Other Receivables,0.06,0.07,0.06,0.07,0.07,0.11,0.08,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.61,-,-,-
6,Receivables,141.12,120.85,97.18,95.7,94.08,96.1,98.24,93.72,94.61,90.24,86.92,97.83,87.35,87.19,75.35,75.43,-,-,-
7,Inventory,34.46,34.04,32.29,29.85,23.85,19.83,21.63,18.59,17.88,20.02,22.34,22.06,26.21,21.43,18.47,16.59,-,-,-
8,Other Current Assets,2.52,1.71,2.01,2.14,2.04,3.52,3.79,2.52,0.72,0.71,0.23,1.78,3.31,5.43,3.95,3.87,-,-,-
