,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,306.46,367.01,447.08,400.61,515.77,694.21,651.33,376.14,520.75,1082,1030,717.5,1037,667.72,-,617.02,639.37,-,-
1,Cash & Short-Term Investments,306.46,306.46,367.01,447.08,400.61,515.77,694.21,651.33,376.14,520.75,1082,1030,717.5,1037,667.72,617.02,617.02,639.37,-,343.82
2,Cash Growth,-23.50%,-40.58%,-47.13%,-31.36%,6.50%,-0.96%,-35.82%,-36.74%,-47.58%,-49.76%,62.00%,66.87%,16.28%,62.12%,-,79.46%,-,-,-,-
3,Accounts Receivable,-,2727,2781,2118,2473,2009,1933,1601,1822,1552,2058,1197,1818,1136,1276,-,1411,1304,-,-
4,Other Receivables,-,8.22,5.65,5.87,4.77,4.76,1.09,5.2,4.45,4.26,2.87,7.17,1.39,8.38,18.73,-,2.07,2.17,-,-
5,Receivables,-,2736,2786,2124,2478,2014,1934,1606,1827,1556,2061,1205,1820,1145,1295,-,1413,1306,-,-
6,Inventory,-,381.69,396.08,543.22,434.04,834.27,852.04,1892,1863,2319,1981,2106,1905,2229,1988,-,2450,2034,-,-
7,Other Current Assets,-,862.41,894.68,954.4,807.67,973.4,842.19,827.95,622.69,665.46,538.98,875.78,622.27,910.37,631.62,-,733.83,945.45,-,-
8,Total Current Assets,-,4286,4444,4069,4120,4337,4323,4978,4688,5061,5663,5216,5064,5321,4582,-,5213,4924,-,-
9,"Property, Plant & Equipment",-,3081,3005,2885,2595,2328,2189,2099,2026,1690,1584,1240,1091,974.69,909.16,-,741.1,274.72,-,-
10,Long-Term Investments,-,63.73,62.66,63.87,63.88,80.65,80.88,81.6,81.4,103.06,105.4,107.83,109.81,114.7,105.63,-,106.99,97.28,-,-
11,Goodwill,-,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,15.85,-,15.85,15.85,-,-
12,Other Intangible Assets,-,550.34,522.64,526.28,530.7,535.5,540.08,544.78,548.71,300.8,303.72,311.37,306.36,309.27,311.84,-,280.06,77.96,-,-
13,Long-Term Deferred Tax Assets,-,66.16,63.95,56.51,54.73,47.37,46.75,31.8,34.07,24.22,31.1,24.76,24.83,25.62,25.77,-,17.66,15.11,-,-
14,Long-Term Deferred Charges,-,33.81,36.65,39.49,41.47,43.49,45.91,14.04,15.19,16.35,17.45,18.68,19.65,16.86,17.37,-,2.03,2.36,-,-
15,Other Long-Term Assets,-,141.85,151.18,150.87,227.18,321.55,365.73,550.34,283.91,466.22,213.86,105.81,94.41,3.48,0.59,-,0.65,0.24,-,-
16,Total Assets,-,8239,8303,7806,7649,7710,7607,8315,7693,7678,7935,7040,6727,6781,5969,-,6378,5408,-,-
17,Accounts Payable,-,2216,1706,1874,1363,1725,1478,2223,1859,2227,2132,1748,1600,1610,1418,-,1663,1443,-,-
18,Accrued Expenses,-,15.35,275.02,17.89,299.12,14.79,213.12,18.17,253.99,16.03,192.9,7.35,166.11,15.15,220.25,-,236.05,449.44,-,-
19,Short-Term Debt,-,488.21,797.75,477.35,453.59,359.94,230.56,163.1,180.97,134.02,146.5,108,188,164,170,-,223,173,-,-
20,Current Portion of Long-Term Debt,-,393.46,344.39,250.15,198.66,232.52,212.24,211.57,161.61,126.11,80,117.05,50,97.42,60,-,-,-,-,-
21,Current Portion of Leases,-,-,49.77,-,66.86,-,34.32,-,41.13,-,30.47,-,37.05,-,37.67,-,-,-,-,-
22,Current Income Taxes Payable,-,58.95,16.25,69.65,34.56,72.18,17.44,13.54,4.72,7.27,21.64,44.86,45.06,44.05,27.73,-,34.96,19.98,-,-
23,Current Unearned Revenue,-,533.5,341.21,642.07,465.98,859.31,744.47,1591,1478,1608,1486,2089,1887,2362,1970,-,2446,1856,-,-
24,Other Current Liabilities,-,218.52,498.34,141.77,411.16,538.8,722.91,257.64,385.76,338.36,591.92,148.4,301.02,173.6,125.81,-,189.82,11.86,-,-
25,Total Current Liabilities,-,3924,4028,3473,3293,3803,3653,4478,4365,4457,4681,4263,4274,4467,4029,-,4793,3953,-,-
26,Long-Term Debt,-,1653,1601,1707,1669,1702,1717,1696,1089,1114,1114,766.5,370,395,395,-,420,-,-,-
27,Long-Term Leases,-,1.37,1.36,1.51,2.31,19.62,34.81,35.01,51.26,47.85,62.69,68.52,77.46,80.1,79.18,-,-,-,-,-
28,Long-Term Unearned Revenue,-,9.16,9.32,9.47,9.63,9.79,9.97,9.81,10.41,10.84,11.27,11.29,12.18,23.7,522.16,-,310.92,844.25,-,-
29,Long-Term Deferred Tax Liabilities,-,2.07,3.67,5.27,6.92,0.98,1.15,1.33,13.53,-,-,-,-,-,-,-,-,-,-,-
30,Other Long-Term Liabilities,-,8.46,15.33,8.46,8.46,5.28,9.72,-,-,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,-,5597,5659,5205,4990,5540,5426,6220,5528,5630,5869,5110,4734,4966,5025,-,5524,4798,-,-
32,Common Stock,-,233.61,233.61,233.61,233.61,202.67,202.67,202.67,202.67,202.67,202.67,202.67,202.67,202.67,152,-,152,152,-,-
33,Additional Paid-In Capital,-,1332,1331,1329,1326,948.03,936.49,947.6,944.85,944.04,940.12,937.51,937.51,937.51,131.47,-,131.47,130.45,-,-
34,Retained Earnings,-,994.26,995.63,919.94,960.14,875.84,877.46,789.75,855.81,754.76,770.76,629.55,688.02,499.87,477.5,-,378.13,311.68,-,-
35,Treasury Stock,-,-59.08,-51.99,-14.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,21.65,21.62,21.71,21.95,22.28,37.99,22.47,22.58,27.92,25.89,22.63,22.75,22.15,21.92,-,17.68,16.23,-,-
37,Total Common Equity,2522,2522,2530,2489,2542,2049,2055,1962,2026,1929,1939,1792,1851,1662,782.89,679.27,679.27,610.36,-,424.58
38,Minority Interest,-,119.21,113.79,112.08,117.36,121.18,126.38,132.45,139.01,118.56,125.84,137.91,142.15,153.52,160.32,-,174.68,-,-,-
39,Shareholders' Equity,2642,2642,2644,2601,2659,2170,2181,2095,2165,2048,2065,1930,1993,1816,943.21,853.95,853.95,610.36,-,424.58
40,Total Liabilities & Equity,-,8239,8303,7806,7649,7710,7607,8315,7693,7678,7935,7040,6727,6781,5969,-,6378,5408,-,-
41,Total Debt,2536,2536,2794,2436,2390,2314,2229,2106,1524,1422,1434,1060,722.5,736.52,741.85,643,643,173,-,116
42,Net Cash (Debt),-2229,-2229,-2427,-1989,-1990,-1798,-1535,-1454,-1147,-901.56,-352.26,-30.47,-5.01,300,-74.13,-25.98,-25.98,466.37,-,227.82
43,Net Cash Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-35.67%,-,-,-,-,-,-
44,Net Cash Per Share,-14.39,-10.03,-13.40,-8.41,-9.37,-9.55,-7.49,-7.09,-5.74,-4.44,-1.74,-0.15,-0.02,2.00,-0.48,-0.17,-0.17,3.07,-,1.50
45,Filing Date Shares Outstanding,154.89,228.93,229.55,236.47,233.61,202.67,202.67,202.67,202.67,202.67,202.67,202.67,202.67,202.67,152,149.7,152,152,151.57,151.57
46,Total Common Shares Outstanding,228.93,228.93,229.55,236.47,233.61,202.67,202.67,202.67,202.67,202.67,202.67,202.67,202.67,202.67,152,149.7,152,152,151.57,151.57
47,Working Capital,-,362.33,415.92,595.31,826.64,534.92,669.94,499.47,323.64,604.28,981.72,952.04,790.38,854.05,553.34,-,420.53,971.08,-,-
48,Book Value Per Share,11.02,11.02,11.02,10.53,10.88,10.11,10.14,9.68,10.00,9.52,9.57,8.84,9.13,8.20,5.15,4.47,4.47,4.02,-,2.79
