,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2656,2466,3009,2808,4182,4726,4929,7580,5669,4953,3141,4927,4838,7793,6739,-,-,-,-,-,-
1,Market Cap Growth,-47.83%,-47.83%,-38.94%,-62.95%,-26.23%,-4.59%,56.90%,53.85%,17.18%,-36.44%,-53.38%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5004,4814,5550,4909,6101,6646,6590,9166,6689,5973,3619,5095,4691,7646,6973,-,-,-,-,-,-
3,Last Close Price,11.60,10.77,13.11,12.02,17.90,20.23,24.32,37.06,27.72,24.22,15.36,24.09,23.65,38.10,32.95,-,-,-,-,-,-
4,PE Ratio,22.75,24.34,-,21.59,-,30.69,-,45.60,-,26.13,-,16.80,-,24.72,34.82,-,-,-,-,-,-
5,Forward PE,-,5.82,5.82,5.82,5.82,7.15,10.59,20.18,19.22,21.53,14.29,10.67,12.23,-,-,-,-,-,-,-,-
6,PS Ratio,0.80,0.86,0.96,0.95,1.42,1.60,1.67,2.90,1.92,1.69,0.92,1.33,1.26,2.00,2.21,-,-,-,-,-,-
7,PB Ratio,1.05,0.93,1.14,1.06,1.61,1.78,2.27,3.48,2.71,2.29,1.53,2.39,2.51,3.91,3.71,-,-,-,-,-,-
8,P/TBV Ratio,1.26,1.26,1.54,1.41,2.15,2.37,3.29,5.06,4.04,3.39,1.95,3.04,3.30,5.10,5.04,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-5.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,13.08,-,-8.87,-,-,-,-,12.67,-,-,-37.24,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.75,1.68,1.77,1.66,2.06,2.25,2.23,3.50,2.26,2.03,1.05,1.37,1.22,1.96,2.29,-,-,-,-,-,-
12,EV/EBITDA Ratio,26.74,25.28,-,13.68,-,20.54,24.64,34.94,-,21.37,10.31,14.02,-,19.86,30.43,-,-,-,-,-,-
13,EV/EBIT Ratio,45.19,43.48,-,17.46,-,26.51,33.49,48.31,-,28.71,-,16.85,-,22.80,37.28,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-10.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.96,0.96,0.96,1.06,0.94,0.90,1.07,1.02,1.01,0.70,0.69,0.69,0.55,0.36,0.41,0.79,0.75,0.75,0.28,-,0.27
16,Debt / EBITDA Ratio,13.55,12.63,-,3.77,-,2.77,32.80,2.94,-,2.42,28.38,1.89,-,0.75,7.36,0.90,-,3.54,0.23,-,1.46
17,Debt / FCF Ratio,-,-,-5.00,-,-,-,-,-,-,-,-,-,-,-,-,-1.64,-0.99,-,-,-,1.72
18,Asset Turnover,-,0.27,0.65,0.03,0.63,0.20,0.66,0.03,0.63,0.02,0.88,0.02,1.01,0.20,-,-,0.57,-,-,-,
19,Inventory Turnover,-,-,4.96,8.95,0.32,5.93,1.53,3.04,0.10,1.81,0.07,2.72,0.05,2.61,0.44,-,-,1.21,-,-,-
20,Quick Ratio,-,-,0.78,0.78,0.74,0.87,0.67,0.72,0.50,0.50,0.47,0.67,0.52,0.59,0.49,0.49,-,0.42,0.49,-,-
21,Current Ratio,-,-,1.09,1.10,1.17,1.25,1.14,1.18,1.11,1.07,1.14,1.21,1.22,1.18,1.19,1.14,-,1.09,1.25,-,-
22,Return on Equity (ROE),9.89%,0.61%,11.81%,-6.92%,15.30%,-1.26%,24.56%,-15.87%,27.20%,-4.53%,25.86%,-12.79%,37.13%,4.51%,61.18%,-22.04%,33.95%,-,-,-,
23,Return on Assets (ROA),-,-1.03%,4.65%,-1.16%,5.43%,0.02%,4.81%,-2.18%,3.67%,-0.20%,5.29%,-2.06%,6.75%,0.72%,-,-,1.44%,-,-,-,
24,Return on Capital (ROIC),1.50%,-1.61%,7.14%,-1.78%,8.74%,0.04%,8.89%,-4.42%,7.88%,-0.46%,12.20%,-4.98%,17.31%,2.18%,26.89%,-6.10%,7.44%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,6.58%,-,5.76%,5.04%,4.80%,-,6.25%,-,9.29%,-,13.68%,8.08%,18.24%,-,15.82%,14.90%,-,-
