,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,936.79,568.49,1307,51.35,1010,587.58,1103,54.99,1207,48.27,1647,33.27,1703,323.14,1772,103.14,844.93,1481,200.75,200.75
1,Other Revenue,-,-0.09,0.09,-,202.86,-202.75,202.75,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,936.79,568.4,1307,51.35,1213,384.83,1306,54.99,1207,48.27,1647,33.27,1703,323.14,1772,103.14,844.93,1481,200.75,200.75
3,Revenue Growth (YoY),-22.75%,47.70%,0.10%,-6.62%,0.49%,697.30%,-20.72%,65.29%,-29.13%,-85.06%,-7.02%,-67.74%,101.54%,-78.18%,782.57%,-48.62%,-,-,-,-
4,Cost of Revenue,1181,482.51,1051,39.16,940.4,322.24,1043,46.98,946.89,35.21,1391,24.01,1351,232.28,1509,87.83,680.25,1200,161.69,161.69
5,Gross Profit,-244.24,85.89,256.88,12.19,272.25,62.6,263.35,8.01,259.87,13.05,256.7,9.27,352.08,90.86,263.12,15.31,164.68,281.54,39.07,39.07
6,"Selling, General & Admin",-150.81,52.31,52.27,46.22,47.45,41.04,48.71,45.04,36.17,40.79,27.9,41.85,37.05,43.15,43.1,31.84,34.45,23.55,16.89,16.89
7,Research & Development,-79.54,32.61,7.03,39.9,16.1,19.35,10.51,47.32,24.39,27.07,32.24,31.46,32.57,30.2,53.16,26.11,44.22,59.42,13.96,13.96
8,Other Operating Expenses,-18.1,4.89,9.23,3.98,9.81,-5.56,7.99,2.2,38.17,-21.67,8.13,-7.24,51.91,-6.18,-19.86,3.76,29.66,3.55,-9.81,-9.81
9,Operating Expenses,-275.33,120.1,107.2,48.04,105.52,61.96,110.26,77.81,147.04,19.43,98.29,66.08,169.75,72.37,91.99,51.84,130.74,96.32,23.31,23.31
10,Operating Income,31.1,-34.21,149.69,-35.85,166.74,0.64,153.09,-69.79,112.82,-6.38,158.41,-56.81,182.33,18.49,171.13,-36.54,33.94,185.22,15.76,15.76
11,Interest Expense,-2.05,-9.03,-9.99,-11.38,-12.14,-7.82,-7.99,-5.75,-2.55,-6.8,-1.89,-5.12,-7.79,-9.1,-9.72,-7.71,-2.96,-2.12,-1.54,-1.54
12,Interest & Investment Income,30.4,1.63,0.18,0.24,0.29,1.38,0.92,0.63,0.73,2.21,1.24,1.02,10.71,1.42,1.43,1.56,10.77,7.93,0.74,0.74
13,Earnings From Equity Investments,-,-,0.02,-0.02,-,-,-0.2,0.2,-,-,1.97,-1.97,-5.78,8.14,-3.22,0.86,-,-,-,-
14,Currency Exchange Gain (Loss),-,1.78,-1.78,-,0.09,2.19,-2.19,-,4.5,-2.02,2.02,-,-0.2,-0.55,0.55,-,-2,-1.46,0.73,0.73
15,Other Non Operating Income (Expenses),7.56,-1.16,-3.99,-3.71,2.22,-4.22,-4.39,-7.76,4.78,-8.71,-5.3,-2.38,-1.68,0.16,-7.93,0.32,5.24,-1.34,-1.37,-1.37
16,EBT Excluding Unusual Items,67.01,-40.98,134.13,-50.72,157.19,-7.83,139.26,-82.48,120.27,-21.69,156.45,-65.27,177.59,18.56,152.24,-41.51,44.98,188.23,14.32,14.32
17,Gain (Loss) on Sale of Investments,0.28,1.07,-1.34,-,-14.93,-0.25,-2.05,-,-21.66,-2.33,-4.41,-,-,-,-,-,-,5.13,-2.57,-2.57
18,Gain (Loss) on Sale of Assets,-0.02,0.03,-0.03,0.02,-1.25,-0.14,-,-,-2.11,1.77,-1.77,-,-4.16,-0.02,-,-,-,0,-0,-0
19,Asset Writedown,9.75,-9.75,-1.48,1.48,0.27,-0.27,0.07,-0.07,-2.97,2.97,-2.56,2.56,0.04,-0.04,3.42,-3.42,0.02,-0.02,-,-
20,Other Unusual Items,-5.6,48.33,-43.26,0.53,-36.3,0.17,-0.17,-,44.81,-0.03,0.03,-,35.6,-0.66,0.66,-,24,-0.29,0.14,0.14
21,Pretax Income,71.41,-1.31,88.02,-48.69,104.98,-8.33,137.11,-82.54,138.34,-19.31,147.73,-62.71,209.07,17.85,156.32,-44.94,69,193.06,11.89,11.89
22,Income Tax Expense,6.07,-5.35,10.61,-3.21,12.63,-1.5,5.81,1.94,-4.91,3.97,18.59,-,32.28,2.28,18.89,2.13,6.86,35.32,-0.23,-0.23
23,Earnings From Continuing Operations,65.35,4.04,77.41,-45.49,92.35,-6.83,131.3,-84.48,143.24,-23.28,129.14,-62.71,176.78,15.56,137.43,-47.06,62.14,157.74,12.13,12.13
24,Minority Interest in Earnings,1.85,-5.42,-1.72,5.29,3.81,5.21,6.07,6.56,-20.45,7.28,12.06,4.24,11.37,6.8,9.21,5.15,4.3,-,-,-
25,Net Income,67.2,-1.37,75.69,-40.2,96.16,-1.62,137.36,-77.92,122.8,-16,141.2,-58.47,188.15,22.37,146.64,-41.92,66.45,157.74,12.13,12.13
26,Net Income to Common,67.2,-1.37,75.69,-40.2,96.16,-1.62,137.36,-77.92,122.8,-16,141.2,-58.47,188.15,22.37,146.64,-41.92,66.45,157.74,12.13,12.13
27,Net Income Growth,-30.12%,-,-44.89%,-,-21.69%,-,-2.72%,-,-34.73%,-,-3.71%,-,183.15%,-85.82%,1109.35%,-,-,-,-,-
28,Shares Outstanding (Basic),155,222,181,236,212,188,205,205,200,203,202,202,206,150,154,150,155,152,152,152
29,Shares Outstanding (Diluted),155,222,181,236,212,188,205,205,200,203,202,202,206,150,154,150,155,152,152,152
30,Shares Change (YoY),-27.04%,18.03%,-11.58%,15.31%,6.24%,-7.32%,1.43%,1.71%,-3.12%,35.07%,31.26%,34.69%,33.35%,-0.97%,1.51%,-1.24%,-,-,-,-
31,EPS (Basic),0.43,-0.01,0.42,-0.17,0.45,-0.01,0.67,-0.38,0.61,-0.08,0.70,-0.29,0.91,0.15,0.95,-0.28,0.43,1.04,0.08,0.08
32,EPS (Diluted),0.43,-0.01,0.42,-0.17,0.45,-0.01,0.67,-0.38,0.61,-0.08,0.70,-0.29,0.91,0.15,0.95,-0.28,0.43,1.04,0.08,0.08
33,EPS Growth,-4.22%,-,-37.67%,-,-26.29%,-,-4.09%,-,-32.63%,-,-26.64%,-,112.33%,-85.68%,1091.36%,-,-,-,-,-
34,Free Cash Flow,-,222.31,-339.28,-167.18,-223.35,-214.62,-327.68,-328.09,-49.05,-581.75,-289.53,-142.39,-232.11,-512.94,266.59,67.41,-590.59,-195.77,67.45,67.45
35,Free Cash Flow Per Share,-,1.00,-1.87,-0.71,-1.05,-1.14,-1.60,-1.60,-0.25,-2.86,-1.43,-0.71,-1.13,-3.41,1.73,0.45,-3.82,-1.29,0.45,0.45
36,Dividend Per Share,-,-,-,-,-,-,-,-,0.245,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,-26.07%,15.11%,19.65%,23.75%,22.45%,16.27%,20.16%,14.57%,21.53%,27.04%,15.58%,27.85%,20.68%,28.12%,14.85%,14.84%,19.49%,19.01%,19.46%,19.46%
38,Operating Margin,3.32%,-6.02%,11.45%,-69.81%,13.75%,0.17%,11.72%,-126.91%,9.35%,-13.22%,9.62%,-170.75%,10.71%,5.72%,9.66%,-35.42%,4.02%,12.51%,7.85%,7.85%
39,Profit Margin,7.17%,-0.24%,5.79%,-78.28%,7.93%,-0.42%,10.52%,-141.70%,10.18%,-33.15%,8.57%,-175.74%,11.05%,6.92%,8.28%,-40.64%,7.86%,10.65%,6.04%,6.04%
40,Free Cash Flow Margin,-,39.11%,-25.95%,-325.55%,-18.42%,-55.77%,-25.09%,-596.61%,-4.06%,-1205.28%,-17.57%,-427.97%,-13.63%,-158.74%,15.05%,65.35%,-69.90%,-13.22%,33.60%,33.60%
41,EBITDA,50.2,-15.11,172.1,-16.75,185.83,17.64,172.82,-52.79,129.82,12.53,175.06,-37.9,201.24,25.03,188.69,-30,45.44,189.87,19.87,19.87
42,EBITDA Margin,5.36%,-2.66%,13.16%,-32.62%,15.32%,4.58%,13.23%,-96.00%,10.76%,25.96%,10.63%,-113.92%,11.82%,7.74%,10.65%,-29.09%,5.38%,12.82%,9.90%,9.90%
