,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,97331256,96506509,79559804,82220945,90930129,48135189,83189610,50930057,43260481,50376331,42728716,51699462,58282909,54112298,46203490,52202551,46968189,34889075,25628737,20613303,Upgrade
1,Investment Securities,49608828,35422398,61551285,55391928,45236070,51185305,44796280,55937623,51183207,56526917,59343951,60638063,65637256,58963278,54610349,53373112,58390442,49104284,40058314,40714612,Upgrade
2,Trading Asset Securities,21955775,15274541,8987618,13053884,18691011,21599611,7511360,3867579,1797822,2383237,3423097,10046933,11198067,12928925,10497211,11062580,12478102,9221967,3049574,4812614,Upgrade
3,Total Investments,71564603,50696939,70538903,68445812,63927081,72784916,52307640,59805202,52981029,58910154,62767048,70684996,76835323,71892203,65107560,64435692,70868544,58326251,43107888,45527226,Upgrade
4,Gross Loans,449859194,404001670,393652894,371779480,351799073,301774319,294259183,297058712,272666213,249385216,239139708,225453895,203316247,191714813,192656482,187875606,178423092,164462771,160371930,152605077,Upgrade
5,Allowance for Loan Losses,-5878604,-4984751,-4767018,-4614233,-4054457,-3579843,-3790354,-3289607,-3101572,-3071745,-2946371,-2687787,-2452068,-2168546,-2044494,-1945073,-1935436,-1929490,-1797877,-1671754,Upgrade
6,Net Loans,443980590,399016919,388885876,367165247,347744616,298194476,290468829,293769105,269564641,246313471,236193337,222766108,200864179,189546267,190611988,185930533,176487656,162533281,158574053,150933323,Upgrade
7,"Property, Plant & Equipment",887455,811751,785388,729332,713141,652896,637441,617503,631621,632761,624601,640621,663478,579736,596011,604856,601398,591131,539196,529520,Upgrade
8,Goodwill,-,-,-,-,-,477,1918,3358,4799,6243,7681,9124,10562,12005,13446,14887,16325,17768,19208,20649,Upgrade
9,Other Intangible Assets,878472,857555,757498,763881,709618,673370,670529,674675,683436,671022,669674,678195,702847,596238,583202,593229,458030,416995,401614,372126,Upgrade
10,Investments in Real Estate,-,-,-,-,-,-,-,-,-,-,-,-,-,20823,20835,20847,20860,35425,44068,44083,Upgrade
11,Accrued Interest Receivable,5304263,6496509,7223915,6801229,6602101,5353605,5479680,5298156,4403501,4141516,4006661,3486228,3256425,3403365,3601918,3383654,3090539,2883715,2946670,3360581,Upgrade
12,Other Receivables,48346639,43608103,7686680,51746520,6218419,48236297,5014043,33244033,4038407,26084852,3338437,19242486,2753426,15410841,12563792,10435529,3992474,6998812,6023868,6497695,Upgrade
13,Restricted Cash,26680270,29410506,22236514,22525499,41481638,31970237,14769196,12162272,11273345,9869836,11127254,9808491,11847980,8949735,9633778,6209185,7788112,4661966,3185578,1891534,Upgrade
14,Other Current Assets,-,-,43126975,-46521,40683804,-,28545623,-,26188610,-,21014827,-,17274831,-,-,-,7113162,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,72470,77851,64755,70441,76708,32798,32798,32798,32798,-,-,-,-,-,-,-,-,3013,3013,2413,Upgrade
16,Other Real Estate Owned & Foreclosed,-,-,369385,-,290642,-,267377,-,267373,-,267373,-,280755,-,-,-,269059,-,-,-,Upgrade
17,Other Long-Term Assets,2234788,2086470,3207806,2129185,2936962,2228992,2551139,2265519,2942982,2146387,1521131,2030312,1838856,1831508,2033897,1990479,1453132,1932097,1971158,1981271,Upgrade
18,Total Assets,697280806,629569112,624443499,602551570,602314859,508263253,483935823,458802678,416273023,399152573,384266740,381046023,374611571,346355019,330969917,325821442,319127480,273289529,242445051,231773724,Upgrade
19,Accounts Payable,-,-,690234,8015956,293439,6393727,-,4462645,804793,3518642,-,3344388,-,2417267,2861658,2123654,222309,-,-,-,Upgrade
20,Accrued Expenses,-,46855,1082485,278268,810807,296576,423915,187493,984990,290990,722172,369655,471920,256862,439829,177547,553543,191276,187474,322721,Upgrade
