,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,256.88,221.7,204.1,161.47,159.97,157.33,172.6,146.2,173.63,108.75,163.46,163.46
1,Revenue Growth (YoY),60.58%,40.91%,18.25%,10.45%,-7.87%,44.67%,5.59%,-10.56%,-,-,-,-
2,Cost of Revenue,444.84,105.21,110.59,90.19,90.17,90.78,93.38,83.5,103.61,65.03,96.85,96.85
3,Gross Profit,-187.96,116.49,93.51,71.28,69.8,66.55,79.22,62.7,70.02,43.72,66.61,66.61
4,"Selling, General & Admin",-84.84,29.62,29.59,25.63,30.33,24.65,21.85,22.31,20.8,21.81,23.36,23.36
5,Research & Development,-152.65,49.83,48.74,54.08,53.92,43.35,38.98,36.5,34.75,33.12,35.1,35.1
6,Other Operating Expenses,-2.72,2.35,-0.39,0.76,-3.33,-1.83,-2.6,0.28,10.17,-4.11,-2.45,-2.45
7,Operating Expenses,-241.92,84.16,77.84,79.92,80.7,66.27,59.23,58.68,64.84,51.43,55.77,55.77
8,Operating Income,53.96,32.33,15.66,-8.64,-10.91,0.28,19.99,4.02,5.18,-7.71,10.84,10.84
9,Interest Expense,-24.23,-0.29,-0.36,-0.11,-0.16,-0.1,-0.1,-0.06,-0.02,-0.02,-0.04,-0.04
10,Interest & Investment Income,0.75,7.81,8.8,7.62,8.85,3.61,2.02,1.58,1.7,1.49,1.25,1.25
11,Currency Exchange Gain (Loss),-,-1.94,1.94,-,0.64,-1.93,1.93,-,9.53,-7.5,3.75,3.75
12,Other Non Operating Income (Expenses),1.32,-2.72,-0.84,0.53,-2.41,2.35,1.87,-1.87,-11.62,11.6,-0.07,-0.07
13,EBT Excluding Unusual Items,31.8,35.2,25.21,-0.6,-3.99,4.21,25.7,3.67,4.78,-2.14,15.74,15.74
14,Gain (Loss) on Sale of Investments,-0.25,0.25,0,-,-,-,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-0,0.01,0,-0,-0.34,-,-,-,-0.17,-,-,-
16,Asset Writedown,4.53,-4.53,4.63,-4.63,-5.09,5.09,-5.79,5.79,6.99,-6.84,-0.08,-0.08
17,Other Unusual Items,-6.88,5.84,1.05,-0,20.96,-,-,-,15.37,-,-,-
18,Pretax Income,29.21,36.76,30.89,-5.24,11.54,9.29,19.91,9.46,26.97,-8.98,15.67,15.67
19,Income Tax Expense,-3.02,-0.53,-0.5,-0.84,-0.64,0.32,-0.36,1.11,-1.06,-0.68,0.64,0.64
20,Net Income,32.22,37.29,31.39,-4.41,12.19,8.97,20.26,8.35,28.03,-8.3,15.02,15.02
21,Net Income to Common,32.22,37.29,31.39,-4.41,12.19,8.97,20.26,8.35,28.03,-8.3,15.02,15.02
22,Net Income Growth,164.39%,315.63%,54.92%,-,-56.51%,-,34.88%,-44.41%,-,-,-,-
