,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,7953,7457,5020,4658,5078,6977,7898,-,-,-,-,-,-
1,Market Cap Growth,6.88%,6.88%,-36.44%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6102,5606,3142,2744,3181,5079,7417,-,-,-,-,-,-
3,Last Close Price,33.49,31.40,21.14,19.47,21.08,28.96,32.78,-,-,-,-,-,-
4,PE Ratio,81.68,77.28,65.66,96.75,-,140.18,120.38,-,-,-,-,-,-
5,PS Ratio,9.34,8.83,6.72,6.82,7.80,10.97,12.16,-,-,-,-,-,-
6,PB Ratio,3.21,3.19,2.15,2.02,2.21,2.98,3.39,-,-,-,-,-,-
7,P/TBV Ratio,3.22,3.22,2.16,2.04,2.23,3.01,3.42,-,-,-,-,-,-
8,P/FCF Ratio,-,-,49.71,-,44.72,67.34,71.34,-,-,-,-,-,-
9,P/OCF Ratio,-,-,30.92,31.84,33.14,46.22,54.21,-,-,-,-,-,-
10,EV/Sales Ratio,7.23,6.64,4.21,4.02,4.88,7.98,11.42,-,-,-,-,-,-
11,EV/EBITDA Ratio,55.06,50.42,67.82,188.83,-,-,154.32,-,-,-,-,-,-
12,EV/EBIT Ratio,65.40,60.08,110.45,-761.51,-,-,251.70,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,31.11,-,28.01,49.02,67.00,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.01,-,-,0.00
15,Debt / EBITDA Ratio,0.27,0.13,0.21,0.28,-,-,0.43,0.08,0.16,0.10,-,-,0.06
16,Debt / FCF Ratio,-,-,0.30,-,0.05,0.06,0.08,0.18,-,1.52,-,-,-
17,Asset Turnover,-,0.36,0.34,0.27,0.26,0.37,-,-,-,-,-,-,
18,Inventory Turnover,-,-,2.58,2.93,2.42,2.08,1.78,-,-,-,-,-,-
19,Quick Ratio,-,-,24.66,21.30,31.11,26.19,32.69,13.94,-,11.19,-,-,-
20,Current Ratio,-,-,26.86,23.09,33.58,28.44,36.32,19.15,-,16.15,-,-,-
21,Return on Equity (ROE),5.52%,6.43%,5.46%,-0.76%,2.09%,2.18%,8.57%,3.60%,-,-,-,-,
22,Return on Assets (ROA),-,3.32%,1.63%,-0.90%,-1.13%,0.04%,-,-,-,-,-,-,
23,Return on Capital (ROIC),5.70%,3.44%,1.69%,-0.93%,-1.16%,0.04%,5.25%,1.07%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,1.20%,-0.15%,-,-,1.26%,2.21%,-,2.05%,-,-,-
25,Earnings Yield,1.21%,1.29%,1.52%,1.03%,0.73%,0.71%,0.83%,-,-,-,-,-,-
26,FCF Yield,-,2.01%,1.96%,2.24%,1.48%,1.40%,-,-,-,-,-,-,
27,Dividend Yield,0.20%,-,-,-,-,0.25%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,46.64%,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-18.21%,2.28%,-8.45%,-41.80%,-31.89%,-38.94%,-12.27%,-5.91%,7.21%,-,-,-,-
30,Total Shareholder Return,-18.01%,2.28%,-8.45%,-41.80%,-31.89%,-38.69%,-12.27%,-5.91%,7.21%,-,-,-,-
