,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1791,1903,1919,1955,1906,489.71,-,478.05,-,-,-
1,Trading Asset Securities,-,90.25,1.2,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1881,1881,1904,1919,1955,1906,489.71,478.05,478.05,-,-,470.75
3,Cash Growth,-3.77%,-1.31%,288.87%,301.45%,308.96%,-,-,1.55%,-,-,-,-
4,Accounts Receivable,-,195.76,206.56,181.03,185.37,176.94,190.86,-,154.7,-,-,-
5,Other Receivables,-,3,5.44,3.25,2.02,0.49,1.37,-,2.16,-,-,-
6,Receivables,-,198.76,212,184.28,187.39,177.43,192.23,-,156.86,-,-,-
7,Inventory,-,168.7,157.51,144.22,153.48,194.08,214.59,-,246.58,-,-,-
8,Other Current Assets,-,17.08,19.46,22.62,30.75,37.11,40.42,-,34.77,-,-,-
9,Total Current Assets,-,2266,2293,2270,2327,2315,936.95,-,916.26,-,-,-
10,"Property, Plant & Equipment",-,69.11,61.95,38.01,30.95,26.77,27.64,-,26.39,-,-,-
11,Long-Term Investments,-,35.84,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,15.23,16.32,17.84,20.48,23.13,25.84,-,31.32,-,-,-
13,Long-Term Deferred Tax Assets,-,8.82,7.66,7.15,6.31,5.7,6.05,-,6.69,-,-,-
14,Long-Term Deferred Charges,-,1.51,0.35,0.28,0.27,0.24,0.27,-,0.18,-,-,-
15,Other Long-Term Assets,-,52.63,47.09,40.44,45.21,31.44,25.18,-,12.74,-,-,-
16,Total Assets,-,2449,2427,2374,2430,2402,1022,-,993.57,-,-,-
17,Accounts Payable,-,33.75,36.36,23.1,15.41,11.62,15.06,-,11.4,-,-,-
18,Accrued Expenses,-,16.62,30,13.83,50.55,16.64,19.12,-,26.96,-,-,-
19,Short-Term Debt,-,0.03,0.03,-,0.04,-,-,-,0.08,-,-,-
20,Current Portion of Leases,-,6.05,5.71,2.42,3.12,3.16,2.8,-,3.42,-,-,-
21,Current Income Taxes Payable,-,6.81,0.01,4.7,0.03,4.4,0.03,-,2.29,-,-,-
22,Current Unearned Revenue,-,6.59,5.37,3.69,3.55,10.22,7.48,-,7.83,-,-,-
23,Other Current Liabilities,-,14.52,21.87,19.88,9.11,17.69,4.45,-,4.75,-,-,-
24,Total Current Liabilities,-,84.36,99.34,67.61,81.81,63.74,48.93,-,56.72,-,-,-
25,Long-Term Leases,-,24.26,20.55,3.04,2.74,5.31,5.95,-,2.05,-,-,-
26,Long-Term Unearned Revenue,-,5.75,3.23,3.59,3.96,3.38,4.3,-,6.64,-,-,-
27,Long-Term Deferred Tax Liabilities,-,-,0.01,0,0,-,-,-,0.02,-,-,-
28,Total Liabilities,-,114.37,123.13,74.24,88.52,72.43,59.18,-,65.43,-,-,-
29,Common Stock,-,240,240,240,240,240,180,-,180,-,-,-
30,Additional Paid-In Capital,-,2007,2002,1998,1996,1996,696.7,-,694.45,-,-,-
31,Retained Earnings,-,162.9,125.61,111.61,116.02,103.84,94.87,-,66.25,-,-,-
32,Treasury Stock,-,-63.42,-53.42,-39.25,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-,-11.45,-10.75,-10.98,-10.92,-9.78,-8.82,-,-12.56,-,-,-
34,Shareholders' Equity,2335,2335,2304,2300,2341,2330,962.76,928.14,928.14,-,-,876.55
35,Total Liabilities & Equity,-,2449,2427,2374,2430,2402,1022,-,993.57,-,-,-
36,Total Debt,30.34,30.34,26.29,5.46,5.91,8.48,8.75,5.54,5.54,-,-,3.61
37,Net Cash (Debt),1851,1851,1878,1914,1949,1898,480.96,472.51,472.51,-,-,467.14
38,Net Cash Growth,-5.04%,-2.47%,290.48%,305.01%,312.51%,-,-,1.15%,-,-,-,-
39,Net Cash Per Share,8.14,8.28,6.95,8.69,8.38,9.21,2.52,2.83,2.82,-,-,2.60
40,Filing Date Shares Outstanding,227.27,223.51,237.48,238.24,238.24,240,180,167.03,180,183.58,180,180
41,Total Common Shares Outstanding,227.27,223.51,237.48,238.24,240,240,180,167.03,180,183.58,180,180
42,Working Capital,-,2181,2194,2203,2245,2251,888.02,-,859.53,-,-,-
43,Book Value Per Share,10.45,10.45,9.70,9.65,9.76,9.71,5.35,5.16,5.16,-,-,4.87
44,Tangible Book Value,2319,2319,2287,2282,2321,2307,936.92,896.82,896.82,-,-,835.29
45,Tangible Book Value Per Share,10.38,10.38,9.63,9.58,9.67,9.61,5.21,4.98,4.98,-,-,4.64
46,Machinery,-,-,71.96,-,54.73,-,47,-,45.62,-,-,-
