,Fiscal Quarter,Current,Q1 2018,Q4 2017,Q4 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012",+20 Quarters
0,Market Capitalization,661125,383291,392503,436559,404518,484621,460590,484621,492631,544698,548703,560718,560718,620795,488626,496636,484621,416533,328421,308395,320410,Upgrade
1,Market Cap Growth,-20.91%,-20.91%,-14.78%,-9.92%,-17.89%,-11.03%,-16.06%,-13.57%,-12.14%,-12.26%,12.30%,12.90%,15.70%,49.04%,48.78%,61.04%,51.25%,36.84%,19.10%,4.34%,-2.39%,Upgrade
2,Enterprise Value,814637,814637,317904,361960,410779,490882,350184,189814,330125,367668,344592,334683,393402,447493,243836,281843,326413,261357,238276,305977,346482,Upgrade
3,PE Ratio,-,16.70,-,-,5.47,4.79,5.63,-,5.70,-,8.17,8.12,8.00,-,6.91,6.14,4.93,4.30,3.40,4.94,4.35,Upgrade
4,PS Ratio,-,0.14,-,0.13,0.12,0.15,0.15,0.16,0.17,0.20,0.20,0.22,0.23,0.27,0.22,0.23,0.23,0.21,0.17,0.17,0.19,Upgrade
5,PB Ratio,0.62,0.62,0.65,-,0.68,0.82,0.78,0.84,0.84,0.98,0.99,0.99,0.97,1.12,0.89,0.88,0.90,0.75,0.60,0.58,0.65,Upgrade
6,P/FCF Ratio,-,-,-,-,-2.74,-6.90,-,-,11.26,-,-,22.87,17.86,-,-,3.10,2.96,-,2.42,35.69,18.98,Upgrade
7,P/OCF Ratio,-,4.01,-,-,1.08,1.33,1.39,2.08,2.71,2.58,3.01,-,4.81,8.92,-,3.11,1.83,1.64,1.68,1.74,2.52,Upgrade
8,EV/Sales Ratio,-,0.31,-,0.11,0.12,0.15,0.11,0.06,0.12,0.13,0.13,0.13,0.16,0.20,0.11,0.13,0.16,0.13,0.13,0.17,0.20,Upgrade
9,EV/EBITDA Ratio,-,8.10,-,-,2.59,2.43,2.01,1.10,1.51,2.10,1.87,1.96,2.31,2.59,1.36,1.57,1.67,1.34,1.18,1.71,1.94,Upgrade
10,EV/EBIT Ratio,-,-139.63,-,-,12.23,6.13,6.42,-,3.14,-,4.56,5.29,6.14,-,3.44,4.69,4.42,3.57,-,4.77,5.10,Upgrade
11,EV/FCF Ratio,-,-,-,-,-2.79,-6.99,-,-,7.55,-,-,13.65,12.53,-,-,1.76,1.99,-,1.75,35.41,20.53,Upgrade
12,Debt / Equity Ratio,1.23,1.23,1.21,-,0.84,0.76,0.76,0.65,0.49,0.66,0.64,0.64,0.50,0.51,0.50,0.45,0.47,0.47,0.46,0.54,0.65,Upgrade
13,Debt / EBITDA Ratio,-,2.66,-,-,2.33,2.69,2.21,7.68,0.74,6.64,1.81,1.55,1.37,2.99,1.92,1.08,1.15,2.17,1.71,0.99,1.46,Upgrade
14,Debt / FCF Ratio,-,-,-,-,-3.38,-6.38,-,-,6.57,-,-,14.72,9.23,-,-,1.57,1.55,-,1.85,33.70,19.23,Upgrade
15,Quick Ratio,0.59,0.59,0.49,-,0.80,-,0.84,0.96,1.03,1.15,1.13,1.15,1.28,1.38,1.28,1.57,1.60,1.72,1.44,1.55,1.33,Upgrade
16,Current Ratio,0.76,0.76,0.67,-,0.96,-,1.00,1.16,1.21,1.36,1.33,1.37,1.48,1.76,1.60,1.78,1.77,1.96,1.65,1.83,1.60,Upgrade
17,Asset Turnover,2.07,-,-,-,-,2.32,2.55,2.44,1.80,2.07,2.21,2.46,1.72,1.99,2.21,2.20,1.70,1.80,2.03,1.86,Upgrade,
18,Return on Equity (ROE),14.07%,-,-,16.67%,8.75%,26.51%,-1.68%,36.33%,1.20%,12.11%,17.15%,19.83%,1.16%,13.29%,18.61%,16.95%,3.46%,31.33%,33.25%,16.58%,Upgrade,
19,Return on Assets (ROA),3.86%,-,-,-,-,3.73%,-3.24%,12.47%,-3.06%,4.07%,6.01%,5.26%,-0.76%,2.04%,7.24%,6.18%,0.56%,-0.31%,10.71%,6.28%,Upgrade,
20,Return on Capital (ROIC),6.81%,-,-,5.01%,2.29%,5.22%,-4.95%,18.87%,-4.34%,5.90%,8.76%,7.65%,-1.09%,2.87%,10.05%,8.36%,0.75%,-0.42%,13.95%,8.06%,Upgrade,
21,Return on Capital Employed (ROCE),-,-0.52%,-,-,4.01%,-,6.51%,-,13.04%,-,9.47%,7.80%,8.08%,-,9.07%,7.57%,9.63%,9.13%,-,8.02%,8.93%,Upgrade
22,Earnings Yield,5.99%,-,12.18%,18.27%,20.86%,19.51%,14.05%,19.29%,13.06%,12.95%,12.94%,13.13%,11.07%,14.71%,19.30%,23.37%,26.63%,33.67%,20.69%,23.45%,Upgrade,
23,Earnings Yield,5.99%,-,12.18%,18.27%,20.86%,19.51%,14.05%,19.29%,13.06%,12.95%,12.94%,13.13%,11.07%,14.71%,19.30%,23.37%,26.63%,33.67%,20.69%,23.45%,Upgrade,
