,Fiscal Quarter,Q1 2018,Q4 2017,Q4 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,+20 Quarters
,Period Ending,"Mar '18 Mar 31, 2018","Dec '17 Dec 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012",+20 Quarters
0,Cash & Equivalents,62941,79612,-,205731,-,190354,187531,234278,264246,161055,227474,245349,145667,220558,288299,367560,363227,393657,340503,275579,Upgrade
1,Short-Term Investments,229744,213644,-,371533,-,255333,305527,351969,269065,377657,341477,274500,306782,232009,212498,104512,58835,17496,44788,55361,Upgrade
2,Accounts Receivable,40062,17701,-,41767,-,18806,40743,39181,37892,28338,52340,49618,35728,30773,32750,37708,45853,42130,50004,35980,Upgrade
3,Other Receivables,22618,12764,-,19548,-,17251,7780,7129,6802,8890,3534,28054,6916,7453,3315,3924,5479,10078,3256,33660,Upgrade
4,Inventory,95765,107812,-,97753,-,70078,83687,79914,83402,83533,89765,82623,121746,103496,48479,49287,52086,59346,68469,72195,Upgrade
5,Prepaid Expenses,2598,5723,-,463.56,-,68.63,342.79,474.72,104.06,-,494.72,448,281.75,-,1014,269.48,229.43,-,220.45,290.49,Upgrade
6,Other Current Assets,4951,11014,-,29695,-,17106,25668,24106,22195,22654,29271,11811,15821,19932,22775,7496,15118,8770,9631,9771,Upgrade
7,Total Current Assets,458679,448269,-,766491,-,568997,651279,737051,683706,682127,744356,692402,632943,614221,609130,570757,540829,531477,516872,482837,Upgrade
8,"Property, Plant & Equipment",1184623,1205133,-,785964,-,719639,589300,557826,553874,551959,524269,507817,511519,493758,463102,462608,474423,487383,504108,521278,Upgrade
9,Other Intangible Assets,3932,4486,-,674.09,-,1059,726.28,876.56,1027,1177,1286,1432,1579,1822,29.4,30.5,48.63,53,57.37,67.37,Upgrade
10,Long-Term Investments,26813,41643,-,42789,-,80571,99255,109959,56011,60196,61002,33570,47798,34535,40574,39722,54376,54167,52333,50023,Upgrade
11,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2229,2229,2237,2237,2138,2138,Upgrade
12,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,13.48,-,13.48,13.48,13.48,-,-,-,-,-,-,-,Upgrade
13,Other Long-Term Assets,45767,60494,-,40898,-,38908,43440,11550,6974,14621,24738,25209,17754,20624,20378,13788,6101,4862,7337,6405,Upgrade
14,Total Assets,1719813,1760025,-,1636818,-,1409175,1384000,1417263,1301605,1310080,1355663,1260444,1211606,1164959,1135442,1089133,1078014,1080179,1082845,1062748,Upgrade
15,Accounts Payable,159641,197204,-,297624,-,222273,256618,260464,251417,244012,281280,265073,222519,215320,164009,177565,175284,164652,131935,136404,Upgrade
16,Accrued Expenses,80054,132747,-,191057,-,119712,116236,115809,81833,102838,121187,94639,74646,62483,107488,86455,56422,74629,80485,68833,Upgrade
17,Short-Term Debt,262559,234593,-,256043,-,134700,143264,129315,100000,81265,96905,38218,12056,19000,24873,-,-,27662,-,31990,Upgrade
18,Current Portion of Long-Term Debt,-,-,-,-,-,65208,-,34565,40720,47280,35579,41610,27978,33005,-,28748,19202,21648,36359,38877,Upgrade
19,Current Unearned Revenue,46788,50549,-,36125,-,2436,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Current Income Taxes Payable,24144,3254,-,7013,-,-,-,17926,1738,198.24,8731,8131,-,-,15948,10918,3177,8134,13263,6720,Upgrade
21,Other Current Liabilities,29349,47570,-,10977,-,26714,46963,53481,26230,36193,958.16,20106,21536,54180,29777,18288,21491,25597,21157,18891,Upgrade
22,Total Current Liabilities,602534,665917,-,798839,-,571043,563082,611560,501937,511787,544640,467776,358736,383989,342096,321974,275576,322322,283199,301716,Upgrade
23,Long-Term Debt,496700,490009,-,242677,-,248095,235443,123616,226140,229192,228411,210040,241153,223313,227188,224585,240706,202720,254842,253709,Upgrade
24,Long-Term Unearned Revenue,-,-,-,-,-,-,7167,6692,15647,13134,16981,5445,59041,6457,4392,6356,8367,6544,5731,7341,Upgrade
25,Other Long-Term Liabilities,3258,3283,-,-,-,-,-,90564,-,-,-,-,-,-,-,-,-,-,3224,3298,Upgrade
26,Total Liabilities,1102493,1159210,-,1041515,-,819138,805692,832433,743724,754113,790033,683262,658929,613759,573676,552916,524650,531587,546996,566064,Upgrade
27,Common Stock,415513,415513,-,415513,-,415513,415513,415513,415513,415513,415513,415513,415513,415513,415513,415513,415513,415513,415513,415513,Upgrade
28,Retained Earnings,186109,169604,-,160145,-,143923,133585,141685,114762,120810,131119,142671,120662,119316,130159,104614,121763,117852,119196,80032,Upgrade
29,Treasury Stock,-11174,-11174,-,-11174,-,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,-11174,Upgrade
30,Comprehensive Income & Other,26873,26873,-,26873,-,37830,36438,34861,34834,26873,26227,26226,23730,23600,23323,23319,23317,22455,8368,8368,Upgrade
31,Total Common Equity,617321,600815,-,591357,586091,586091,574362,580885,553935,552021,561685,573236,548731,547254,557821,532272,549419,544647,531903,492739,Upgrade
32,Minority Interest,-,-,-,3946,-,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,Upgrade
33,Shareholders' Equity,617321,600815,-,595302,590037,590037,578308,584831,557881,555967,565631,577182,552677,551200,561766,536217,553364,548592,535849,496684,Upgrade
34,Total Liabilities & Equity,1719813,1760025,-,1636818,-,1409175,1384000,1417263,1301605,1310080,1355663,1260444,1211606,1164959,1135442,1089133,1078014,1080179,1082845,1062748,Upgrade
35,Total Debt,759259,724602,-,498719,448003,448003,378707,287496,366860,357737,360895,289868,281187,275319,252062,253333,259909,252031,291201,324576,Upgrade
36,Net Cash (Debt),-466574,-431346,-,78545,-2316,-2316,114351,298752,166451,180975,208057,229980,171262,177248,248735,218739,162153,159122,94090,6363,Upgrade
37,Net Cash Growth,-,-,-,-73.71%,-,-,-45.04%,29.90%,-2.81%,2.10%,-16.35%,5.14%,5.62%,11.39%,164.36%,3337.43%,-,-,123.26%,-,Upgrade
38,Net Cash Per Share,-,-,-,1073.02,-31.64,-24.46,1578.25,5071.29,2825.50,3072.04,3531.75,3903.90,2907.15,3008.77,4222.26,3717.40,2749.34,2702.99,1595.93,107.87,Upgrade
39,Filing Date Shares Outstanding,-,-,-,73.2,73.2,58.91,72.45,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.96,58.91,Upgrade
40,Total Common Shares Outstanding,-,-,-,73.2,73.2,58.91,72.45,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.91,58.96,58.91,Upgrade
41,Working Capital,-143855,-217648,-,-32347,-,-2046,88197,125491,181769,170340,199716,224626,274207,230232,267034,248782,265252,209154,233673,181121,Upgrade
42,Book Value Per Share,-,-,-,8078.66,9948.85,9948.85,7927.19,9860.48,9403.01,9370.52,9534.56,9730.64,9314.67,9289.60,9316.77,9035.27,9326.33,9245.33,9021.99,8364.20,Upgrade
43,Tangible Book Value,613389,596330,-,590683,585032,585032,573636,580009,552908,550844,560399,571804,547153,545432,557791,532241,549370,544594,531846,492671,Upgrade
44,Tangible Book Value Per Share,-,-,-,8069.45,9930.88,9930.88,7917.16,9845.60,9385.58,9350.54,9512.73,9706.33,9287.87,9258.67,9316.28,9034.75,9325.51,9244.43,9021.02,8363.06,Upgrade
45,Buildings,-,-,-,-,-,78793,-,79845,79845,77722,72234,69591,70747,67133,-,50222,49735,49727,50252,51634,Upgrade
46,Machinery,-,-,-,-,-,1764987,-,1590910,1586369,1580926,1505083,1482122,1462117,1444839,-,1375388,1353869,1347738,1315477,1319050,Upgrade
47,Construction In Progress,49809,47204,-,190547,-,121698,110622,77928,51042,33762,62459,46241,44197,20620,32263,31459,42663,34421,44663,29582,Upgrade
