,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,952,1826,-,-,-
1,Enterprise Value,1045,1833,-,-,-
2,Last Close Price,2.07,3.97,-,-,-
3,PE Ratio,66.41,67.39,-,-,-
4,PS Ratio,1.16,2.53,-,-,-
5,PB Ratio,2.19,4.16,-,-,-
6,P/TBV Ratio,4.20,4.20,-,-,-
7,EV/Sales Ratio,1.27,2.54,-,-,-
8,EV/EBITDA Ratio,49.61,50.86,-,-,-
9,EV/EBIT Ratio,66.06,57.45,-,-,-
10,Debt / Equity Ratio,0.61,0.61,0.61,-,1.47
11,Debt / EBITDA Ratio,12.65,7.56,7.56,-,1.90
12,Asset Turnover,0.84,-,-,-,
13,Quick Ratio,1.10,1.10,1.10,-,-
14,Current Ratio,1.60,1.60,1.60,-,-
15,Return on Equity (ROE),6.14%,-,-,-,
16,Return on Assets (ROA),1.92%,-,-,-,
17,Return on Capital (ROIC),2.57%,-,-,-,
18,Return on Capital Employed (ROCE),3.60%,7.26%,5.61%,-,-
19,Earnings Yield,1.51%,1.48%,-,-,-
20,FCF Yield,-32.04%,-30.06%,-,-,-
21,Payout Ratio,0.00%,-,-,232.58%,232.58%
