,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,184.85,184.85,150.93,150.93
1,Cost of Revenue,161.29,161.29,127.05,127.05
2,Gross Profit,23.56,23.56,23.89,23.89
3,"Selling, General & Admin",12.3,12.3,10.4,10.4
4,Research & Development,3.34,3.34,4.4,4.4
5,Operating Expenses,16.81,16.81,15.79,15.79
6,Operating Income,6.75,6.75,8.1,8.1
7,Interest Expense,-1.47,-1.47,-0.93,-0.93
8,Interest & Investment Income,0.41,0.41,0.17,0.17
9,Other Non Operating Income (Expenses),-0.01,-0.01,-0,-0
10,EBT Excluding Unusual Items,5.67,5.67,7.34,7.34
11,Gain (Loss) on Sale of Assets,-,-,0.02,0.02
12,Other Unusual Items,1.75,1.75,0.18,0.18
13,Pretax Income,7.43,7.43,7.54,7.54
14,Income Tax Expense,1.15,1.15,0.94,0.94
15,Earnings From Continuing Operations,6.27,6.27,6.59,6.59
16,Minority Interest in Earnings,-0.11,-0.11,-0.14,-0.14
17,Net Income,6.16,6.16,6.45,6.45
18,Net Income to Common,6.16,6.16,6.45,6.45
19,Shares Outstanding (Basic),382,382,375,375
20,Shares Outstanding (Diluted),382,382,375,375
21,EPS (Basic),0.02,0.02,0.02,0.02
22,EPS (Diluted),0.02,0.02,0.02,0.02
23,Free Cash Flow,-203.99,-203.99,-51.43,-51.43
24,Free Cash Flow Per Share,-0.53,-0.53,-0.14,-0.14
25,Gross Margin,12.74%,12.74%,15.83%,15.83%
26,Operating Margin,3.65%,3.65%,5.37%,5.37%
27,Profit Margin,3.33%,3.33%,4.27%,4.27%
28,Free Cash Flow Margin,-110.35%,-110.35%,-34.07%,-34.07%
29,EBITDA,8.05,8.05,8.72,8.72
30,EBITDA Margin,4.36%,4.36%,5.78%,5.78%
31,D&A For EBITDA,1.31,1.31,0.62,0.62
32,EBIT,6.75,6.75,8.1,8.1
33,EBIT Margin,3.65%,3.65%,5.37%,5.37%
34,Effective Tax Rate,15.54%,15.54%,12.51%,12.51%
