,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,164.64,164.64,-,-
1,Short-Term Investments,0.46,0.46,-,-
2,Cash & Short-Term Investments,165.1,165.1,-,78.19
3,Accounts Receivable,323.78,323.78,-,-
4,Other Receivables,25.11,25.11,-,-
5,Receivables,348.89,348.89,-,-
6,Other Current Assets,236.72,236.72,-,-
7,Total Current Assets,750.7,750.7,-,-
8,"Property, Plant & Equipment",30.25,30.25,-,-
9,Other Intangible Assets,0.37,0.37,-,-
10,Long-Term Deferred Tax Assets,1.96,1.96,-,-
11,Other Long-Term Assets,95.02,95.02,-,-
12,Total Assets,878.3,878.3,-,-
13,Accounts Payable,191.76,191.76,-,-
14,Short-Term Debt,247.03,247.03,-,-
15,Current Portion of Leases,0.53,0.53,-,-
16,Current Income Taxes Payable,5.38,5.38,-,-
17,Current Unearned Revenue,0.68,0.68,-,-
18,Other Current Liabilities,23.71,23.71,-,-
19,Total Current Liabilities,469.09,469.09,-,-
20,Long-Term Leases,0.38,0.38,-,-
21,Total Liabilities,469.47,469.47,-,-
22,Common Stock,0.03,0.03,-,-
23,Additional Paid-In Capital,336.94,336.94,-,-
24,Retained Earnings,32.92,32.92,-,-
25,Comprehensive Income & Other,35.51,35.51,-,-
26,Total Common Equity,405.4,405.4,-,45.68
27,Minority Interest,3.43,3.43,-,-
28,Shareholders' Equity,408.83,408.83,-,45.68
29,Total Liabilities & Equity,878.3,878.3,-,-
30,Total Debt,247.93,247.93,-,67.21
31,Net Cash (Debt),-82.84,-82.84,-,10.99
32,Net Cash Per Share,-0.22,-0.22,-,0.03
33,Filing Date Shares Outstanding,460.0,460.0,375,375
34,Total Common Shares Outstanding,460.0,460.0,375,375
35,Working Capital,281.61,281.61,-,-
36,Book Value Per Share,0.88,0.88,-,-
37,Tangible Book Value,405.04,405.04,-,45.37
38,Tangible Book Value Per Share,0.88,0.88,-,-
