,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,304.95,99.26,225.87,481.17,214.56,168.03,254.79,318.25,354.99,242.59,131.34,254.39,451.98,-,94.79,199.41,199.41,73.98,-
1,Short-Term Investments,-,-,-,0.37,-,-,-,1.5,-,-,-,-,-,-,-,-,-,1.29,-
2,Trading Asset Securities,218.23,243.07,186,-,87,50,60,79.93,-,49,129.8,148,-,-,20,-,-,-,-
3,Cash & Short-Term Investments,523.18,342.33,411.87,481.54,301.56,218.03,314.79,399.68,354.99,291.59,261.14,402.39,451.98,-,114.79,199.41,199.41,75.27,219.74
4,Cash Growth,73.49%,57.01%,30.84%,20.48%,-15.05%,-25.23%,20.54%,-0.67%,-21.46%,-,127.48%,101.79%,126.66%,-,-47.76%,-,-,-,-
5,Accounts Receivable,251.91,409.88,275.2,148.68,262.19,371.22,305.64,189.08,270.79,403.67,431.81,92.49,167.54,-,129.23,25.84,25.84,175.61,-
6,Other Receivables,3.09,1.88,2.3,10.15,3,3.1,3.05,35.69,2.58,1.86,3.38,2.04,2.69,-,2.27,2.4,2.4,0.79,-
7,Receivables,255,411.76,277.49,158.83,265.19,374.32,308.69,224.77,273.37,405.53,435.19,94.53,170.24,-,131.5,28.24,28.24,176.41,-
8,Inventory,175.56,180.55,244.63,353.7,301.79,296.05,331.96,457.29,524.44,358.34,378.34,559.56,399.08,-,262.73,277.97,277.97,150.86,-
9,Prepaid Expenses,-,-,-,12.84,-,-,-,14.09,-,-,-,-,-,-,-,-,-,-,-
10,Other Current Assets,102.03,103.84,98.35,64.89,88,69.69,90.55,92.58,146.22,114.77,99.42,136.3,244.09,-,56.12,100.55,100.55,38.18,-
11,Total Current Assets,1056,1038,1032,1072,956.55,958.08,1046,1188,1299,1170,1174,1193,1265,-,565.14,606.16,606.16,440.72,-
12,"Property, Plant & Equipment",537.06,500.89,483.84,457.07,323.29,267.9,205.84,185.84,133.27,113.79,113.85,115.72,110.38,-,105.73,96.13,96.13,82.89,-
13,Other Intangible Assets,117.53,81.8,82.54,83.23,11.29,11.62,11.95,12.27,12.6,7.61,7.66,7.7,9.85,-,7.88,7.94,7.94,8.07,-
14,Long-Term Deferred Tax Assets,14.26,16.95,16.37,16.43,6.65,7.72,12.41,12.42,11.82,8.6,4.26,4.26,3.29,-,3.52,3.31,3.31,4.02,-
15,Long-Term Deferred Charges,1.2,0.59,0.85,0.42,1.64,1.42,0.87,0.76,0.71,5.56,0.92,0.97,0.31,-,-,-,-,0.01,-
16,Other Long-Term Assets,31.54,49.63,63.63,63.05,127.31,113.99,160.19,160.79,163.8,145.77,145.65,141.94,115.88,-,73.81,72.33,72.33,53.66,-
17,Total Assets,1757,1688,1680,1692,1427,1361,1437,1560,1621,1452,1446,1463,1505,-,756.08,785.87,785.87,589.37,-
18,Accounts Payable,165.76,159.74,198.96,171.77,46.57,25.44,30.48,102.68,121.25,59.67,70.18,130.52,168.1,-,104.77,84.03,84.03,37.22,-
19,Accrued Expenses,19.2,21.71,21.28,46.67,29.76,55.9,31.71,75.87,36.3,45.42,34.95,44.23,12.86,-,13.5,20.25,20.25,9.78,-
20,Short-Term Debt,-,-,1,1,1,1,1,-,56.04,26.04,16.04,27.05,179.7,-,10.01,-,-,10.01,-
21,Current Income Taxes Payable,1.35,0.11,4.99,1.77,1.18,1.08,11.99,2.85,6.9,10.18,18.76,5.55,0.78,-,3.47,1,1,0.98,-
22,Current Unearned Revenue,161.13,35.74,89.18,227.97,104.16,31.88,59.38,151.4,143.5,22.54,45.65,219.24,113.75,-,46.65,195.5,195.5,9.72,-
23,Other Current Liabilities,21.72,22.69,25.31,11.72,21.95,11.22,65.37,36.93,31.49,54.79,49.43,10.48,19.87,-,15.96,9.94,9.94,11.38,-
24,Total Current Liabilities,369.17,239.99,340.73,460.91,204.61,126.53,199.93,369.72,395.48,218.64,235,437.07,495.06,-,194.36,310.73,310.73,79.08,-
25,Long-Term Debt,73,73,-,-,-,1.07,1.07,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Unearned Revenue,3.31,3.37,1.13,1.2,0.71,0.73,0.75,0.78,0.8,0.82,0.87,0.87,0.91,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,5.49,5.53,4.78,4.78,5.89,5.89,5.63,5.63,4.56,4.85,5.42,5.42,5.36,-,4.9,4.33,4.33,3.89,-
28,Other Long-Term Liabilities,169.24,225.12,174.33,110.96,88.72,96.28,74.23,98.02,137.45,169,146.44,53.08,98.81,-,60.88,21.44,21.44,72,-
29,Total Liabilities,620.2,547.02,520.96,577.84,299.93,230.51,281.62,474.14,538.29,393.31,387.73,496.43,600.16,-,260.14,336.5,336.5,154.97,-
30,Common Stock,135.2,135.2,135.2,135.2,135.2,137.79,137.79,137.79,137.79,135.2,135.2,135.2,135.2,-,101.4,101.4,101.4,101.4,-
31,Additional Paid-In Capital,459.37,459.37,459.37,459.37,459.37,482.34,482.34,482.34,486.68,459.37,459.37,459.37,459.37,-,101.33,101.33,101.33,101.33,-
32,Retained Earnings,542.59,546.74,564.03,519.6,532.23,535.65,561.06,491.78,458.47,463.67,464.14,372.38,310.37,-,110.1,246.64,246.64,231.67,-
33,Treasury Stock,-,-,-,-,-,-25.57,-25.57,-25.57,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183.12,-,-,-,-
35,Shareholders' Equity,1137,1141,1159,1114,1127,1130,1156,1086,1083,1058,1059,966.95,904.94,-,495.94,449.37,449.37,434.39,370.63
36,Total Liabilities & Equity,1757,1688,1680,1692,1427,1361,1437,1560,1621,1452,1446,1463,1505,-,756.08,785.87,785.87,589.37,-
37,Total Debt,73,73,1,1,1,2.07,2.07,-,56.04,26.04,16.04,27.05,179.7,-,10.01,-,-,10.01,40.04
38,Net Cash (Debt),450.18,269.33,410.87,480.54,300.56,215.96,312.72,399.68,298.96,265.55,245.1,375.34,272.28,-,104.78,199.41,199.41,65.26,179.7
39,Net Cash Growth,49.78%,24.72%,31.39%,20.23%,0.54%,-18.68%,27.59%,6.49%,9.80%,-,133.92%,88.22%,36.54%,-,-41.69%,-,-,-,-
40,Net Cash Per Share,3.34,1.98,3.05,3.68,2.27,1.58,2.30,2.99,2.14,1.98,1.82,2.73,2.74,-,1.03,1.95,1.98,0.64,1.71
41,Filing Date Shares Outstanding,135.2,135.2,135.2,135.2,135.2,135.2,137.79,137.79,137.79,137.79,135.2,135.2,135.2,102.98,101.4,101.4,100.67,101.4,100.46
42,Total Common Shares Outstanding,135.2,135.2,135.2,135.2,135.2,137.79,137.79,137.79,137.79,135.2,135.2,135.2,135.2,102.98,101.4,101.4,100.67,101.4,100.46
43,Working Capital,686.6,798.48,691.61,610.89,751.94,831.55,846.06,818.69,903.55,951.58,939.09,755.71,770.33,-,370.78,295.43,295.43,361.63,-
44,Book Value Per Share,8.41,8.44,8.57,8.24,8.33,8.20,8.39,7.88,7.86,7.83,7.83,7.15,6.69,-,4.89,4.43,4.46,4.28,3.66
45,Tangible Book Value,1020,1060,1076,1031,1116,1119,1144,1074,1070,1051,1051,959.25,895.09,-,488.07,441.42,441.42,426.32,362.36
46,Tangible Book Value Per Share,7.54,7.84,7.96,7.63,8.25,8.12,8.30,7.79,7.77,7.77,7.77,7.10,6.62,-,4.81,4.35,4.38,4.20,3.57
47,Buildings,-,75.06,-,70.81,-,68.09,-,68.09,-,62.58,-,62.58,-,-,-,56.78,56.78,54.53,-
48,Machinery,-,155.1,-,151.47,-,148.4,-,146.71,-,103.18,-,101.66,-,-,-,76.73,76.73,68.09,-
49,Construction In Progress,-,371.06,-,325.93,-,133.69,-,44.37,-,14.12,-,11.93,-,-,-,10.93,10.93,4.46,-
