,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,116.68,194.01,312.09,140.38,82.2,126.72,344.71,221.39,66.95,129.52,487.56,291.49,74.84,201.02,274.58,149.14,98.57,145.86,213.79
1,Other Revenue,-3.5,3.5,-,5.01,-4.72,4.72,-,0.63,-0.57,0.57,-,0.56,-0.58,0.58,-,5.98,2.99,1.73,4.03
2,Revenue,113.17,197.52,312.09,145.39,77.49,131.44,344.71,222.02,66.38,130.09,487.56,292.05,74.26,201.6,274.58,155.12,101.55,147.59,217.82
3,Revenue Growth (YoY),46.06%,50.27%,-9.46%,-34.52%,16.74%,1.04%,-29.30%,-23.98%,-10.61%,-35.47%,77.56%,88.28%,-26.88%,36.60%,26.06%,-,-,-,-
4,Cost of Revenue,71.37,147.01,212.89,123.48,58.05,87.07,209.44,138.15,29.66,82.43,278.58,178.09,41.84,135.97,176.48,109.74,69.58,93.57,142.33
5,Gross Profit,41.81,50.51,99.19,21.91,19.44,44.37,135.26,83.87,36.72,47.66,208.98,113.96,32.42,65.63,98.1,45.38,31.97,54.02,75.49
6,"Selling, General & Admin",29.13,32.09,32.26,39.11,24.14,25.62,30.41,42.35,32.45,21.26,57.11,48.37,27.2,20.89,20.25,15.88,18.08,13.51,11.8
7,Research & Development,16.41,18,17.03,25.15,4.29,9.16,19.93,28.01,14.19,12.18,25.66,23.64,11.74,15.25,13.17,15.16,14.54,12.02,10.26
8,Other Operating Expenses,-4.9,5.11,-5.11,0.45,0.71,0.72,0.88,1.05,0.65,0.45,1.31,0.84,0.56,0.8,0.7,0.55,0.51,0.65,0.59
9,Operating Expenses,31.09,62.02,50.54,58.81,23.61,37.53,58.14,67.21,41.01,33.96,100.48,68.89,34.19,44.28,39.7,31.95,33.32,30.96,26.37
10,Operating Income,10.71,-11.51,48.66,-36.9,-4.18,6.85,77.13,16.66,-4.29,13.7,108.5,45.07,-1.77,21.35,58.4,13.43,-1.34,23.06,49.12
11,Interest Expense,-,-0,-0.01,-0.01,-0.01,-0.36,-,-0.26,-0.43,-0.13,-0.15,-1.25,-1.57,-0.37,-0.11,-,-0.43,-0.18,-0.36
12,Interest & Investment Income,1.43,2.33,1.67,2.53,0.93,1.53,1.6,1.28,1.31,1.58,2.69,0.93,0.62,0.26,0.81,0.81,0.79,0.57,1.51
13,Currency Exchange Gain (Loss),-0.01,0.01,-,0,-,-,-,-,-,-,-,0.06,-0,0,-,0.01,0.01,-,-
14,Other Non Operating Income (Expenses),-0.43,0.36,0.01,-0.06,0.12,1.17,0.64,-11.04,1.05,9.91,-0.03,-0.36,0.23,-0.01,0.22,-1.25,3.91,-0.62,0.6
15,EBT Excluding Unusual Items,11.69,-8.81,50.32,-34.44,-3.14,9.19,79.37,6.64,-2.36,25.06,111,44.45,-2.49,21.23,59.31,13.01,2.94,22.83,50.87
16,Gain (Loss) on Sale of Investments,0.15,1.07,-,-0.07,-,-,0.07,-0.07,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0,-0,-,-0,0.02,-0.02,-,-0.12,0.09,-0.09,-,-0.02,0.01,-0.01,-,-0.1,-0.05,-0.01,-0.02
18,Asset Writedown,-5.56,0.75,-0.75,-0.77,0.77,-0.51,0.51,7.16,-7.16,4.07,-4.07,2.22,-2.22,4.36,-4.36,11.31,3.52,-,-
19,Other Unusual Items,-5.21,7.6,-,11.43,-,-,-,12.21,-,-,-,16.35,-,-,-,1.89,0.94,1.02,-
20,Pretax Income,1.07,0.61,49.57,-23.85,-2.35,8.66,79.95,25.83,-9.43,29.04,106.93,63,-4.7,25.57,54.96,26.11,7.35,23.83,50.85
21,Income Tax Expense,5.23,-2.38,5.14,-11.22,1.07,4.33,10.67,-7.49,-4.23,3.81,15.18,0.99,1.01,2.71,8.38,-1.33,-0.13,3.27,7.65
22,Net Income,-4.15,2.99,44.44,-12.63,-3.42,4.33,69.28,33.31,-5.2,25.22,91.75,62.01,-5.71,22.86,46.58,27.44,7.49,20.57,43.2
23,Net Income to Common,-4.15,2.99,44.44,-12.63,-3.42,4.33,69.28,33.31,-5.2,25.22,91.75,62.01,-5.71,22.86,46.58,27.44,7.49,20.57,43.2
24,Net Income Growth,-,-31.03%,-35.85%,-,-,-82.81%,-24.50%,-46.28%,-,10.32%,96.99%,126.02%,-,11.18%,7.82%,-,-,-,-
25,Shares Outstanding (Basic),135,136,135,130,132,137,136,133,140,134,135,138,99,103,101,102,101,102,100
26,Shares Outstanding (Diluted),135,136,135,130,132,137,136,133,140,134,135,138,99,103,101,102,101,102,105
27,Shares Change (YoY),1.80%,-0.32%,-0.86%,-2.24%,-5.51%,2.10%,0.67%,-3.10%,41.10%,30.10%,33.26%,35.00%,-1.42%,1.00%,-3.90%,-,-,-,-
28,EPS (Basic),-0.03,0.02,0.33,-0.10,-0.03,0.03,0.51,0.25,-0.04,0.19,0.68,0.45,-0.06,0.22,0.46,0.27,0.07,0.20,0.43
29,EPS (Diluted),-0.03,0.02,0.33,-0.10,-0.03,0.03,0.51,0.25,-0.04,0.19,0.68,0.45,-0.06,0.22,0.46,0.27,0.07,0.20,0.41
30,EPS Growth,-,-30.81%,-35.29%,-,-,-83.17%,-25.00%,-44.56%,-,-15.20%,47.83%,67.42%,-,10.08%,12.20%,-,-,-,-
31,Free Cash Flow,179.26,-124.73,-70.97,177.16,83.69,-42.62,-87.13,98.26,43.66,-37.2,-87.6,139.31,-123.76,-54.51,-176.32,106.54,65.72,-39.92,-78.36
32,Free Cash Flow Per Share,1.33,-0.91,-0.53,1.36,0.63,-0.31,-0.64,0.74,0.31,-0.28,-0.65,1.01,-1.25,-0.53,-1.74,1.04,0.65,-0.39,-0.74
33,Dividend Per Share,-,0.045,-,0.150,-,-,-,0.220,-,-,-,0.190,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-31.82%,-,-,-,15.79%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,36.94%,25.57%,31.78%,15.07%,25.08%,33.76%,39.24%,37.78%,55.32%,36.63%,42.86%,39.02%,43.66%,32.55%,35.73%,29.26%,31.49%,36.60%,34.66%
36,Operating Margin,9.46%,-5.83%,15.59%,-25.38%,-5.39%,5.21%,22.38%,7.51%,-6.46%,10.53%,22.25%,15.43%,-2.38%,10.59%,21.27%,8.66%,-1.32%,15.63%,22.55%
37,Profit Margin,-3.67%,1.51%,14.24%,-8.69%,-4.41%,3.30%,20.10%,15.00%,-7.83%,19.39%,18.82%,21.23%,-7.69%,11.34%,16.96%,17.69%,7.37%,13.93%,19.83%
38,Free Cash Flow Margin,158.40%,-63.15%,-22.74%,121.85%,108.00%,-32.42%,-25.28%,44.26%,65.78%,-28.60%,-17.97%,47.70%,-166.66%,-27.04%,-64.22%,68.69%,64.72%,-27.05%,-35.97%
39,EBITDA,15.61,-6.43,53.56,-32,-0.31,11.75,81,20.53,-1.17,17.29,111.62,48.19,0.85,24.24,61.19,16.05,1.31,25.61,51.74
40,EBITDA Margin,13.80%,-3.26%,17.16%,-22.01%,-0.40%,8.94%,23.50%,9.25%,-1.76%,13.29%,22.89%,16.50%,1.15%,12.02%,22.29%,10.35%,1.29%,17.35%,23.75%
41,D&A For EBITDA,4.9,5.08,4.9,4.9,3.87,4.9,3.87,3.87,3.12,3.59,3.12,3.12,2.62,2.88,2.79,2.62,2.65,2.55,2.62
42,EBIT,10.71,-11.51,48.66,-36.9,-4.18,6.85,77.13,16.66,-4.29,13.7,108.5,45.07,-1.77,21.35,58.4,13.43,-1.34,23.06,49.12
43,EBIT Margin,9.46%,-5.83%,15.59%,-25.38%,-5.39%,5.21%,22.38%,7.51%,-6.46%,10.53%,22.25%,15.43%,-2.38%,10.59%,21.27%,8.66%,-1.32%,15.63%,22.55%
44,Effective Tax Rate,486.24%,-,10.36%,-,-,49.97%,13.35%,-,-,13.13%,14.20%,1.56%,-,10.59%,15.25%,-,-,13.72%,15.05%
45,Revenue as Reported,113.17,197.52,312.09,145.39,77.49,131.44,344.71,222.02,66.38,130.09,487.56,292.05,74.26,201.6,274.58,155.12,284.26,147.59,217.82
