,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2558,1664,1679,1979,2427,2542,2577,2424,2359,2498,3135,2421,3611,2215,-,-,-,-,-,-
1,Market Cap Growth,-34.52%,-34.52%,-34.83%,-18.34%,2.88%,1.74%,-17.82%,0.10%,-34.67%,12.81%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2108,1395,1268,1679,2126,2326,2264,2125,2060,2233,2890,2149,3339,2110,-,-,-,-,-,-
3,Last Close Price,18.92,12.27,12.38,14.41,17.67,18.51,18.41,17.10,16.65,17.63,22.55,17.29,25.78,15.81,-,-,-,-,-,-
4,PE Ratio,82.77,-,53.52,60.49,-,-,25.33,19.77,16.26,-,18.09,14.17,28.72,-,-,-,-,-,-,-
5,PS Ratio,3.30,2.17,2.29,2.97,3.47,3.28,3.37,3.18,2.60,2.56,3.19,2.29,4.29,3.14,-,-,-,-,-,-
6,PB Ratio,2.25,1.46,1.47,1.71,2.18,2.26,2.28,2.10,2.17,2.31,2.96,2.29,3.73,2.45,-,-,-,-,-,-
7,P/TBV Ratio,1.63,1.63,1.58,1.84,2.35,2.28,2.30,2.12,2.20,2.33,2.98,2.30,3.76,2.47,-,-,-,-,-,-
8,P/FCF Ratio,15.92,10.35,-,-,18.51,48.69,-,-,137.78,42.95,-,-,-16.77,-,-,-,-,-,-,-
9,P/OCF Ratio,4.81,4.81,-,-,7.25,10.67,-,-,18.66,25.37,-,-,-33.21,-,-,-,-,-,-,-
10,EV/Sales Ratio,2.74,1.82,1.73,2.52,3.04,3.00,2.96,2.78,2.27,2.29,2.94,2.04,3.96,2.99,-,-,-,-,-,-
11,EV/EBITDA Ratio,62.60,45.37,-,50.87,-,-,20.20,18.06,13.89,-,16.24,11.62,24.83,20.62,-,-,-,-,-,-
12,EV/EBIT Ratio,192.34,127.29,-,116.34,-,-,23.50,20.59,15.31,-,17.46,12.41,27.13,-,-,-,-,-,-,-
13,EV/FCF Ratio,13.11,8.68,-,-,16.22,44.55,-,-,120.32,38.38,-,-,-15.51,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.06,0.06,0.06,0.00,0.00,0.00,0.00,0.00,-,0.05,0.02,0.02,0.03,0.20,-,0.02,-,-,0.02,0.11
15,Debt / EBITDA Ratio,2.17,1.17,-,0.00,-,-,0.04,0.01,-,-,0.38,0.04,0.14,52.76,-,0.04,-,-,0.10,0.19
16,Debt / FCF Ratio,0.45,0.45,-,-,0.01,0.02,-,-,-,0.96,-,-,-0.13,-,-,-,-,-,-,-
17,Asset Turnover,0.26,0.47,0.74,0.37,0.22,0.38,0.92,0.56,0.17,0.36,1.34,0.79,-,-,1.42,-,-,-,-,
18,Inventory Turnover,2.32,1.60,2.77,2.85,1.51,0.78,1.11,2.12,1.13,0.27,0.90,2.38,1.49,-,-,2.61,-,-,-,-
19,Quick Ratio,2.11,2.11,3.14,2.02,1.39,2.77,4.68,3.12,1.69,1.59,3.19,2.96,1.14,1.26,-,1.27,0.73,0.73,3.18,-
20,Current Ratio,2.86,2.86,4.33,3.03,2.33,4.68,7.57,5.23,3.21,3.28,5.35,5.00,2.73,2.56,-,2.91,1.95,1.95,5.57,-
21,Return on Equity (ROE),-1.46%,1.04%,15.64%,-4.51%,-1.21%,1.52%,24.72%,12.29%,-1.94%,9.53%,36.24%,26.50%,-,-,39.42%,-,-,20.44%,-,
22,Return on Assets (ROA),1.55%,-1.71%,7.22%,-5.92%,-0.75%,1.22%,12.86%,2.62%,-0.70%,2.36%,18.64%,7.59%,-,-,18.94%,-,-,-,-,
23,Return on Capital (ROIC),2.21%,-2.42%,10.69%,-8.23%,-0.92%,1.49%,17.18%,3.74%,-0.96%,3.17%,26.22%,10.84%,-,-,30.57%,-,-,13.48%,-,
24,Return on Capital Employed (ROCE),0.79%,0.79%,-,1.08%,-,-,7.81%,8.34%,11.30%,-,13.42%,14.29%,11.99%,-,-,16.66%,17.74%,-,14.15%,-
25,Earnings Yield,1.20%,1.84%,1.87%,1.65%,2.37%,4.07%,3.95%,5.06%,6.15%,6.96%,5.53%,7.06%,3.48%,4.12%,-,-,-,-,-,-
26,FCF Yield,6.28%,9.66%,3.88%,7.44%,5.40%,2.05%,0.47%,0.73%,0.73%,2.33%,-3.48%,-5.23%,-5.96%,-11.20%,-,-,-,-,-,-
27,Dividend Yield,0.78%,-,1.58%,-,0.85%,-,-,-,1.32%,-,-,-,0.74%,-,-,-,-,-,-,-
28,Payout Ratio,65.04%,-,675.85%,0.02%,-,-,686.19%,-,0.79%,-,101.84%,-,5.31%,-,1.91%,-,-,0.89%,2.75%,-
29,Buyback Yield / Dilution,0.41%,-1.80%,0.32%,0.86%,2.24%,5.51%,-2.10%,-0.67%,3.10%,-41.10%,-30.10%,-33.26%,-35.00%,1.42%,-1.00%,3.90%,-,-,-,-
