,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,186.09,209.19,217.6,234.16,277.79,307.04,264.37,147.81,128.91,128.08
1,Revenue Growth (YoY),-14.48%,-10.66%,-21.67%,-23.74%,5.07%,107.72%,105.08%,15.41%,0.56%,-7.12%
2,Cost of Revenue,148.09,174.42,165.33,193.96,215.72,222.34,210.47,116.02,110.49,-
3,Gross Profit,37.99,34.77,52.27,40.2,62.07,84.7,53.91,31.79,18.43,128.08
4,"Selling, General & Admin",18.51,32.01,27.4,32.65,39.79,66.17,34.91,14.66,16.34,94.84
5,Other Operating Expenses,-,-,-,-,-,-,-,-,-,6.27
6,Operating Expenses,50.43,9.17,74.4,30.92,46.52,71.31,37.6,14.89,16.39,104.25
7,Operating Income,-12.44,25.6,-22.13,9.27,15.55,13.39,16.31,16.9,2.03,23.83
8,Interest Expense,-0.77,-0.73,-0.74,-0.76,-0.43,-0.1,-0.16,-0.2,-0.23,-0.34
9,Interest & Investment Income,0.11,0.14,0.14,0.14,0.13,0.41,0.74,0.69,0.71,0.93
10,Currency Exchange Gain (Loss),0.11,-0.8,1.26,2.05,1.78,-,-,-0.47,0.47,0.47
11,Other Non Operating Income (Expenses),1.21,0.85,1.07,2.08,2.07,4.12,0.82,1.39,0.33,-3.91
12,EBT Excluding Unusual Items,-11.79,25.06,-20.41,12.78,19.11,17.82,17.7,18.31,3.32,20.98
13,Merger & Restructuring Charges,-,-,-,-0.09,-,-4.02,-,-,-,-
14,Gain (Loss) on Sale of Investments,0.2,-1.07,0.05,0.35,0.01,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-,-,-,-,-1.33,-,-,-,-,-0.71
16,Asset Writedown,-1.8,-76.91,0.1,-4.29,-,-,-,-,-,-
17,Other Unusual Items,0.08,6.11,-0.42,4.14,-0.01,-0.3,0.1,0.14,0.22,-
18,Pretax Income,-13.31,-46.81,-20.68,12.89,17.79,13.49,17.8,18.45,3.54,20.27
19,Income Tax Expense,-1,-8.25,-2.12,-1.39,0.35,-0.61,2.64,9.39,0.93,6.23
20,Earnings From Continuing Operations,-12.31,-38.56,-18.56,14.28,17.43,14.1,15.17,9.06,2.61,14.04
21,Minority Interest in Earnings,-2.36,0.86,-4.36,-5.87,-7.68,-4.99,-4.08,-0.86,0.1,-0.2
22,Net Income,-14.67,-37.7,-22.91,8.41,9.76,9.11,11.09,8.2,2.71,13.84
23,Net Income to Common,-14.67,-37.7,-22.91,8.41,9.76,9.11,11.09,8.2,2.71,13.84
24,Net Income Growth,-,-,-,-7.68%,-12.04%,11.01%,309.23%,-40.73%,-67.44%,-45.97%
25,Shares Outstanding (Basic),400,400,400,400,400,400,400,400,400,400
26,Shares Outstanding (Diluted),400,400,400,400,400,400,400,400,400,400
27,EPS (Basic),-0.04,-0.09,-0.06,0.02,0.02,0.02,0.03,0.02,0.01,0.03
28,EPS (Diluted),-0.04,-0.09,-0.06,0.02,0.02,0.02,0.03,0.02,0.01,0.03
29,EPS Growth,-,-,-,-7.67%,-12.04%,11.00%,309.23%,-40.73%,-67.44%,-45.97%
30,Free Cash Flow,-23.47,2.21,-2.12,53.75,-37.97,48.33,-70.25,48.76,-6.21,-17.76
31,Free Cash Flow Per Share,-0.06,0.01,-0.01,0.13,-0.09,0.12,-0.18,0.12,-0.02,-0.04
32,Operating Margin,-6.68%,12.24%,-10.17%,3.96%,5.60%,4.36%,6.17%,11.44%,1.58%,18.61%
33,Profit Margin,-7.89%,-18.02%,-10.53%,3.59%,3.51%,2.97%,4.19%,5.55%,2.10%,10.81%
34,Free Cash Flow Margin,-12.61%,1.06%,-0.97%,22.95%,-13.67%,15.74%,-26.57%,32.98%,-4.82%,-13.87%
35,EBITDA,-8.06,30.13,-17.76,13.41,20.55,17.7,18.77,17.33,2.46,24.34
36,D&A For EBITDA,4.38,4.53,4.38,4.14,5,4.31,2.47,0.42,0.43,0.5
37,EBIT,-12.44,25.6,-22.13,9.27,15.55,13.39,16.31,16.9,2.03,23.83
