,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,54.32,88.13,111.8,117.68,74.3,90.34,97.15,138.48,90.51,98.66
1,Short-Term Investments,69.91,-,59.96,-,39.4,-,19.58,-,21.78,-
2,Trading Asset Securities,4.44,4.38,0.52,0.52,0.51,0.5,-,-,-,-
3,Cash & Short-Term Investments,128.66,92.52,172.28,118.2,114.21,90.84,116.72,138.48,112.3,98.66
4,Cash Growth,-25.32%,-21.73%,50.84%,30.12%,-2.15%,-34.40%,3.94%,40.36%,-10.69%,-10.11%
5,Accounts Receivable,200.19,207.1,266.94,287.34,338.72,248.9,231.63,58.44,96.26,71.29
6,Other Receivables,1.49,36.89,-,48.2,-,12.27,-,0.56,-,1.07
7,Receivables,201.69,243.99,266.94,335.54,338.72,261.18,231.63,59,96.26,72.36
8,Inventory,-,-,-,-,-,-,0.13,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,15.8
10,Restricted Cash,3.1,2.64,3.45,1.15,-,-,-,-,-,-
11,Other Current Assets,-,28.3,-,22.35,-,21.66,-,13.73,-,7.12
12,Total Current Assets,333.45,367.45,442.66,477.24,452.93,373.68,348.49,211.21,208.55,193.94
13,"Property, Plant & Equipment",12.82,14.22,9.92,9.74,11.63,17.3,11.35,8.71,10.15,15.56
14,Long-Term Investments,8.01,7.84,3.76,3.72,-,-,-,-,-,-
15,Goodwill,47.65,47.65,47.65,47.65,45.62,31.33,5.53,-,-,-
16,Other Intangible Assets,20.56,23.34,26.11,28.88,31.65,29.15,30.32,-,-,-
17,Long-Term Deferred Tax Assets,19.54,17.8,11.34,6.61,4.83,2.72,2.21,-,-,-
18,Other Long-Term Assets,3.22,-,-,-,-,-,-,-,-,0.9
19,Total Assets,445.25,478.29,541.43,573.84,546.67,454.17,397.88,219.91,218.7,210.4
20,Accounts Payable,70,73.56,78.52,81.7,74.33,61.66,49.89,22.23,26.54,17.55
21,Accrued Expenses,134.28,66.31,133.04,66.51,122.54,68.17,113.5,18.9,26.26,24.18
22,Short-Term Debt,13.74,19.37,35,35.73,40,-,-,-,-,-
23,Current Portion of Leases,0.28,0.32,-,0.06,0.49,1.29,2.52,2.89,3.53,5.56
24,Current Income Taxes Payable,11.73,12.51,13.15,14.01,12.68,12.34,11.15,20.09,15.08,16.21
25,Current Unearned Revenue,50.12,50.86,47.35,47.31,44.95,38.06,18.58,3.41,10.59,7.98
26,Other Current Liabilities,-,73.2,7.77,73.65,2.12,49.19,-,1.72,-,-
27,Total Current Liabilities,280.14,296.12,314.84,318.97,297.11,230.7,195.65,69.24,82.01,71.47
28,Long-Term Leases,0.78,0.88,-,0.15,1.07,2.7,3.74,4.23,4.42,8.3
29,Long-Term Deferred Tax Liabilities,7.67,8.36,9.19,9.88,10.8,10.09,11.16,4.39,1.57,2.03
30,Other Long-Term Liabilities,-,-,-,7.34,11.43,5.64,-,-,-,-
31,Total Liabilities,288.59,305.37,324.02,336.33,320.41,249.12,210.54,77.86,88,81.8
32,Common Stock,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
33,Additional Paid-In Capital,-,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68,51.68
34,Retained Earnings,-,55.37,93.06,115.98,107.57,97.81,88.71,80.98,72.77,70.06
35,Comprehensive Income & Other,94.58,2.32,0.95,2.19,4.23,5.95,5.26,4.69,2.4,2.91
36,Total Common Equity,97.99,112.77,149.1,173.24,166.88,158.84,149.05,140.75,130.25,128.05
37,Minority Interest,58.68,60.16,68.31,64.27,59.39,46.21,38.3,1.31,0.45,0.55
38,Shareholders' Equity,156.66,172.93,217.41,237.51,226.26,205.05,187.35,142.06,130.7,128.6
39,Total Liabilities & Equity,445.25,478.29,541.43,573.84,546.67,454.17,397.88,219.91,218.7,210.4
40,Total Debt,14.79,20.57,35,35.94,41.56,3.99,6.25,7.11,7.95,13.86
41,Net Cash (Debt),113.87,71.95,137.28,82.26,72.65,86.85,110.47,131.37,104.35,84.8
42,Net Cash Growth,-17.05%,-12.53%,88.96%,-5.29%,-34.24%,-33.88%,5.86%,54.91%,-6.36%,-22.73%
43,Net Cash Per Share,0.28,0.18,0.34,0.21,0.18,0.22,0.28,0.33,0.26,0.21
44,Filing Date Shares Outstanding,400,400,400,400,400,400,400,400,400,400
45,Total Common Shares Outstanding,400,400,400,400,400,400,400,400,400,400
46,Working Capital,53.31,71.33,127.83,158.28,155.83,142.98,152.84,141.97,126.55,122.46
47,Book Value Per Share,0.24,0.28,0.37,0.43,0.42,0.40,0.37,0.35,0.33,0.32
48,Tangible Book Value,29.78,41.78,75.34,96.72,89.6,98.36,113.2,140.75,130.25,128.05
49,Tangible Book Value Per Share,0.07,0.10,0.19,0.24,0.22,0.25,0.28,0.35,0.33,0.32
50,Land,-,-,-,-,-,2.89,-,0.62,-,-
51,Buildings,-,4.46,-,2.89,-,-,-,-,-,-
52,Machinery,-,12.96,-,8.9,-,12.24,-,4.09,-,3.96
53,Leasehold Improvements,-,5.37,-,4.22,-,4.28,-,2.06,-,3.15
