,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,26,30,34,58,47,142,186,232,200,216,228
1,Market Cap Growth,-48.28%,-48.28%,-26.50%,-59.15%,-74.84%,-38.79%,-7.00%,7.41%,-12.28%,22.73%,111.11%
2,Enterprise Value,-34,17,-40,38,31,92,99,78,86,124,106
3,Last Close Price,0.06,0.07,0.09,0.14,0.12,0.35,0.47,0.58,0.49,0.53,0.56
4,PE Ratio,-,-,-,-,2.28,6.43,7.50,10.00,15.43,11.90,9.20
5,PS Ratio,0.06,0.07,0.07,0.12,0.08,0.21,0.27,0.47,0.61,0.77,0.80
6,PB Ratio,0.24,0.18,0.18,0.25,0.17,0.54,0.74,1.03,1.19,1.51,1.58
7,P/TBV Ratio,0.94,0.94,0.75,0.71,0.43,1.35,1.54,1.70,1.20,1.51,1.59
8,P/FCF Ratio,-,-,354.83,-,2.62,-,-6.91,-,3.96,-,-
9,P/OCF Ratio,-,-,6.48,-,2.43,-,-8.50,-,3.93,-,-
10,EV/Sales Ratio,0.04,0.04,-,0.08,0.05,0.13,0.14,0.16,0.26,0.44,0.37
11,EV/EBITDA Ratio,0.72,-,-,-,0.81,2.06,2.22,1.79,3.66,4.21,2.63
12,EV/EBIT Ratio,1.20,-,-,-,1.11,2.72,2.72,1.94,3.82,4.36,2.71
13,EV/FCF Ratio,1.48,-,-,-,1.75,-,-3.69,-,1.70,-,-
14,Debt / Equity Ratio,0.09,0.09,0.12,0.16,0.15,0.18,0.02,0.03,0.05,0.06,0.11
15,Debt / FCF Ratio,-,-,233.72,-,2.28,-,-0.18,-,0.17,-,-
16,Return on Capital Employed (ROCE),7.97%,-,1.91%,-,9.74%,11.60%,13.29%,16.42%,12.57%,18.92%,25.16%
17,Earnings Yield,-219.81%,-187.57%,-194.10%,-27.02%,43.87%,15.56%,13.33%,10.00%,6.48%,8.41%,10.88%
18,FCF Yield,-89.24%,-76.15%,0.28%,96.19%,38.12%,8.55%,-14.46%,-11.14%,25.26%,-12.18%,-4.10%
