,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,2136,2226,2249,2395,2630,2680,2838,3695,4299,3699,-,-,-
1,Market Cap Growth,-16.92%,-16.92%,-20.75%,-35.18%,-38.82%,-27.55%,-,-,-,-,-,-,-
2,Enterprise Value,1699,1697,1630,1685,1920,1997,2073,3055,3659,3667,-,-,-
3,Last Close Price,26.99,27.57,27.80,28.75,31.58,32.17,34.07,43.84,51.00,43.89,-,-,-
4,PE Ratio,22.61,23.27,18.29,19.30,24.33,28.25,32.91,40.92,49.25,42.26,-,-,-
5,PS Ratio,1.12,1.16,1.23,1.39,1.62,1.75,1.94,2.59,3.18,2.79,-,-,-
6,PB Ratio,1.39,1.45,1.48,1.56,1.71,1.84,1.95,2.58,3.04,2.68,-,-,-
7,P/TBV Ratio,1.47,1.47,1.50,1.58,1.74,1.87,1.98,2.62,3.09,2.73,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-16.29,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-68.63,-,-,-139.34,-,-,-58.98,-,-,-,-
10,EV/Sales Ratio,0.89,0.89,0.89,0.98,1.18,1.30,1.41,2.14,2.71,2.77,-,-,-
11,EV/EBITDA Ratio,12.65,13.92,11.31,11.90,14.98,24.38,28.77,35.97,44.54,37.44,-,-,-
12,EV/EBIT Ratio,16.17,16.15,12.55,13.25,16.52,27.55,32.79,38.52,47.44,39.20,-,-,-
13,EV/FCF Ratio,-6.48,-,-,-,-,-12.14,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.25,0.25
15,Debt / EBITDA Ratio,0.30,0.78,0.04,0.07,0.06,0.12,0.17,0.12,0.40,0.17,-,1.16,0.86
16,Debt / FCF Ratio,-,-,-,-,-,-0.10,-,-,-,-,-,-,-
17,Asset Turnover,1.08,1.01,1.08,1.07,1.01,0.88,0.93,0.89,-,-,-,-,
18,Inventory Turnover,6.80,5.58,5.72,6.93,7.44,8.18,6.69,6.53,6.51,-,-,-,-
19,Quick Ratio,3.26,3.26,2.94,5.06,4.60,5.51,6.26,5.67,4.66,4.41,-,-,1.43
20,Current Ratio,4.40,4.40,3.99,6.15,5.57,6.40,7.37,6.72,5.54,6.08,-,-,1.90
21,Return on Equity (ROE),2.55%,6.83%,8.16%,7.66%,10.14%,7.57%,4.25%,4.37%,-,-,13.54%,-,
22,Return on Assets (ROA),1.16%,2.62%,4.35%,6.64%,5.04%,2.49%,3.03%,0.38%,-,-,-,-,
23,Return on Capital (ROIC),1.40%,3.11%,5.01%,7.63%,5.68%,2.81%,3.51%,0.44%,-,-,10.10%,-,
24,Return on Capital Employed (ROCE),6.85%,6.85%,8.56%,8.26%,7.54%,4.95%,4.32%,5.51%,5.42%,6.73%,-,-,5.08%
25,Earnings Yield,4.48%,4.30%,5.47%,5.18%,4.11%,3.54%,3.04%,2.44%,2.03%,2.37%,-,-,-
26,FCF Yield,-12.27%,-11.77%,-7.22%,-7.33%,-5.64%,-6.14%,-9.61%,-7.01%,-5.22%,-4.68%,-,-,-
27,Dividend Yield,3.65%,4.17%,-,-,2.06%,-,-,-,0.98%,-,-,-,-
28,Payout Ratio,53.95%,-,196.95%,-,0.57%,-,146.64%,-,-,7.47%,2.01%,4.22%,1.04%
29,Buyback Yield / Dilution,-0.20%,0.66%,0.81%,0.12%,-2.41%,-19.99%,-33.38%,-33.29%,-33.34%,-,-,-,-
30,Total Shareholder Return,3.45%,4.84%,0.81%,0.12%,-0.35%,-19.99%,-33.38%,-33.29%,-32.35%,-,-,-,-
