,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,506.64,461.03,479.98,461.11,419.8,359.21,385.04,366.81,350.76,320.22,310.26,342.03
1,Other Revenue,-0.7,0.7,-,2.5,-1.77,1.77,-,2.7,-0.64,0.64,-,0.89
2,Revenue,505.94,461.73,479.98,463.61,418.03,360.98,385.04,369.51,350.12,320.86,310.26,342.92
3,Revenue Growth (YoY),21.03%,27.91%,24.66%,25.47%,19.40%,12.51%,24.10%,7.75%,-,-,-,-
4,Cost of Revenue,453.08,404.03,404.86,380.24,355.15,315.76,331.86,317.44,287.81,269.64,269.83,296.07
5,Gross Profit,52.86,57.7,75.12,83.37,62.88,45.22,53.18,52.07,62.31,51.22,40.43,46.85
6,"Selling, General & Admin",28.13,28.37,26.87,22.28,20.73,17.22,17.59,22.01,17.89,11.43,14.41,9.25
7,Research & Development,11.94,10.69,11.45,7.71,7.64,11.52,14.92,21.1,18.83,6.66,7.74,13.4
8,Other Operating Expenses,1,1.12,1,6.39,0.54,-2.15,-0.49,7.45,-2.66,-1.82,0.31,3.04
9,Operating Expenses,44.18,38.59,44.05,37.18,29.4,28.85,33.03,49.59,38.1,18.75,22.46,27.97
10,Operating Income,8.69,19.1,31.07,46.2,33.48,16.37,20.15,2.48,24.21,32.47,17.96,18.88
11,Interest Expense,-0.05,-0.13,-0,-,-0.54,-0.18,-0.14,-0.74,-0.95,-1.68,-,-0.46
12,Interest & Investment Income,2.08,2.64,3.43,3.9,4.01,4.58,4.48,3.06,1,0.07,-,0.07
13,Currency Exchange Gain (Loss),-8.15,8.15,-,-6.53,-6.77,6.77,-,15.82,-0.49,0.49,-,-8.36
14,Other Non Operating Income (Expenses),4.79,-0.56,0.05,-10.25,9.61,3.19,-3.49,-8.93,8.25,2.73,-2.93,4.59
15,EBT Excluding Unusual Items,7.36,29.2,34.55,33.32,39.8,30.73,21,11.69,32.02,34.08,15.04,14.71
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,1.07,-0.4,-0.38,-0.3,-0.32
17,Asset Writedown,-0.8,0.03,-,-5.11,5.12,2.09,-2.11,-0.08,-,-0.07,0.07,0.1
18,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-0.65
19,Other Unusual Items,1.45,0.02,0.34,5.08,-,-,-,6.63,0.07,-0.07,-,3.13
20,Pretax Income,8.01,29.25,34.88,33.28,44.91,32.82,18.9,19.32,31.68,33.57,14.81,16.98
21,Income Tax Expense,-1.7,3.19,3.53,4.58,7.97,5.5,3.76,4.07,3.71,2.49,2.75,1.22
22,Earnings From Continuing Operations,9.71,26.06,31.35,28.7,36.94,27.32,15.14,15.25,27.97,31.08,12.06,15.76
23,Minority Interest in Earnings,-0.09,0.06,-0.1,-0.03,-0.02,-0.04,0.09,0.2,0.34,0.24,0.16,-0.06
24,Net Income,9.62,26.12,31.26,28.67,36.92,27.28,15.23,15.45,28.3,31.32,12.22,15.7
25,Net Income to Common,9.62,26.12,31.26,28.67,36.92,27.28,15.23,15.45,28.3,31.32,12.22,15.7
26,Net Income Growth,-73.96%,-4.24%,105.27%,85.56%,30.46%,-12.91%,24.65%,-1.60%,-,-,-,-
27,Shares Outstanding (Basic),79,79,80,80,80,80,80,80,67,60,60,60
28,Shares Outstanding (Diluted),79,79,80,82,80,80,80,80,67,60,60,60
29,Shares Change (YoY),-0.66%,-0.81%,-0.12%,2.41%,19.99%,33.38%,33.29%,33.34%,-,-,-,-
30,EPS (Basic),0.12,0.33,0.39,0.36,0.46,0.34,0.19,0.19,0.42,0.52,0.20,0.26
31,EPS (Diluted),0.12,0.33,0.39,0.35,0.46,0.34,0.19,0.19,0.42,0.52,0.20,0.26
32,EPS Growth,-73.78%,-3.45%,105.51%,81.19%,8.72%,-34.70%,-6.48%,-26.20%,-,-,-,-
33,Free Cash Flow,-93.49,-41.94,-82.75,-43.9,6.25,-55.15,-55.65,-59.99,-101.98,-41.45,-21.13,-8.71
34,Free Cash Flow Per Share,-1.18,-0.53,-1.04,-0.54,0.08,-0.69,-0.70,-0.75,-1.53,-0.69,-0.35,-0.15
35,Dividend Per Share,0.500,-,-,0.650,-,-,-,0.500,-,-,-,-
36,Dividend Growth,-,-,-,30.00%,-,-,-,-,-,-,-,-
37,Gross Margin,10.45%,12.50%,15.65%,17.98%,15.04%,12.53%,13.81%,14.09%,17.80%,15.96%,13.03%,13.66%
38,Operating Margin,1.72%,4.14%,6.47%,9.96%,8.01%,4.54%,5.23%,0.67%,6.91%,10.12%,5.79%,5.51%
39,Profit Margin,1.90%,5.66%,6.51%,6.18%,8.83%,7.56%,3.96%,4.18%,8.08%,9.76%,3.94%,4.58%
40,Free Cash Flow Margin,-18.48%,-9.08%,-17.24%,-9.47%,1.49%,-15.28%,-14.45%,-16.23%,-29.13%,-12.92%,-6.81%,-2.54%
41,EBITDA,12.87,23.4,35.25,50.38,35.17,20.76,21.84,4.17,25.29,33.64,19.05,19.96
42,EBITDA Margin,2.54%,5.07%,7.34%,10.87%,8.41%,5.75%,5.67%,1.13%,7.22%,10.48%,6.14%,5.82%
43,D&A For EBITDA,4.18,4.29,4.18,4.18,1.68,4.38,1.68,1.68,1.08,1.17,1.08,1.08
44,EBIT,8.69,19.1,31.07,46.2,33.48,16.37,20.15,2.48,24.21,32.47,17.96,18.88
45,EBIT Margin,1.72%,4.14%,6.47%,9.96%,8.01%,4.54%,5.23%,0.67%,6.91%,10.12%,5.79%,5.51%
46,Effective Tax Rate,-,10.92%,10.12%,13.77%,17.74%,16.75%,19.89%,21.08%,11.71%,7.41%,18.58%,7.16%
47,Revenue as Reported,505.94,461.73,479.98,463.61,418.03,360.98,385.04,369.51,350.12,320.86,310.26,342.92
