,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1364031,2845079,1242799,1460715,1252775,1793410,1032765,1008443,1210441,1752490,1411094,1327539,1444408,1625322,1160779,968595,1209415,1620324,873039,712439,Upgrade
1,Revenue Growth (YoY),8.88%,58.64%,20.34%,44.85%,3.50%,2.33%,-26.81%,-24.04%,-16.20%,7.82%,21.56%,37.06%,19.43%,0.31%,32.96%,35.95%,25.81%,44.73%,0.18%,-5.92%,Upgrade
2,Cost of Revenue,1156951,2537381,1102250,1364361,1112908,1609394,944220,927947,1058196,1561629,1245895,1210268,1242637,1474602,1058589,893993,1053965,1491917,797803,641837,Upgrade
3,Gross Profit,207080,307698,140549,96354,139867,184016,88546,80496,152245,190861,165199,117271,201771,150720,102191,74602,155450,128407,75236,70602,Upgrade
4,"Selling, General & Admin",69788,189952,65684,49752,57122,85787,-12546,76266,65058,116757,28576,104473,78606,88879,19415,75088,57662,57244,40053,31158,Upgrade
5,Other Operating Expenses,-,-,13282,-,6109,-,25225,-37199,3495,-,21892,-21531,25651,-,6110,-29394,34108,-,-15970,-,Upgrade
6,Operating Expenses,69788,189952,78966,49752,63231,85787,12679,39067,68553,116757,50468,82941,104257,88879,25525,45694,91770,57244,24083,31158,Upgrade
7,Operating Income,137292,117746,61583,46602,76636,98229,75867,41429,83692,74104,114731,34330,97515,61841,76666,28907,63681,71163,51153,39444,Upgrade
8,Interest Expense,-6825,-7326,-4898,-4143,-7919,-10574,-8717,-9084,-5494,-5222,-2376,-10420,-2429,-3567,-4565,-8782,-3472,-4684,-6968,-2036,Upgrade
9,Interest & Investment Income,60113,8961,4544,4129,6278,21081,-,-,3507,20701,-,-,3164,16524,-,-,1268,7942,-,2689,Upgrade
10,Currency Exchange Gain (Loss),-,-,22654,10729,11831,-,-4384,11293,-571.7,-,8798,8025,7998,-,4607,7895,5709,-,9226,1021,Upgrade
11,Other Non Operating Income (Expenses),-608.74,-28628,-227.06,113.44,146.96,-20636,14432,7014,-3.89,-5338,-3364,13315,2020,-7446,4472,4144,692.54,-610.58,274.95,34.44,Upgrade
12,EBT Excluding Unusual Items,189972,90753,83656,57430,86973,88099,77199,50652,81129,84245,117789,45250,108267,67351,81179,32166,67878,73810,53686,41153,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,1673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Pretax Income,189972,90753,83656,57430,88646,88099,77199,50652,81129,84245,117789,45250,108267,67351,81179,32166,67878,73810,53686,41153,Upgrade
15,Income Tax Expense,2761,-4053,262.32,223.7,-196.77,-1195,1594,2058,582.58,4415,-638.66,3037,-2300,3721,-795.17,1246,4299,3499,1924,842.67,Upgrade
16,Earnings From Continuing Operations,187211,94805,83394,57207,88843,89295,75605,48594,80547,79830,118428,42213,110566,63629,81975,30919,63579,70312,51762,40310,Upgrade
17,Minority Interest in Earnings,-77120,-15177,-17110,-7509,-6429,-7715,-7189,-4936,-3117,-2914,-4449,-1515,-5582,-7131,-6192,-1147,-,-,-,-,Upgrade
