,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,364.92,293.67,279.95,256.46,309.16,227.32,239.68,232.31,181.73,169.61,189.72,170.95,236.46,173.81,224.52,199.89,249.58,192.27,225.7,94.86
1,Revenue Growth (YoY),18.04%,29.19%,16.80%,10.39%,70.13%,34.02%,26.34%,35.90%,-23.15%,-2.41%,-15.50%,-14.48%,-5.26%,-9.60%,-0.52%,110.72%,-,-,-,-
2,Cost of Revenue,530.62,237.44,219.18,199.61,243.7,167.48,172.51,173.39,131.15,124.37,100.29,105.18,160.27,118.61,161.34,137.92,169.23,131.82,146.44,66.28
3,Gross Profit,-165.7,56.23,60.77,56.84,65.46,59.84,67.18,58.92,50.58,45.25,89.43,65.76,76.19,55.2,63.18,61.98,80.36,60.45,79.26,28.58
4,"Selling, General & Admin",-48.71,15.76,17.04,15.91,23.9,15.95,17.24,14.43,15.35,14.07,13.88,12.04,18.13,9.95,9.01,9.19,10.01,9.2,7.94,5.22
5,Research & Development,-129.98,39.14,43.2,47.64,52.31,36.25,36.03,40.35,30.89,52.72,45.12,40.48,42.84,24.07,18.72,15.53,12.49,12.35,12.32,10.25
6,Other Operating Expenses,5.24,-0.32,-5,0.08,-4.31,-1.93,-2.62,-4.12,-1.44,-3.62,2.7,-4.28,2.83,-8.94,-4.02,-3.73,0.02,-6.78,-5.94,0.12
7,Operating Expenses,-171.37,56.83,57.33,57.22,80.67,47.16,53.48,50.21,47.53,62.75,61.28,47.61,69.62,22.76,24.78,20.91,24.91,16.18,19.19,9.71
8,Operating Income,5.67,-0.59,3.44,-0.37,-15.22,12.68,13.7,8.71,3.05,-17.51,28.14,18.16,6.57,32.44,38.4,41.06,55.45,44.27,60.07,18.87
9,Interest Expense,-5.49,-0.13,-0.1,-0.1,-0.09,-0.04,-0.08,-0.07,-0.02,-0.02,-0.07,-0.32,-0.73,-,-0.14,-0.9,-1.57,-1.02,-0.57,-1.31
10,Interest & Investment Income,0.33,1.54,2,1.95,1.97,1.95,2.85,2.84,1.69,3.12,6.06,4.2,5.28,6.65,6.14,0.9,0.02,0.05,0.02,0.02
11,Currency Exchange Gain (Loss),-,0,-0,-,-,-,-,-,-,-,-,-,-0,0,-0,-,0,-0,0,-
12,Other Non Operating Income (Expenses),0.9,0.08,-0.1,-0.02,-0.69,0.02,0.72,-0.05,-2.96,-0.1,-0.07,2.87,-3.78,-0.41,4.09,0.07,-0.17,0.43,-0.77,0.02
13,EBT Excluding Unusual Items,1.41,0.9,5.23,1.46,-14.02,14.61,17.18,11.44,1.76,-14.52,34.07,24.91,7.33,38.68,48.5,41.14,53.72,43.72,58.74,17.59
14,Gain (Loss) on Sale of Investments,-1.32,0.23,0.49,0.59,0.17,0.73,0.28,0.77,2.76,1.96,-0.22,1.89,1.38,-0.06,0.3,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,0.51,0.08,-0.26,-0.33,-1.4,0.1,-0.12,-,-0.32,0.05,0.03,-0.11,-0.07,-,-,-,-0.03,-,-,-
16,Asset Writedown,3.51,-3.51,1.85,-1.85,2.95,-2.95,0.08,-0.08,-0.02,0.02,0.14,-0.14,1.57,-1.56,1.49,-1.5,2.91,-2.91,0.05,-0.05
17,Other Unusual Items,-0.35,-0.48,0.87,-0.04,10.49,-2.04,2.04,-,9.17,1.64,-1.64,-,10.68,3.13,-3.13,-,4.9,0.24,-0.24,-
18,Pretax Income,3.76,-2.78,8.19,-0.17,-1.81,10.45,19.46,12.13,13.34,-10.85,32.38,26.55,20.89,40.19,47.16,39.64,61.5,41.05,58.55,17.54
19,Income Tax Expense,-4.15,-3.55,1.17,-0.55,-8.98,-0.92,2.47,-1.48,-0.08,-5.94,-0.04,0.45,-1.05,3.66,3.4,4.32,7.96,4.79,6.39,2.65
20,Net Income,7.91,0.77,7.02,0.38,7.17,11.37,16.99,13.61,13.42,-4.91,32.41,26.1,21.94,36.54,43.76,35.32,53.54,36.26,52.17,14.89
21,Net Income to Common,7.91,0.77,7.02,0.38,7.17,11.37,16.99,13.61,13.42,-4.91,32.41,26.1,21.94,36.54,43.76,35.32,53.54,36.26,52.17,14.89
22,Net Income Growth,10.38%,-93.23%,-58.71%,-97.22%,-46.57%,-,-47.59%,-47.88%,-38.83%,-,-25.93%,-26.08%,-59.02%,0.77%,-16.11%,137.23%,-,-,-,-
23,Shares Outstanding (Basic),54,47,68,38,51,52,51,52,52,51,52,51,52,52,52,39,39,39,38,39
24,Shares Outstanding (Diluted),54,47,68,38,54,52,53,52,52,51,52,53,53,52,52,39,39,39,38,39
25,Shares Change (YoY),0.80%,-8.53%,27.53%,-27.73%,4.59%,1.55%,1.49%,-1.77%,-2.57%,-1.35%,1.59%,37.27%,36.39%,34.26%,34.49%,-0.94%,-,-,-,-
26,EPS (Basic),0.15,0.02,0.10,0.01,0.14,0.22,0.33,0.26,0.26,-0.10,0.62,0.51,0.43,0.71,0.85,0.91,1.38,0.94,1.36,0.38
27,EPS (Diluted),0.15,0.02,0.10,0.01,0.13,0.22,0.32,0.26,0.26,-0.10,0.62,0.49,0.41,0.71,0.85,0.91,1.38,0.94,1.36,0.38
28,EPS Growth,9.50%,-92.60%,-67.62%,-96.15%,-48.91%,-,-48.36%,-46.94%,-37.22%,-,-27.09%,-46.15%,-69.95%,-24.95%,-37.62%,139.47%,-,-,-,-
