,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2425,2082,2169,2114,2811,4251,4088,3867,4588,4509,5214,7453,6785,8883,5049,5677,6658,-,-,-,-
1,Market Cap Growth,-51.01%,-51.01%,-46.95%,-45.33%,-38.73%,-5.72%,-21.59%,-48.12%,-32.38%,-49.24%,3.26%,31.29%,1.91%,-,-,-,-,-,-,-,-
2,Enterprise Value,1880,1537,1787,1667,2347,3787,3576,3334,3902,3822,4478,6641,5980,8077,4247,4858,6695,-,-,-,-
3,Last Close Price,46.81,40.19,41.86,40.80,53.96,81.59,78.47,74.07,87.90,86.37,99.88,143.35,130.52,170.87,97.12,108.54,127.30,-,-,-,-
4,PE Ratio,151.00,129.52,141.44,81.52,78.30,86.51,73.81,98.88,84.14,67.26,-,63.70,52.87,64.58,29.85,33.61,37.56,-,-,-,-
5,Forward PE,-,9.88,9.88,10.57,17.34,10.89,10.89,10.89,13.08,16.31,19.20,28.90,25.24,29.98,16.08,20.14,-,-,-,-,-
6,PS Ratio,2.03,1.74,1.90,1.97,2.72,4.21,4.64,4.70,5.93,6.33,6.80,9.67,8.42,10.64,5.96,6.55,7.68,-,-,-,-
7,PB Ratio,1.50,1.29,1.34,1.31,1.75,2.67,2.58,2.48,2.97,2.97,3.44,4.98,4.69,6.32,3.69,4.19,5.07,-,-,-,-
8,P/TBV Ratio,1.34,1.34,1.40,1.35,1.81,2.76,2.66,2.55,3.06,3.06,3.55,5.13,4.84,6.37,3.72,4.22,5.12,-,-,-,-
9,P/FCF Ratio,-,-,22.65,-,-,-,-,-,-,-,-,-,-,-593.10,-770.81,-,-,-,-,-,-
10,P/OCF Ratio,-,-,13.39,-,-851.92,-58.50,-,-,-,-,-,-,66.68,214.66,158.63,-,-,-,-,-,-
11,EV/Sales Ratio,1.57,1.29,1.57,1.55,2.27,3.75,4.06,4.05,5.05,5.37,5.84,8.61,7.42,9.68,5.01,5.61,7.72,-,-,-,-
12,EV/EBITDA Ratio,54.22,42.12,114.50,63.20,68.66,-,63.26,132.15,103.87,83.25,-,68.09,56.04,62.68,23.99,25.80,31.99,-,-,-,-
13,EV/EBIT Ratio,230.88,188.77,-,3144.64,-,-,93.74,419.18,174.18,120.02,-,77.85,62.57,68.18,25.38,27.11,33.33,-,-,-,-
14,EV/FCF Ratio,-,-,18.67,-,-,-,-,-,-,-,-,-,-,-539.31,-648.33,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.03,0.16,-,0.17,0.23
16,Debt / EBITDA Ratio,0.11,0.08,0.16,0.04,0.03,-,0.04,0.04,0.07,0.14,-,0.02,0.03,0.75,0.23,0.04,0.20,0.28,-,0.21,0.65
17,Debt / FCF Ratio,-,-,0.04,-,-,-,-,-,-,-,-,-,-,-2.09,-4.79,-,-,-4.92,-,-,4.33
18,Asset Turnover,-,0.59,0.56,0.50,0.60,0.46,0.50,0.49,0.38,0.37,0.42,0.39,0.55,0.41,0.54,0.67,-,-,-,-,
19,Inventory Turnover,-,-,2.54,2.05,1.82,2.33,1.70,1.86,1.80,1.44,1.66,1.65,2.17,3.80,3.03,4.53,4.16,-,-,-,-
20,Quick Ratio,-,-,3.62,3.41,2.72,2.65,2.79,3.13,3.19,2.93,3.60,4.07,4.40,4.19,4.65,4.63,4.53,1.52,-,1.00,-
21,Current Ratio,-,-,4.87,4.66,4.06,3.60,4.04,4.22,4.57,4.06,4.65,4.98,5.13,4.71,5.26,5.15,5.03,1.92,-,1.63,-
22,Return on Equity (ROE),1.95%,0.19%,1.74%,0.09%,1.81%,2.89%,4.38%,3.55%,3.54%,-1.30%,8.81%,7.32%,6.33%,10.73%,13.12%,16.54%,-,-,76.55%,-,
23,Return on Assets (ROA),-,-0.07%,0.43%,-0.04%,-1.85%,1.59%,1.77%,1.14%,0.40%,-2.37%,3.92%,2.57%,0.95%,4.82%,5.79%,8.57%,-,-,-,-,
24,Return on Capital (ROIC),0.87%,-0.09%,0.53%,-0.06%,-2.39%,2.01%,2.20%,1.42%,0.50%,-2.90%,4.77%,3.15%,1.16%,5.87%,7.08%,11.35%,-,-,46.16%,-,
25,Return on Capital Employed (ROCE),-,-,-,0.03%,-,-,2.35%,0.50%,1.42%,2.06%,-,5.63%,6.52%,8.31%,12.07%,13.02%,15.08%,42.98%,-,24.14%,-
26,Earnings Yield,0.66%,0.77%,0.71%,1.23%,1.28%,1.16%,1.35%,1.01%,1.19%,1.49%,1.45%,1.57%,1.89%,1.55%,3.35%,2.97%,2.66%,-,-,-,-
27,FCF Yield,-,4.41%,-5.02%,-2.82%,-3.79%,-5.55%,-6.53%,-6.87%,-5.36%,-2.73%,-0.72%,0.03%,-0.17%,-0.13%,-1.38%,-0.93%,-,-,-,-,
28,Dividend Yield,0.60%,-,-,-,-,0.35%,-,-,-,0.17%,-,-,-,-,-,0.55%,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,210.49%,-,-,37.49%,20.66%,-,-,-,-,1.67%,1.42%,83.81%,1.13%,1.63%,1.39%,2.15%,1.39%,4.98%
30,Buyback Yield / Dilution,1.83%,-0.80%,8.53%,-27.53%,27.73%,-4.59%,-1.55%,-1.49%,1.77%,2.57%,1.35%,-1.59%,-37.27%,-36.39%,-34.26%,-34.49%,0.94%,-,-,-,-
31,Total Shareholder Return,2.43%,-0.80%,8.53%,-27.53%,27.73%,-4.24%,-1.55%,-1.49%,1.77%,2.75%,1.35%,-1.59%,-37.27%,-36.39%,-34.26%,-33.94%,0.94%,-,-,-,-
