,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,362.99,127.83,237.91,213.05,171.38,289.78,114.16,87.62,187.21,111.2,90.41,114.68,71.75,86.48,304.44,27.96,-,15.34,-
1,Trading Asset Securities,-,185.67,255.92,209.93,248.83,295.22,225.56,422,526.11,502.45,627.09,723.31,743.43,765.24,722.3,550,-,-,-,-
2,Cash & Short-Term Investments,548.67,548.67,383.76,447.84,461.88,466.6,515.34,536.16,613.73,689.66,738.3,813.72,858.11,837,808.78,854.44,27.96,-,15.34,13.86
3,Cash Growth,18.79%,17.59%,-25.53%,-16.47%,-24.74%,-32.34%,-30.20%,-34.11%,-28.48%,-17.60%,-8.72%,-4.76%,2969.00%,-,5171.79%,6066.84%,-,-,-,-
4,Accounts Receivable,-,607.81,667.31,606.68,687.34,634.24,585.7,495.45,429.45,437.8,483.71,492.33,559.71,540.44,598.1,519.47,492.22,-,343.73,-
5,Other Receivables,-,4.37,57.96,3.96,53.15,4.93,51.49,2.72,54.27,55.09,33.14,17.08,9.3,1.67,1.7,1.31,2.46,-,12.95,-
6,Receivables,-,612.18,725.27,610.64,740.49,639.17,637.19,498.17,483.73,492.89,516.85,509.41,569.01,542.11,599.8,520.78,494.67,-,356.68,-
7,Inventory,-,351.39,397.05,456.78,419.03,417.12,370,371.9,397.55,331.81,269.23,215.65,172.57,164.64,148.06,136.86,128.13,-,216.49,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.69,-,-,-
9,Other Current Assets,-,48.85,10.98,66.74,13.48,75.22,30.22,78.21,25.11,12.82,14.31,6.26,6.35,16.28,11.4,15.03,6.26,-,17.1,-
10,Total Current Assets,-,1561,1517,1582,1635,1598,1553,1484,1520,1527,1539,1545,1606,1560,1568,1527,660.71,-,605.61,-
