,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+20 Quarters
0,Cash & Equivalents,261839,-,16967,11269,15444,-,8224,11877,10779,11465,6318,8874,9586,7259,-,4006,12390,12327,31956,25923,Upgrade
1,Short-Term Investments,3000,-,1.88,-,-,-,1.87,1.87,1.86,1.86,1.85,1.85,1.84,19.83,-,-,8.53,8.52,20.51,20.5,Upgrade
2,Cash & Short-Term Investments,264839,-,16969,11269,15444,8226,8226,11879,10781,11467,6320,8875,9588,7279,-,4006,12398,12336,31977,25944,Upgrade
3,Cash Growth,1614.88%,-,106.29%,-5.13%,43.25%,-28.26%,30.15%,33.84%,12.44%,57.52%,-,121.57%,-22.67%,-40.99%,-,-84.56%,-62.15%,-,1.02%,115.04%,Upgrade
4,Accounts Receivable,122588,-,62358,-645.77,44697,-,44290,32833,33376,28176,22001,24797,44289,27907,-,46261,36009,43532,95258,42458,Upgrade
5,Other Receivables,139881,-,725.63,53099,900.25,-,160.22,1178,377.73,801.99,858.15,1278,1420,2862,-,2800,2992,2973,3539,4145,Upgrade
6,Receivables,262469,-,63083,52453,45597,-,44450,34011,33754,28978,22859,26076,45709,30769,-,49060,39001,46505,98798,46604,Upgrade
7,Inventory,660821,-,282925,212638,75885,-,131469,113223,125579,142183,123800,124625,110821,118178,-,116631,162909,129314,108830,140457,Upgrade
8,Prepaid Expenses,12462,-,291.6,252.33,132.45,-,1369,2672,1297,1441,1006,1229,716.07,666.89,-,883.65,688.57,1888,1356,2128,Upgrade
9,Other Current Assets,115146,-,32157,22881,24843,-,13331,13724,12936,13535,12310,13060,12539,14687,-,14087,20308,21084,14667,10551,Upgrade
10,Total Current Assets,1315736,-,395426,299493,161901,-,198845,175509,184347,197604,166296,173865,179373,171580,-,184667,235305,211127,255628,225683,Upgrade
11,"Property, Plant & Equipment",454724,-,46264,43438,40598,-,34291,36109,33050,36920,33701,34420,37176,44100,-,44554,49417,47390,48259,54054,Upgrade
12,Goodwill,49163,-,1299,1429,1558,-,1948,2078,2208,2338,2467,2597,2727,2987,-,3117,3246,3376,3506,3636,Upgrade
13,Other Intangible Assets,10738,-,11660,11672,11683,-,11737,11807,11822,12050,12065,12084,12114,12144,-,12105,12136,12066,12090,12114,Upgrade
14,Long-Term Accounts Receivable,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Long-Term Deferred Tax Assets,1798,-,-,-,-,-,-,-,-,110.32,110.32,110.32,110.32,110.32,-,110.32,110.32,110.32,174.25,110.32,Upgrade
16,Other Long-Term Assets,574979,-,6672,4974,3527,-,880.93,954.74,748.42,467.34,412.25,641.04,692.37,754.96,-,880.15,942.74,1730,1565,1620,Upgrade
17,Total Assets,2407138,-,461321,361013,219268,-,247702,226459,232176,249490,215051,223718,232192,231676,-,245434,301156,275799,321222,297218,Upgrade
18,Accounts Payable,99301,-,117172,8112,57834,-,94336,51896,32243,55432,55768,57995,54404,35500,-,33385,109112,99248,109219,104154,Upgrade
19,Accrued Expenses,32523,-,4901,1860,7367,-,3831,3095,4450,2619,2539,2066,3803,2240,-,1876,1906,1433,4118,1370,Upgrade
20,Short-Term Debt,-,-,197352,86824,30445,-,46691,69947,94187,98566,61948,65037,79571,94508,-,98658,64240,34480,64054,45688,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,300,-,600,-,362.52,-,725.04,-,-,-,725.04,-,973.4,196.34,Upgrade
22,Current Portion of Leases,669664,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,42393,-,2470,-,580.73,-,-,-,-,-,-,825.73,620.58,-,-,-17.76,-17.76,3785,3664,3676,Upgrade
24,Current Unearned Revenue,-,-,17030,-,16636,-,9772,12731,12909,5230,6857,8307,5782,9595,-,7445,12784,-,-,-,Upgrade
25,Other Current Liabilities,71975,-,1136,146040,733.37,-,668.02,834.07,989.87,684.24,1289,972.75,1122,1389,-,119.48,489.15,18288,14294,16866,Upgrade
26,Total Current Liabilities,915857,-,340060,242836,113597,-,155599,138502,145379,162531,128764,135204,146027,143233,-,141466,189239,157234,196323,171951,Upgrade
27,Long-Term Debt,-,-,-,-,-,-,600,1050,600,1600,1419,1962,1419,2325,-,2687,2144,3050,2583,3191,Upgrade
