,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Jan '14 Jan 1, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+20 Quarters
0,Revenue,1817416,1076808,472275,419095,324191,310563,310591,248244,268392,187811,109830,120811,175543,157178,143254,165377,261686,231081,246408,210352,Upgrade
1,Revenue Growth (YoY),460.60%,246.73%,52.06%,68.82%,20.79%,65.36%,182.79%,105.48%,52.89%,19.49%,-23.33%,-26.95%,-32.92%,-31.98%,-41.86%,-21.38%,-19.27%,-23.61%,-8.55%,28.61%,Upgrade
2,Cost of Revenue,1671323,997653,456742,404624,310524,298479,300270,240329,252985,181494,100798,113782,166202,154604,139561,161131,258132,221912,235621,192785,Upgrade
3,Gross Profit,146093,79154,15533,14470,13666,12084,10320,7915,15407,6317,9032,7029,9342,2574,3693,4246,3554,9169,10787,17567,Upgrade
4,"Selling, General & Admin",98774,54349,12649,12541,9937,7459,7401,7395,8621,5813,6843,7153,7283,6670,10270,9927,14596,13650,12553,14210,Upgrade
5,Other Operating Expenses,-,-,-,-,-,-,4333,-,6103,-,4379,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,98774,54349,12649,12541,9937,7459,11734,7395,14724,5813,11222,7153,7283,6670,10270,9927,14596,13650,12553,14210,Upgrade
7,Operating Income,47320,24805,2884,1930,3730,4625,-1414,520.72,682.88,503.75,-2190,-124.58,2059,-4097,-6577,-5681,-11042,-4481,-1766,3357,Upgrade
8,Interest Expense,-7755,-4.66,-1830,-16.09,-700.58,-1041,-1218,-1219,-1852,-1436,-2787,-1902,-3174,-2673,-5875,-2996,-5040,-3230,-1985,-3295,Upgrade
9,Interest & Investment Income,223.66,46.96,13.28,700.58,16.09,11.32,67.85,9.3,-,6.98,13.2,28.22,-,74.42,29.94,26.25,-,153.26,258.27,408.91,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,57.68,-,-,-,-,-,595.47,-,619.6,-,-7112,-,-2946,-,Upgrade
11,Other Non Operating Income (Expenses),35987,3104,2484,13557,269.13,222.67,7141,1925,1939,1831,2364,3786,2530,1887,2931,107.61,14986,529.89,4118,2774,Upgrade
12,EBT Excluding Unusual Items,75776,27951,3551,16171,3314,3818,4635,1236,769.15,905.9,-2600,1788,2010,-4807,-8871,-8543,-8207,-7028,-2320,3244,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3115,-3115,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,533.13,-453.48,453.48,561.86,-264.35,-303.76,123.82,-347.41,875.3,58.84,-2076,-1580,-,49.22,1106,186.38,400.63,99.93,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-10,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Pretax Income,75776,27951,4085,15718,3768,4380,4360,932.14,892.97,558.49,-1725,1847,-66.11,-6387,-8871,-8494,-7102,-6841,1196,229.05,Upgrade
17,Income Tax Expense,16244,5469,1001,3192,906.49,-,-,-,110.32,-,-,-,-,-,-,-,-1312,-,1044,267.96,Upgrade
18,Earnings From Continuing Operations,59532,22481,3084,12526,2861,4380,4360,932.14,782.64,558.49,-1725,1847,-66.11,-6387,-8871,-8494,-5790,-6841,152.07,-38.9,Upgrade
19,Minority Interest in Earnings,-25854,-647.15,91.73,-2.95,61.02,64.54,19.26,222.28,165.35,214.45,335.22,320.68,289.54,292.39,353.33,363.71,476.61,220.54,48.76,348.2,Upgrade
20,Net Income,33678,21834,3175,12523,2922,4445,4380,1154,947.99,772.93,-1390,2168,223.43,-6094,-8517,-8130,-5314,-6621,200.83,309.29,Upgrade
21,Net Income to Common,33678,21834,3175,12523,2922,4445,4380,1154,947.99,772.93,-1390,2168,223.43,-6094,-8517,-8130,-5314,-6621,200.83,309.29,Upgrade
22,Net Income Growth,1052.51%,391.22%,-27.50%,984.77%,208.25%,475.07%,-,-46.75%,324.29%,-,-,-,-,-,-,-,-,-,-95.75%,-86.11%,Upgrade
23,Shares Outstanding (Basic),108,106,57,-,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,Upgrade
