,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Revenue,10108704,10840381,9249585,9073224,8106587,8645778,6980867,7917429,7939118,12177236,12661072,16933210,15797048,12983894,10845989,9099591,8341927,6834014,5778517,6576292,Upgrade
1,Revenue Growth (YoY),24.70%,25.38%,32.50%,14.60%,2.11%,-29.00%,-44.86%,-53.24%,-49.74%,-6.21%,16.74%,86.09%,89.37%,89.99%,87.70%,38.37%,31.37%,-5.45%,-16.39%,-12.84%,Upgrade
2,Cost of Revenue,9249890,9503466,8131340,8123531,7031708,7753683,6077142,7727486,8147926,10582265,11231063,14810691,13330202,10030160,8955709,7537054,6807368,5771150,4702644,5622320,Upgrade
3,Gross Profit,858814,1336915,1118244,949694,1074880,892095,903724,189943,-208808,1594971,1430009,2122520,2466846,2953735,1890280,1562537,1534559,1062863,1075873,953972,Upgrade
4,"Selling, General & Admin",1057861,1030003,913147,839260,636123,835972,635567,776170,767717,1130262,1095967,1360924,1386957,965668,717229,700450,877535,572087,604679,626760,Upgrade
5,Other Operating Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41023,-41023,Upgrade
6,Operating Expenses,1057861,1030003,913147,839260,636123,835972,635567,776170,767717,1130262,1095967,1360924,1386957,965668,717229,700450,877535,572087,645702,585737,Upgrade
7,Operating Income,-199047,306912,205097,110434,438757,56123,268157,-586227,-976525,464709,334042,761596,1079889,1988067,1173051,862087,657024,490776,430171,368235,Upgrade
8,Interest Expense,-250358,-39341,-28753,-25318,-151101,-54631,-160169,-47864,-234790,-59242,-52046,-75432,-334873,-79459,-77079,-91845,-162500,-136485,-151674,-157976,Upgrade
