,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Oct '20 Oct 1, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,11705517,13120423,14721977,14567982,14044397,12319646,10133145,9628685,6907535,8851214,7945059,17271866,18456223,23070279,20492531,12618066,9840563,7020542,5090959,1925667,3305247,Upgrade
1,Market Cap Growth,6.50%,6.50%,45.29%,51.30%,103.32%,39.19%,27.54%,-44.25%,-62.57%,-61.63%,-61.23%,36.88%,87.55%,228.61%,302.53%,555.26%,197.73%,141.84%,62.10%,-46.77%,31.93%,Upgrade
2,Enterprise Value,16551457,18574822,20532730,17611710,16223059,15966893,13378149,11664532,10735790,16226223,14638590,22363302,24748459,29775685,26556625,19547149,17558922,15203801,13261755,10803645,12701657,Upgrade
3,Last Close Price,18850.00,21300.00,23900.00,23043.59,22215.38,19487.18,16028.21,15230.27,10926.06,14000.50,12691.89,27591.07,29483.03,36853.79,33030.45,20352.89,15873.82,11323.09,8205.66,3105.49,5330.52,Upgrade
4,PE Ratio,23.50,-,12.97,16.64,17.40,427.65,-7.75,-9.12,-,-,4.17,5.17,4.45,5.57,5.42,5.27,6.30,6.34,6.60,3.14,7.10,Upgrade
5,Forward PE,13.40,13.85,15.27,17.32,15.98,19.96,7.18,8.82,10.65,6.15,3.62,5.80,5.90,7.49,9.03,8.63,9.44,8.48,7.55,4.38,8.43,Upgrade
6,PS Ratio,0.30,0.33,0.40,0.42,0.43,0.39,0.32,0.27,0.17,0.18,0.14,0.30,0.33,0.47,0.50,0.36,0.33,0.26,0.20,0.07,0.12,Upgrade
7,PB Ratio,1.07,1.20,1.33,1.31,1.29,1.14,0.98,0.93,0.68,0.81,0.68,1.50,1.63,2.13,2.08,1.55,1.39,1.07,0.83,0.33,0.59,Upgrade
8,P/TBV Ratio,1.23,1.23,1.35,1.33,1.32,1.16,1.00,0.95,0.69,0.83,0.69,1.53,1.67,2.18,2.13,1.60,1.43,1.10,0.86,0.34,0.61,Upgrade
9,P/FCF Ratio,-,-6.00,-9.47,-,-,8.26,-,-,2.46,3.72,-,-,10.75,22.64,-,5.91,5.09,4.10,1.98,0.84,1.23,Upgrade
10,P/OCF Ratio,-,-9.27,-11.73,-,-,6.60,-,-,2.16,3.11,-,-,8.25,15.42,-,5.15,4.24,3.33,1.69,0.66,0.98,Upgrade
11,PEG Ratio,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,Upgrade
12,EV/Sales Ratio,0.42,0.47,0.55,0.50,0.49,0.50,0.42,0.33,0.26,0.33,0.25,0.38,0.44,0.61,0.64,0.56,0.58,0.55,0.52,0.42,0.47,Upgrade
13,EV/EBITDA Ratio,11.74,13.17,9.82,9.38,8.22,12.21,-140.37,35.57,-,-,3.85,4.19,4.00,4.73,4.52,4.45,4.79,4.79,4.69,3.97,5.09,Upgrade
