,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,143.83,175.23,163.21,209.05,219.18,278.95,271.28,301.57,331.47,395.41,99.32,140.29,-,-,-
1,Trading Asset Securities,16.06,10.02,31.23,31.23,16,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,159.89,185.25,194.45,240.28,235.18,278.95,271.28,301.57,331.47,395.41,99.32,140.29,-,-,122.33
3,Cash Growth,-32.01%,-33.59%,-28.32%,-20.32%,-29.05%,-29.45%,173.15%,114.96%,-,-,-18.81%,-,-,-,-
4,Accounts Receivable,6.52,2.95,2.09,3.76,8.28,11.44,9.52,3.66,4.96,3.98,2.77,0.11,-,-,-
5,Other Receivables,0.21,-,-,-,0.4,-,-,0.08,-,-,-,-,-,-,-
6,Receivables,6.73,2.95,2.09,3.76,8.67,11.44,9.52,3.73,4.96,3.98,2.77,0.11,-,-,-
7,Inventory,64.58,56.43,56.42,58.9,62.91,64.53,64.4,72.38,69.81,66.38,62.72,61.29,-,-,-
8,Other Current Assets,2.43,3.4,11.68,3.3,5.96,2.1,9,6.2,5.99,2.95,2.11,1.05,-,-,-
9,Total Current Assets,233.64,248.03,264.64,306.25,312.72,357.02,354.2,383.88,412.23,468.71,166.92,202.74,-,-,-
