,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,39.64,24.11,27.15,26.4,44.15,46.56,36.08,53.22,43.42,45.89,52.22,86.71,66.59,73.56,51.55
1,Other Revenue,-2.36,2.36,-,3.21,-0.28,0.28,-,5.06,-1.21,1.21,-,0.95,-0.48,0.48,-
2,Revenue,37.27,26.48,27.15,29.6,43.87,46.84,36.08,58.28,42.22,47.09,52.22,87.66,66.1,74.04,51.55
3,Revenue Growth (YoY),-15.04%,-43.47%,-24.76%,-49.21%,3.93%,-0.54%,-30.90%,-33.51%,-36.14%,-36.40%,1.30%,-,-,-,-
4,Cost of Revenue,24.11,25.23,19.27,33.07,31.65,31.13,28.51,26.81,27.12,26.82,28.08,45.52,31.76,39.32,27.52
5,Gross Profit,13.17,1.25,7.88,-3.46,12.23,15.71,7.57,31.48,15.09,20.27,24.14,42.14,34.35,34.72,24.03
6,"Selling, General & Admin",10.53,11.11,10.14,10.22,11.5,12.93,12.33,10.9,16.67,13.38,13.63,11.84,12.39,17.44,13.07
7,Research & Development,1.33,1.89,1.5,2.07,1.52,2.41,2.22,2.07,2.78,2.29,2.17,2.68,2.55,3.22,2.37
8,Other Operating Expenses,1.32,0.46,0.61,-0.03,0.23,-3.86,-0.09,0.33,6.23,-5.43,-0.06,1.53,0.24,1.08,-0.34
9,Operating Expenses,13.38,13.5,12.19,12.61,13.23,11.4,14.51,13.38,25.62,10.28,15.89,15.85,15.32,21.6,15.04
10,Operating Income,-0.21,-12.25,-4.31,-16.08,-1,4.31,-6.93,18.1,-10.53,9.99,8.25,26.29,19.03,13.12,9
11,Interest Expense,-0.01,-0.03,-0.02,-0.01,-,-,-,-,-,-,-,-,-,-,-
12,Interest & Investment Income,0.51,1.69,0.25,3.86,1.37,1.74,1.4,2.41,2.46,0.99,0.66,1.18,0.54,0.45,0.69
13,Currency Exchange Gain (Loss),-,-,-,-0,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-0.03,-0.03,-0.01,-0.02,0.1,0.02,0.05,-7.37,6.23,0.24,0.82,-3.25,0.39,2.54,0.3
15,EBT Excluding Unusual Items,0.26,-10.62,-4.09,-12.25,0.47,6.07,-5.49,13.14,-1.85,11.22,9.74,24.22,19.97,16.11,9.99
16,Impairment of Goodwill,-,-,-,-2.15,-,-,-,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Investments,-0.66,-0.19,-0.51,0.1,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,-0.02,-,-,-,-0.02,0.02,-,-,-,-,-,0,-,0,-
19,Asset Writedown,6.51,-0,0,-1.24,1.24,-1.78,1.78,-3.57,3.42,-2.05,2.05,1.79,-1.91,0.84,-0.7
20,Other Unusual Items,0.94,-0.09,1.21,-2.2,-,-,-,8.92,-,-,-,7.97,-,-,-
21,Pretax Income,7.02,-10.9,-3.4,-17.74,1.69,4.32,-3.71,18.5,1.57,9.17,11.79,33.99,18.06,16.95,9.28
22,Income Tax Expense,1.21,-0.68,-0,-0.1,-0.08,-2.08,0.3,2.21,-0.73,1.42,1.87,4.9,2.5,2.35,1.48
23,Earnings From Continuing Operations,5.82,-10.22,-3.39,-17.64,1.78,6.4,-4.01,16.29,2.3,7.75,9.92,29.08,15.56,14.6,7.8
24,Minority Interest in Earnings,-0.01,-0.02,0,0.19,-0.01,0.01,-0.01,-0.48,0.43,0.04,0.01,-,-,-,-
25,Net Income,5.81,-10.24,-3.39,-17.45,1.76,6.41,-4.02,15.82,2.73,7.79,9.93,29.08,15.56,14.6,7.8
26,Net Income to Common,5.81,-10.24,-3.39,-17.45,1.76,6.41,-4.02,15.82,2.73,7.79,9.93,29.08,15.56,14.6,7.8
27,Net Income Growth,229.43%,-,-,-,-35.32%,-17.74%,-,-45.62%,-82.48%,-46.63%,27.30%,-,-,-,-
28,Shares Outstanding (Basic),84,97,113,103,72,139,100,65,146,85,76,79,78,76,78
29,Shares Outstanding (Diluted),84,97,113,103,72,139,100,65,146,85,76,79,78,76,78
30,Shares Change (YoY),15.50%,-30.45%,12.48%,57.55%,-50.32%,64.03%,31.41%,-17.90%,86.96%,10.79%,-2.08%,-,-,-,-
31,EPS (Basic),0.07,-0.11,-0.03,-0.17,0.02,0.05,-0.04,0.24,0.02,0.09,0.13,0.37,0.20,0.19,0.10
32,EPS (Diluted),0.07,-0.11,-0.03,-0.17,0.02,0.05,-0.04,0.24,0.02,0.09,0.13,0.37,0.20,0.19,0.10
33,EPS Growth,185.22%,-,-,-,30.19%,-49.85%,-,-33.76%,-90.63%,-51.83%,30.00%,-,-,-,-
34,Free Cash Flow,-3.7,-4,-27.85,4.83,-9.08,7.72,-30.39,21.69,-65.55,-29.91,-42.69,33.53,6.06,16.29,-17.77
35,Free Cash Flow Per Share,-0.04,-0.04,-0.25,0.05,-0.13,0.06,-0.30,0.33,-0.45,-0.35,-0.56,0.42,0.08,0.21,-0.23
36,Dividend Per Share,-,-,-,0.153,-,-,-,0.150,-,0.300,-,-,-,-,-
37,Dividend Growth,-,-,-,2.07%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,35.32%,4.72%,29.03%,-11.70%,27.86%,33.55%,20.99%,54.01%,35.75%,43.05%,46.23%,48.07%,51.96%,46.90%,46.62%
39,Operating Margin,-0.56%,-46.28%,-15.87%,-54.30%,-2.28%,9.20%,-19.21%,31.05%,-24.95%,21.21%,15.81%,29.99%,28.79%,17.72%,17.45%
40,Profit Margin,15.58%,-38.66%,-12.48%,-58.93%,4.02%,13.69%,-11.13%,27.14%,6.46%,16.55%,19.02%,33.18%,23.53%,19.72%,15.14%
41,Free Cash Flow Margin,-9.93%,-15.12%,-102.57%,16.30%,-20.71%,16.48%,-84.23%,37.21%,-155.27%,-63.52%,-81.76%,38.25%,9.16%,22.00%,-34.48%
42,EBITDA,2.38,-8.58,-1.72,-13.49,1.84,7.07,-4.09,20.94,-7.88,12.82,10.9,28.94,20.45,15.72,10.42
43,EBITDA Margin,6.38%,-32.39%,-6.34%,-45.56%,4.19%,15.10%,-11.34%,35.92%,-18.67%,27.23%,20.88%,33.02%,30.94%,21.23%,20.22%
44,D&A For EBITDA,2.59,3.68,2.59,2.59,2.84,2.76,2.84,2.84,2.65,2.83,2.65,2.65,1.42,2.6,1.42
45,EBIT,-0.21,-12.25,-4.31,-16.08,-1,4.31,-6.93,18.1,-10.53,9.99,8.25,26.29,19.03,13.12,9
46,EBIT Margin,-0.56%,-46.28%,-15.87%,-54.30%,-2.28%,9.20%,-19.21%,31.05%,-24.95%,21.21%,15.80%,29.99%,28.79%,17.72%,17.45%
47,Effective Tax Rate,17.18%,-,-,-,-,-,-,11.93%,-,15.50%,15.84%,14.42%,13.86%,13.86%,15.95%
48,Revenue as Reported,37.27,26.48,27.15,29.6,43.87,46.84,36.08,58.28,42.22,47.09,52.22,87.66,66.1,74.04,51.55
